campaign,model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
directed_gamma_k1_min512,uniform,disorder,block_gls,0.0129949207,-0.005765448447,0.03141312728,0.9106,-1.785448491,-3.683066201,7.433871447,0.2796,0.07129528124,0.05638985739
directed_gamma_k1_min1024,gamma,marginal,block_gls,-0.01889249868,-0.07490140314,0.02505922963,0.1674,-2.935731161,-3.463179609,4.864951954,0.1838,0.1506278664,0.1526958151
directed_gamma_k1_min1024,gamma,conditional,block_gls,-0.0586916734,-0.1202344901,-0.007886563821,0.0137,0.5551657687,-3.333110072,13.40867435,0.6323,0.2081690008,0.2161489199
directed_gamma_k1_min1024,gamma,disorder,block_gls,0.02967612504,-0.02061139761,0.07803518961,0.8738,-2.117761722,-3.462435343,5.854956499,0.2338,0.1043977169,0.1018682466
directed_gamma_k1_min1024,uniform,marginal,block_gls,-0.007770804799,-0.06596815311,0.03576950698,0.2759,-3.375702476,-3.464587632,3.055429976,0.1093,0.1555643344,0.1682079903
directed_gamma_k1_min1024,uniform,conditional,block_gls,-0.05583272733,-0.1328090724,0.007832564342,0.0397,-1.054888462,-3.440901465,10.17530559,0.4565,0.1843408405,0.2034028792
directed_gamma_k1_min1024,uniform,disorder,block_gls,0.03603051844,-0.01440204553,0.0869042305,0.9188,-1.478476345,-3.458515016,8.095264466,0.3186,0.07237696896,0.05488547477
directed_lognormal_var2_min128,gamma,marginal,block_gls,-0.001809847107,-0.007514183171,0.002546281252,0.1622,-3.359908463,-3.868988224,4.944490068,0.1646,0.1245112612,0.1246702613
directed_lognormal_var2_min128,gamma,conditional,block_gls,-0.004473506622,-0.01110179224,0.001048623598,0.0538,-1.823161946,-3.858235871,8.742085431,0.3627,0.1591534508,0.1563797908
directed_lognormal_var2_min128,gamma,disorder,block_gls,0.001218011602,-0.003915083495,0.006297195234,0.6655,-3.648943645,-3.869768605,2.255583818,0.072,0.1476299636,0.1466579305
directed_lognormal_var2_min128,uniform,marginal,block_gls,0.002489250205,-0.00302328747,0.006824150127,0.7723,-2.920707625,-3.869409019,3.28170996,0.115,0.1580904679,0.1543800823
directed_lognormal_var2_min128,uniform,conditional,block_gls,0.002696096228,-0.004851165181,0.009093415392,0.7253,-3.299257335,-3.869844218,2.702697265,0.0865,0.1736146397,0.172964644
directed_lognormal_var2_min128,uniform,disorder,block_gls,-0.0006620265854,-0.005694939974,0.004293862547,0.3943,-3.804846114,-3.870108851,1.415746122,0.0578,0.06261664877,0.06687411567
directed_lognormal_var2_min512,gamma,marginal,block_gls,-0.01607039224,-0.03639116391,-0.0008314377138,0.0195,-0.6483250998,-3.632375393,11.90275734,0.5576,0.1315818896,0.1292655549
directed_lognormal_var2_min512,gamma,conditional,block_gls,-0.01299548707,-0.03711696074,0.006385268535,0.0838,-2.361561384,-3.682474205,7.138782786,0.2911,0.158115548,0.1564010136
directed_lognormal_var2_min512,gamma,disorder,block_gls,-0.007155207859,-0.02596255091,0.0105218035,0.2054,-3.109131321,-3.68713556,3.945627965,0.1391,0.1552531184,0.1552958444
directed_lognormal_var2_min512,uniform,marginal,block_gls,-0.003045937827,-0.02395037664,0.01312904181,0.2762,-3.585182051,-3.687682532,2.846893324,0.1004,0.1600868004,0.1634342107
directed_lognormal_var2_min512,uniform,conditional,block_gls,-0.01984204226,-0.04821440847,0.003620740388,0.0454,-1.390504567,-3.672122521,9.881806906,0.4183,0.1722814469,0.1761993897
directed_lognormal_var2_min512,uniform,disorder,block_gls,0.01318931144,-0.005244101649,0.03165933879,0.9158,-1.735239295,-3.682752556,7.567637086,0.2933,0.07109344272,0.05633346773
directed_lognormal_var2_min1024,gamma,marginal,block_gls,-0.02825749065,-0.08426956132,0.01405057811,0.0811,-2.18219577,-3.459523661,7.94946995,0.3217,0.1296983505,0.1294774985
directed_lognormal_var2_min1024,gamma,conditional,block_gls,-0.003984645102,-0.06937294981,0.04789708024,0.3621,-3.448333016,-3.464740372,2.061793084,0.079,0.1667413123,0.1751366861
directed_lognormal_var2_min1024,gamma,disorder,block_gls,-0.03972718023,-0.09072521335,0.01054074251,0.0581,-1.074395111,-3.453916776,9.005858802,0.3799,0.1974503088,0.2078621115
directed_lognormal_var2_min1024,uniform,marginal,block_gls,-0.007315047316,-0.06477268409,0.03704475269,0.2922,-3.385518888,-3.464328318,2.877447305,0.0979,0.1557077875,0.1690533443
directed_lognormal_var2_min1024,uniform,conditional,block_gls,-0.05489896267,-0.1314575283,0.009131520583,0.0443,-1.139452729,-3.450069046,9.872709932,0.4345,0.1845592237,0.2047019372
directed_lognormal_var2_min1024,uniform,disorder,block_gls,0.03605552265,-0.01554063163,0.08600491215,0.9172,-1.48758367,-3.457359499,7.789708225,0.3154,0.07188127095,0.05483955727
directed_uniform_0_2_min128,gamma,marginal,block_gls,-0.007234601726,-0.01278243178,-0.002878898404,0.0011,4.39030402,-2.562975547,21.91912851,0.8758,0.1081524453,0.1057105578
directed_uniform_0_2_min128,gamma,conditional,block_gls,-0.01448303118,-0.02135404468,-0.008920690551,0,16.8882119,4.004570099,41.25787378,0.997,0.2222763825,0.2058453775
directed_uniform_0_2_min128,gamma,disorder,block_gls,0.003369565082,-0.001554540295,0.008087915326,0.909,-1.991633343,-3.865060364,6.957676963,0.2618,0.1653102241,0.160864413
directed_uniform_0_2_min128,uniform,marginal,block_gls,0.002430085346,-0.003246402676,0.006684634217,0.7581,-2.971598251,-3.869395089,2.998347339,0.1028,0.1583893386,0.1547694581
directed_uniform_0_2_min128,uniform,conditional,block_gls,0.002557480076,-0.005121094007,0.008807408034,0.7081,-3.358804757,-3.869769472,2.24042779,0.0787,0.1735774226,0.172910389
directed_uniform_0_2_min128,uniform,disorder,block_gls,-0.0006630313646,-0.005614614104,0.004346511364,0.3907,-3.804245174,-3.869991235,1.284748353,0.0548,0.06249663228,0.06673276675
directed_uniform_0_2_min512,gamma,marginal,block_gls,-0.01658320929,-0.03693419707,-0.0005581598954,0.0223,-0.4959328687,-3.618962013,12.14953912,0.5465,0.09735643442,0.1063255159
directed_uniform_0_2_min512,gamma,conditional,block_gls,-0.02666939691,-0.05064450439,-0.007043235139,0.0052,1.971162697,-3.274816047,16.72182191,0.7442,0.1978985363,0.1955210809
directed_uniform_0_2_min512,gamma,disorder,block_gls,-0.004514324262,-0.02134083882,0.01211688835,0.2896,-3.413202122,-3.687459764,2.581912134,0.0948,0.1516399576,0.1668216905
directed_uniform_0_2_min512,uniform,marginal,block_gls,-0.00290293707,-0.02425714758,0.01315932193,0.2887,-3.594328067,-3.687851986,3.003477355,0.0984,0.1601910796,0.1636285825
directed_uniform_0_2_min512,uniform,conditional,block_gls,-0.01918051665,-0.04734845751,0.004706101567,0.0518,-1.526759506,-3.672435132,9.486734219,0.3948,0.1723318801,0.1760449103
directed_uniform_0_2_min512,uniform,disorder,block_gls,0.01287820198,-0.005758416173,0.03125496284,0.9083,-1.819538295,-3.683009869,7.321849895,0.2837,0.0712501924,0.05673500804
directed_uniform_0_2_min1024,gamma,marginal,block_gls,-0.005922035055,-0.06341895593,0.03773997294,0.3099,-3.413213767,-3.464456285,2.649563298,0.092,0.1112056641,0.1151045579
directed_uniform_0_2_min1024,gamma,conditional,block_gls,-0.05243760642,-0.1168058869,0.0001402643757,0.0252,-0.3000537616,-3.431183844,12.2419082,0.5363,0.2179752305,0.2304136221
directed_uniform_0_2_min1024,gamma,disorder,block_gls,-0.001266903443,-0.04651719559,0.04221739232,0.4529,-3.462585149,-3.464714155,1.822502769,0.0681,0.1629443005,0.1999261206
directed_uniform_0_2_min1024,uniform,marginal,block_gls,-0.00749847496,-0.06466930073,0.03558445048,0.2829,-3.381627456,-3.464045959,2.90630429,0.107,0.1557378102,0.1681108156
directed_uniform_0_2_min1024,uniform,conditional,block_gls,-0.05577807522,-0.1311167837,0.00809203606,0.0413,-1.035751534,-3.444599308,9.961698699,0.4667,0.1840804712,0.2036744825
directed_uniform_0_2_min1024,uniform,disorder,block_gls,0.03564013071,-0.01522846345,0.08536220871,0.9186,-1.511939578,-3.458975763,7.742364485,0.3193,0.0719880658,0.05449698697
undirected_gamma_k05_min128,gamma,marginal,block_gls,-0.0018131405,-0.00726192617,0.002063788064,0.1383,-3.300605564,-3.868534523,5.2819166,0.184,0.1579760264,0.1657112921
undirected_gamma_k05_min128,gamma,conditional,block_gls,-0.005249607816,-0.01232612239,0.0005028895297,0.0356,-1.34142922,-3.84555841,10.07579187,0.4337,0.2318898727,0.2289508284
undirected_gamma_k05_min128,gamma,disorder,block_gls,0.003651537305,-0.001268019352,0.008608198205,0.9253,-1.778155818,-3.862503945,7.760725189,0.3036,0.116688777,0.1149738574
undirected_gamma_k05_min128,uniform,marginal,block_gls,0.002470918104,-0.00314332324,0.006936944864,0.775,-2.936097596,-3.869384751,3.509385015,0.1087,0.158253761,0.1545788232
undirected_gamma_k05_min128,uniform,conditional,block_gls,0.002581083287,-0.005036512739,0.00885359078,0.7066,-3.348575437,-3.869756314,2.357185423,0.0825,0.1735363215,0.1728347656
undirected_gamma_k05_min128,uniform,disorder,block_gls,-0.0006318073733,-0.005670718169,0.004433970675,0.412,-3.81036039,-3.870171318,1.514628753,0.058,0.06244956387,0.06662089376
undirected_gamma_k05_min512,gamma,marginal,block_gls,-0.02494790194,-0.04442773936,-0.01170820391,0.0004,5.184005509,-1.73464183,24.44989848,0.9223,0.1538370539,0.1441971064
undirected_gamma_k05_min512,gamma,conditional,block_gls,-0.03112155447,-0.05714567979,-0.01050180436,0.0023,3.307464118,-2.888893194,19.90043792,0.825,0.2243892321,0.2121933356
undirected_gamma_k05_min512,gamma,disorder,block_gls,0.006979095977,-0.01158875852,0.02508810211,0.7703,-3.113680856,-3.686671047,3.762759021,0.1196,0.1087621493,0.1096744598
undirected_gamma_k05_min512,uniform,marginal,block_gls,-0.00272929134,-0.02427410204,0.01393576358,0.296,-3.606518488,-3.687403184,2.953109956,0.0972,0.1599973076,0.1631295358
undirected_gamma_k05_min512,uniform,conditional,block_gls,-0.01912847867,-0.04739225439,0.004382567041,0.0545,-1.552895393,-3.67790658,9.422605601,0.394,0.1720825716,0.1759420529
undirected_gamma_k05_min512,uniform,disorder,block_gls,0.01277381362,-0.005669386072,0.03143301396,0.9131,-1.848574839,-3.682635323,7.454594858,0.2793,0.07147615709,0.05679200554
undirected_gamma_k05_min1024,gamma,marginal,block_gls,-0.04175092595,-0.09061572128,-0.006313623617,0.012,0.3093278629,-3.334039217,14.31702429,0.6536,0.1396935235,0.1637714872
undirected_gamma_k05_min1024,gamma,conditional,block_gls,-0.05811179411,-0.1246340388,-0.003556225914,0.0196,0.1404894785,-3.394256887,13.12240193,0.5995,0.2171011919,0.2129212951
undirected_gamma_k05_min1024,gamma,disorder,block_gls,0.0242485162,-0.02417202742,0.07264258548,0.8337,-2.502270104,-3.463599336,5.180927649,0.1839,0.1076984752,0.121931961
undirected_gamma_k05_min1024,uniform,marginal,block_gls,-0.007371944121,-0.06518919332,0.03746472511,0.2893,-3.384739133,-3.464543674,3.009888482,0.1071,0.1553600828,0.1682777621
undirected_gamma_k05_min1024,uniform,conditional,block_gls,-0.05480981477,-0.1306284625,0.009294955269,0.0437,-1.134515498,-3.447478594,9.775920286,0.4396,0.1843347192,0.2038172583
undirected_gamma_k05_min1024,uniform,disorder,block_gls,0.03564046459,-0.01429391974,0.08344915381,0.916,-1.512284357,-3.459637996,7.243532533,0.3163,0.07168307546,0.05443236639
