model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,16,disorder,4096,512,training,0.09932885906,0.07293461069,0.08034686431
gamma,1,16,disorder,5120,640,heldout,0.07911392405,0.07532231568,0.08642134001
gamma,1,16,disorder,6144,768,heldout,-0.007692307692,0.0772732127,0.09172371997
gamma,1,8,marginal,128,32,training,0.6089006918,0.6469440786,0.5923103341
gamma,1,8,marginal,256,64,training,0.6933997194,0.7013911876,0.7031794462
gamma,1,8,marginal,512,128,training,0.7689281056,0.7558382966,0.7867034416
gamma,1,8,marginal,768,192,training,0.7992584084,0.7876878136,0.8228854215
gamma,1,8,marginal,1024,256,training,0.8400611315,0.8102854055,0.8428823204
gamma,1,8,marginal,1536,384,training,0.8729952314,0.8421349226,0.8630684326
gamma,1,8,marginal,2048,512,training,0.8725075075,0.8647325145,0.8717160827
gamma,1,8,marginal,2560,640,training,0.9105482456,0.8822605686,0.8751799078
gamma,1,8,marginal,3072,768,training,0.9563210702,0.8965820315,0.8759063271
gamma,1,8,marginal,4096,1024,training,0.7841163311,0.9191796235,0.8732047284
gamma,1,8,marginal,5120,1280,heldout,0.9232594937,0.9367076775,0.8678653922
gamma,1,8,marginal,6144,1536,heldout,0.8945512821,0.9510291405,0.861399105
gamma,1,8,conditional,128,32,training,0.5666746541,0.5906371101,0.5560023288
gamma,1,8,conditional,256,64,training,0.6336772657,0.6442994761,0.6454331334
gamma,1,8,conditional,512,128,training,0.7229413083,0.6979618421,0.7175286421
gamma,1,8,conditional,768,192,training,0.7239614591,0.7293523139,0.7516656564
gamma,1,8,conditional,1024,256,training,0.7952648661,0.751624208,0.7722888546
gamma,1,8,conditional,1536,384,training,0.7667292058,0.7830146798,0.7962853709
gamma,1,8,conditional,2048,512,training,0.7767687688,0.805286574,0.8097137712
gamma,1,8,conditional,2560,640,training,0.8405983709,0.8225619973,0.8180732488
gamma,1,8,conditional,3072,768,training,0.9630100334,0.8366770458,0.8235697893
gamma,1,8,conditional,4096,1024,training,0.730738255,0.85894894,0.8298033917
gamma,1,8,conditional,5120,1280,heldout,0.8199367089,0.8762243632,0.8325821504
gamma,1,8,conditional,6144,1536,heldout,0.8176282051,0.8903394118,0.8335189117
gamma,1,8,disorder,128,32,training,0.04222603767,0.05630696848,0.03630800539
gamma,1,8,disorder,256,64,training,0.05972245374,0.05709171148,0.05774631272
gamma,1,8,disorder,512,128,training,0.04598679736,0.05787645448,0.06917479953
gamma,1,8,disorder,768,192,training,0.07529694924,0.05833549971,0.07121976509
gamma,1,8,disorder,1024,256,training,0.04479626542,0.05866119748,0.0705934658
gamma,1,8,disorder,1536,384,training,0.1062660256,0.05912024271,0.06678306171
gamma,1,8,disorder,2048,512,training,0.09573873874,0.05944594049,0.06200231154
gamma,1,8,disorder,2560,640,training,0.06994987469,0.05969857131,0.05710665901
gamma,1,8,disorder,3072,768,training,-0.006688963211,0.05990498572,0.05233653781
gamma,1,8,disorder,4096,1024,training,0.05337807606,0.06023068349,0.04340133676
gamma,1,8,disorder,5120,1280,heldout,0.1033227848,0.06048331431,0.03528324177
gamma,1,8,disorder,6144,1536,heldout,0.07692307692,0.06068972872,0.02788019337
gamma,1,4,marginal,128,64,training,0.6692746013,0.6727179918,0.6713496792
gamma,1,4,marginal,256,128,training,0.7472209674,0.7470220523,0.7470668396
gamma,1,4,marginal,512,256,training,0.8261565713,0.8213261129,0.8220991364
gamma,1,4,marginal,768,384,training,0.8666588522,0.864791202,0.8656727328
gamma,1,4,marginal,1024,512,training,0.8964921085,0.8956301734,0.8964465694
gamma,1,4,marginal,1536,768,training,0.9425889228,0.9390952625,0.9396195463
gamma,1,4,marginal,2048,1024,training,0.9751126126,0.969934234,0.9701091388
gamma,1,4,marginal,2560,1280,training,1.00410401,0.9938547987,0.9936774621
gamma,1,4,marginal,3072,1536,training,0.9618952062,1.013399323,1.012881496
gamma,1,4,marginal,4096,2048,training,1.072505593,1.044238295,1.043086844
gamma,1,4,marginal,5120,2560,heldout,0.9252373418,1.068158859,1.066434691
gamma,1,4,marginal,6144,3072,heldout,1.024038462,1.087703384,1.085458582
gamma,1,4,conditional,128,64,training,0.6243768961,0.6145253463,0.6506565991
gamma,1,4,conditional,256,128,training,0.6938505168,0.6878241886,0.6866415492
gamma,1,4,conditional,512,256,training,0.7880407882,0.761123031,0.7407108046
gamma,1,4,conditional,768,384,training,0.8108402101,0.8040001051,0.7807226658
gamma,1,4,conditional,1024,512,training,0.8221006447,0.8344218733,0.8128643655
gamma,1,4,conditional,1536,768,training,0.8503750391,0.8772989474,0.8634548672
gamma,1,4,conditional,2048,1024,training,0.8658213213,0.9077207157,0.9031022318
gamma,1,4,conditional,2560,1280,training,0.9226065163,0.9313176723,0.936000367
gamma,1,4,conditional,3072,1536,training,0.805819398,0.9505977898,0.964271374
gamma,1,4,conditional,4096,2048,training,1.166017897,0.981019558,1.011424403
gamma,1,4,conditional,5120,2560,heldout,0.8227056962,1.004616515,1.050144385
gamma,1,4,conditional,6144,3072,heldout,0.5227564103,1.023896632,1.083172186
gamma,1,4,disorder,128,64,training,0.04489770517,0.05819264551,0.02069308003
gamma,1,4,disorder,256,128,training,0.05337045063,0.05919786371,0.06042529046
gamma,1,4,disorder,512,256,training,0.03811578316,0.06020308192,0.08138833177
gamma,1,4,disorder,768,384,training,0.05581864216,0.06079109687,0.08495006706
gamma,1,4,disorder,1024,512,training,0.07439146382,0.06120830012,0.08358220396
gamma,1,4,disorder,1536,768,training,0.09221388368,0.06179631508,0.07616467915
gamma,1,4,disorder,2048,1024,training,0.1092912913,0.06221351833,0.06700690703
gamma,1,4,disorder,2560,1280,training,0.08149749373,0.06253712631,0.0576770951
gamma,1,4,disorder,3072,1536,training,0.1560758082,0.06280153328,0.04861012212
gamma,1,4,disorder,4096,2048,training,-0.09351230425,0.06321873653,0.03166244099
gamma,1,4,disorder,5120,2560,heldout,0.1025316456,0.06354234451,0.0162903062
gamma,1,4,disorder,6144,3072,heldout,0.5012820513,0.06380675148,0.002286395966
uniform,1,32,marginal,128,8,training,0.4736997138,0.4811895406,0.4732479599
uniform,1,32,marginal,256,16,training,0.5489584653,0.5502642578,0.5505241997
uniform,1,32,marginal,512,32,training,0.6199393479,0.6193389749,0.6238255435
uniform,1,32,marginal,768,48,training,0.6779498625,0.6597450942,0.6648614312
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6884136921,0.6931519914
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7288198114,0.7318627139
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7574884093,0.7585035433
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7797255014,0.778696254
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7978945286,0.7948891007
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8265631264,0.8198801992
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8488002185,0.8387932792
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8669692457,0.8539405916
uniform,1,32,conditional,128,8,training,0.4754407818,0.4807021422,0.4746363209
uniform,1,32,conditional,256,16,training,0.5511605268,0.5487937169,0.5489922619
uniform,1,32,conditional,512,32,training,0.607320184,0.6168852915,0.6203121563
uniform,1,32,conditional,768,48,training,0.6783834709,0.6567163093,0.6606241945
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6849768661,0.6885960041
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7248078839,0.7271320689
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7530684407,0.7538438054
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7749890316,0.774202887
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7928994585,0.7906038968
uniform,1,32,conditional,4096,256,training,0.8063534676,0.8211600154,0.8160555602
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8430806063,0.8354372531
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8609910331,0.8510396782
uniform,1,32,disorder,128,8,training,-0.001741067956,0.0004873983764,-0.001388360995
uniform,1,32,disorder,256,16,training,-0.002202061455,0.001470540914,0.001531937818
uniform,1,32,disorder,512,32,training,0.01261916383,0.002453683452,0.003513387223
uniform,1,32,disorder,768,48,training,-0.0004336084021,0.00302878497,0.004237236699
uniform,1,32,disorder,1024,64,training,0.007102367456,0.00343682599,0.004555987219
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004011927508,0.004730644997
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004419968528,0.004659737807
uniform,1,32,disorder,2560,160,training,0.008333333333,0.004736469732,0.00449336694
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.004995070046,0.004285203887
uniform,1,32,disorder,4096,256,training,0.03279642058,0.005403111066,0.003824638987
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.00571961227,0.003356026118
uniform,1,32,disorder,6144,384,heldout,0,0.005978212584,0.002900913369
uniform,1,16,marginal,128,16,training,0.5586172973,0.5445581058,0.559012729
uniform,1,16,marginal,256,32,training,0.6123449464,0.6185823633,0.618109238
uniform,1,16,marginal,512,64,training,0.6999331866,0.6926066208,0.6844405313
uniform,1,16,marginal,768,96,training,0.7172112716,0.7359080355,0.7265956927
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7666308783,0.758006609
uniform,1,16,marginal,1536,192,training,0.8032422608,0.809932293,0.8043938478
uniform,1,16,marginal,2048,256,training,0.8347882883,0.8406551358,0.838807471
uniform,1,16,marginal,2560,320,training,0.8381390977,0.864485624,0.8663589769
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8839565506,0.8894267873
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9146793933,0.9268431172
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9385098815,0.9567237035
uniform,1,16,marginal,6144,768,heldout,1.325,0.9579808081,0.9816945111
uniform,1,16,conditional,128,16,training,0.5668597544,0.5675447059,0.5537940253
uniform,1,16,conditional,256,32,training,0.620528088,0.6300249385,0.6304750225
uniform,1,16,conditional,512,64,training,0.6792013603,0.6925051712,0.7002735706
uniform,1,16,conditional,768,96,training,0.7245366029,0.7290537643,0.7379125945
uniform,1,16,conditional,1024,128,training,0.773317717,0.7549854038,0.7631896697
uniform,1,16,conditional,1536,192,training,0.8196873046,0.7915339969,0.7968027189
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8174656364,0.8192233196
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8375797786,0.8357976583
uniform,1,16,conditional,3072,384,training,0.8459531773,0.8540142295,0.8488103942
uniform,1,16,conditional,4096,512,training,0.8448322148,0.879945869,0.8683745204
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.9000600113,0.8827332054
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.9164944621,0.8939356204
uniform,1,16,disorder,128,16,training,-0.008242457076,-0.02298660017,0.00521870373
uniform,1,16,disorder,256,32,training,-0.008183141635,-0.01144257528,-0.01236578449
uniform,1,16,disorder,512,64,training,0.02073182637,0.0001014496093,-0.0158330393
uniform,1,16,disorder,768,96,training,-0.007325331333,0.006854271276,-0.01131690184
uniform,1,16,disorder,1024,128,training,-0.007133711237,0.0116454745,-0.005183060687
uniform,1,16,disorder,1536,192,training,-0.01644504378,0.01839829616,0.007591128936
uniform,1,16,disorder,2048,256,training,0.01007607608,0.02318949938,0.01958415134
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.02690584532,0.03056131854
uniform,1,16,disorder,3072,384,training,0.06672240803,0.02994232105,0.04061639312
uniform,1,16,disorder,4096,512,training,0.08402684564,0.03473352427,0.05846859678
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.03844987021,0.07399049804
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.04148634594,0.08775889073
uniform,1,8,marginal,128,32,training,0.6310667056,0.6254643231,0.6275650199
uniform,1,8,marginal,256,64,training,0.6917349419,0.6895933834,0.6895246239
uniform,1,8,marginal,512,128,training,0.7302215243,0.7537224437,0.7525356624
uniform,1,8,marginal,768,192,training,0.7880146912,0.7912355392,0.7898821723
uniform,1,8,marginal,1024,256,training,0.825015783,0.817851504,0.8165981352
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8553645995,0.8545596948
uniform,1,8,marginal,2048,512,training,0.8756131131,0.8819805643,0.8817120424
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9026255105,0.9028977657
uniform,1,8,marginal,3072,768,training,0.920039019,0.9194936598,0.9202886517
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9461096246,0.9478773839
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.9667545708,0.9694015935
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9836227201,0.9870690429
uniform,1,8,conditional,128,32,training,0.6275018614,0.6317642994,0.6156872452
uniform,1,8,conditional,256,64,training,0.6908577957,0.691133346,0.6916595763
uniform,1,8,conditional,512,128,training,0.7275319864,0.7505023927,0.7595850689
uniform,1,8,conditional,768,192,training,0.8015802701,0.7852310587,0.7955886473
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8098714393,0.8194637229
uniform,1,8,conditional,1536,384,training,0.8771974672,0.8446001053,0.8507602025
uniform,1,8,conditional,2048,512,training,0.8993868869,0.869240486,0.8712955383
uniform,1,8,conditional,2560,640,training,0.9393984962,0.88835305,0.8862694263
uniform,1,8,conditional,3072,768,training,0.8721237458,0.9039691519,0.8978849191
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9286095326,0.9150805152
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9477220967,0.9274638997
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.9633381986,0.9369627972
uniform,1,8,disorder,128,32,training,0.003564844141,-0.00629997625,0.01187777472
uniform,1,8,disorder,256,64,training,0.000877146191,-0.0015399626,-0.002134952366
uniform,1,8,disorder,512,128,training,0.002689537908,0.003220051049,-0.007049406503
uniform,1,8,disorder,768,192,training,-0.01356557889,0.006004480537,-0.005706474991
uniform,1,8,disorder,1024,256,training,0.0380576859,0.007980064699,-0.002865587694
uniform,1,8,disorder,1536,384,training,0.01371521263,0.01076449419,0.003799492312
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01274007835,0.01041650406
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01427246047,0.01662833943
uniform,1,8,disorder,3072,768,training,0.04791527313,0.01552450784,0.02240373256
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.017500092,0.03279686876
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.01903247412,0.0419376938
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.02028452149,0.05010624575
uniform,1,4,marginal,128,64,training,0.6888363338,0.6950488676,0.6827695282
uniform,1,4,marginal,256,128,training,0.763164069,0.7568107257,0.7572126501
uniform,1,4,marginal,512,256,training,0.8127444689,0.8185725839,0.8255097542
uniform,1,4,marginal,768,384,training,0.8346621655,0.8547009549,0.8626118784
uniform,1,4,marginal,1024,512,training,0.8829887185,0.880334442,0.8876608405
uniform,1,4,marginal,1536,768,training,0.9248182458,0.916462813,0.9211677747
uniform,1,4,marginal,2048,1024,training,0.977515015,0.9420963002,0.943665909
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9619791775,0.9603877465
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9782246712,0.9735776532
uniform,1,4,marginal,4096,2048,training,0.9343400447,1.003858158,0.9935249596
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.023741036,1.008268221
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.039986529,1.019841514
uniform,1,4,conditional,128,64,training,0.7027370673,0.7019327315,0.6991748945
uniform,1,4,conditional,256,128,training,0.7662725871,0.7607583347,0.7608486035
uniform,1,4,conditional,512,256,training,0.80969986,0.8195839378,0.8211419683
uniform,1,4,conditional,768,384,training,0.8430982746,0.8539947098,0.8557714371
uniform,1,4,conditional,1024,512,training,0.8742646993,0.878409541,0.8800549889
uniform,1,4,conditional,1536,768,training,0.9003627267,0.912820313,0.913877008
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9372351442,0.9375876652
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.9561727586,0.9558153365
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9716459161,0.9706022348
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9960607474,0.9937399974
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.014998362,1.011523297
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.030471519,1.025947117
uniform,1,4,disorder,128,64,training,-0.01390073346,-0.006883863908,-0.01640536633
uniform,1,4,disorder,256,128,training,-0.003108518086,-0.003947608934,-0.00363595341
uniform,1,4,disorder,512,256,training,0.003044608922,-0.001011353959,0.00436778591
uniform,1,4,disorder,768,384,training,-0.008436109027,0.0007062450937,0.006840441322
uniform,1,4,disorder,1024,512,training,0.008724019117,0.001924901016,0.00760585163
uniform,1,4,disorder,1536,768,training,0.02445551907,0.003642500068,0.007290766696
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.00486115599,0.006078243751
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.00580641896,0.004572410024
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.006578755043,0.00297541847
uniform,1,4,disorder,4096,2048,training,-0.01932885906,0.007797410965,-0.0002150377285
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,0.008742673935,-0.003255075678
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,0.009515010017,-0.006105603356
