L,first_environment_id,environments,batch_size,burn_in_attempts,thin_attempts,trace_samples
4,1,64,4,10000000,5000,2000
6,1,64,2,20000000,10000,2000
8,1,64,2,50000000,20000,2000
10,1,64,1,100000000,30000,2000
12,1,64,1,200000000,50000,2000
16,1,32,1,500000000,100000,2000
