order,first_sample_id,samples,batch_size
64,1,2048,1024
96,1,1536,768
128,1,1024,512
192,1,768,384
256,1,512,256
384,1,384,192
512,1,256,128
768,1,192,96
1024,1,128,64
1536,1,80,40
