order,first_sample_id,samples,batch_size
16,1,4000,200
24,1,4000,200
32,1,4000,200
48,1,3000,200
64,1,3000,200
96,1,2500,100
128,1,2000,100
192,1,1500,50
256,1,1000,40
384,1,1000,20
512,1,256,8
600,1,256,8
700,1,256,8
800,1,256,8
900,1,256,8
1000,1,256,8
1100,1,256,8
1200,1,256,8
1300,1,256,8
