order,first_sample_id,samples,batch_size
2048,1,1000,4
1536,1,1600,8
1024,1,3000,16
768,1,4000,32
512,1,5000,64
256,1,6000,200
128,1,6000,400
64,1,6000,1000
32,1,6000,1000
