order,first_sample_id,samples,batch_size
64,1,2048,512
96,1,1536,384
128,1,1024,256
192,1,768,128
256,1,512,64
384,1,384,32
512,1,256,16
768,1,192,8
1024,1,128,4
1536,1,80,2
