order,first_sample_id,samples,batch_size
64,1,2048,512
96,1,1536,512
128,1,1024,384
192,1,768,256
256,1,512,128
384,1,384,64
512,1,256,32
768,1,192,16
1024,1,128,8
1536,1,80,4
