L,environments,pooled_mean,conditional_component,disorder_component,total_component,direct_annealed_variance,maximum_absolute_start_gap,maximum_standardized_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,minimum_target_exchange_acceptance
2,64,0.05645312499999998,0.45637165457728857,0.7758145456349207,1.2321862002122093,1.2251255446777338,0.09799999999999986,1.7329179169135918,846.5308228129026,0.6885714285714286,0.9565714285714285
4,192,-0.064234375,1.1825729218776055,1.1771474520069807,2.359720373884586,2.3564781117350266,0.3360000000000001,3.019005915484683,127.3021658567585,0.608,0.9086666666666666
6,192,-0.14022395833333337,1.3501559008671,1.587931644633508,2.938087545500608,2.9345664081759977,0.46799999999999997,3.380940821819277,93.2763142689065,0.4794285714285714,0.8602857142857143
8,192,0.041885416666666675,1.7094005752876436,1.886839574934555,3.5962401502221986,3.5998706118706596,0.6159999999999999,4.253139343800282,97.09498950028106,0.36328571428571427,0.8278571428571428
10,128,0.009812500000000023,1.8221446660830414,2.3752707600885827,4.197415426171624,4.1887162148437485,0.5079999999999998,4.177789041432681,75.04547891249457,0.30638461538461537,0.7936923076923077
12,96,-0.0714791666666667,1.8551939302984828,2.6620762140350878,4.517270144333571,4.519724062065972,1.1019999999999999,5.4654683892687155,113.30726942306441,0.21628,0.7612
