L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
16,1,7276541464903481528,2000,-0.974,-0.948,-0.961,7.19125762881441,6.774711355677837,6.928760380190103,247.93061093523343,153.2382261439834,-0.026000000000000023,0.0965345212022653,0.15323333333333333,0.7101833333333334
16,2,16065168849421476091,2000,-0.454,-0.422,-0.438,2.520748374187092,2.4751215607803894,2.5992156078039037,1457.57481561211,1173.9592305245933,-0.03200000000000003,0.5116125351501308,0.11841666666666667,0.7126166666666667
16,3,15868915181053647579,2000,0.04,0.036,0.038,0.2801320660330167,0.25452726363181605,0.30285542771385715,692.8934839686655,275.29796632157746,0.0040000000000000036,0.10441906284228533,0.12193333333333334,0.70645
16,4,13597974483093632673,2000,0.086,0.424,0.255,2.444100050025013,1.8575327663831918,2.877662831415709,377.281417043021,255.16819789255914,-0.33799999999999997,2.6554983941221426,0.15793333333333334,0.7023833333333334
16,5,6835804041339684061,2000,-0.934,-0.402,-0.668,1.9954857428714377,2.865076538269132,1.4471195597798883,134.42239158209162,234.9823072812081,-0.532,3.2096916754526865,0.12508333333333332,0.71235
16,6,8769919330985304786,2000,-3.27,-3.404,-3.3369999999999997,2.1881160580290153,2.388294147073537,2.0297988994497245,331.53961756764227,358.25554787318,0.1339999999999999,1.1812045753191827,0.14563333333333334,0.70635
16,7,8522005243505888609,2000,-0.152,-0.128,-0.14,0.6720480240120057,0.7132526263131561,0.6399359679839925,1758.7933152590813,1253.6817650394055,-0.023999999999999994,0.7929907533640713,0.1417,0.7016
16,8,5779048598430966248,2000,-3.792,-3.898,-3.8449999999999998,0.5986813406703345,0.7891305652826407,0.39779489744872437,827.0069715801982,758.7555450302499,0.10600000000000032,2.756760922641003,0.12461666666666667,0.69525
16,9,7938077042346822850,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.14153333333333334,0.7067666666666667
16,10,12799451893495329747,2000,-0.024,-0.04,-0.032,0.12793596798399198,0.09547173586793403,0.15847923961980995,1352.3975123504974,271.683200922074,0.016,0.6256886904968691,0.1585,0.70415
