L,environments,pooled_mean,conditional_component,disorder_component,total_component,direct_annealed_variance,maximum_absolute_start_gap,maximum_standardized_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,minimum_target_exchange_acceptance
4,64,-6.250000000000023e-5,1.7003761255627814,4.571428571428573e-6,1.7003806969913529,1.7071249960937502,0.11399999999999999,2.686490615271029,1129.155459527726,NaN,NaN
6,64,-0.0018593750000000004,2.226957760130065,-0.0003733392857142857,2.226584420844351,2.22568404272461,0.208,4.185629930440813,1385.530278794095,NaN,NaN
8,64,0.005203125000000001,2.5665716920960473,6.531746031746066e-6,2.566578223842079,2.5781604274902343,0.166,2.7769607560477687,1223.3391817036654,NaN,NaN
10,64,0.0023593749999999995,2.862258598049025,-0.000323313492063492,2.861935284556962,2.8600569333496093,0.278,4.3006310340965355,871.4246433996327,NaN,NaN
12,64,0.00553125,3.0983810030015007,0.0004196656746031747,3.098800668676104,3.092219405273439,0.148,2.0338590214618097,767.535020633503,NaN,NaN
16,32,-0.0026562499999999998,3.359704664832417,-0.0013057741935483872,3.3583988906388687,3.375867944335938,0.268,2.7604016044243185,566.5736265725809,NaN,NaN
