order,log_fit,log2_fit,power_fit
24,5.425446247,5.692928058,5.535850695
32,5.92935139,6.042442973,6.021720285
48,6.639565799,6.586450999,6.70453918
64,7.143470941,7.008895759,7.187728297
96,7.85368535,7.655692628,7.867105016
128,8.357590493,8.151067233,8.348053407
192,9.067804902,8.900652946,9.024511121
256,9.571710044,9.468957396,9.503535629
384,10.28192445,10.32133195,10.17746066
512,10.7858296,10.96256625,10.65480035
600,11.06364284,11.32903587,10.91769104
