model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,128,8,training,0.4859144719,0.4597341796,0.5029865888
gamma,1,32,marginal,256,16,training,0.5434143885,0.5366276911,0.5352119636
gamma,1,32,marginal,512,32,training,0.6106402681,0.6135212025,0.5890859035
gamma,1,32,marginal,768,48,training,0.6501487247,0.6585010232,0.6306358027
gamma,1,32,marginal,1024,64,training,0.672847727,0.6904147139,0.6646084084
gamma,1,32,marginal,1536,96,training,0.7216197624,0.7353945347,0.7188219063
gamma,1,32,marginal,2048,128,training,0.7619134134,0.7673082254,0.7617794784
gamma,1,32,marginal,2560,160,training,0.69785401,0.792062407,0.7976680202
gamma,1,32,marginal,3072,192,training,0.7994370123,0.8122880461,0.828656575
gamma,1,32,marginal,4096,256,training,0.9662639821,0.8442017368,0.8805991134
gamma,1,32,marginal,5120,320,heldout,0.866693038,0.8689559184,0.9234569365
gamma,1,32,marginal,6144,384,heldout,0.7958333333,0.8891815575,0.9601398088
gamma,1,32,conditional,128,8,training,0.4458602962,0.4461638263,0.45434784
gamma,1,32,conditional,256,16,training,0.5108301245,0.5122104366,0.5119425594
gamma,1,32,conditional,512,32,training,0.5887345269,0.5782570469,0.5736335167
gamma,1,32,conditional,768,48,training,0.6334052263,0.6168918372,0.6116193137
gamma,1,32,conditional,1024,64,training,0.640874736,0.6443036572,0.6394207117
gamma,1,32,conditional,1536,96,training,0.6671794872,0.6829384475,0.6798026542
gamma,1,32,conditional,2048,128,training,0.7301456456,0.7103502675,0.7093041445
gamma,1,32,conditional,2560,160,training,0.6724279449,0.7316125269,0.7326731942
gamma,1,32,conditional,3072,192,training,0.7133723523,0.7489850578,0.7520822325
gamma,1,32,conditional,4096,256,training,0.8452796421,0.7763968778,0.7832838151
gamma,1,32,conditional,5120,320,heldout,0.8410601266,0.7976591372,0.8079715588
gamma,1,32,conditional,6144,384,heldout,0.6766025641,0.8150316681,0.8284580486
gamma,1,32,disorder,128,8,training,0.0400541757,0.01357035335,0.04863874881
gamma,1,32,disorder,256,16,training,0.03258426404,0.02441725447,0.0232694042
gamma,1,32,disorder,512,32,training,0.02190574115,0.0352641556,0.01545238684
gamma,1,32,disorder,768,48,training,0.01674349837,0.041609186,0.019016489
gamma,1,32,disorder,1024,64,training,0.031972991,0.04611105672,0.02518769673
gamma,1,32,disorder,1536,96,training,0.05444027517,0.05245608713,0.03901925214
gamma,1,32,disorder,2048,128,training,0.03176776777,0.05695795784,0.05247533388
gamma,1,32,disorder,2560,160,training,0.02542606516,0.06044988006,0.06499482596
gamma,1,32,disorder,3072,192,training,0.08606465998,0.06330298825,0.07657434253
gamma,1,32,disorder,4096,256,training,0.12098434,0.06780485897,0.09731529829
gamma,1,32,disorder,5120,320,heldout,0.02563291139,0.07129678118,0.1154853776
gamma,1,32,disorder,6144,384,heldout,0.1192307692,0.07414988937,0.1316817602
gamma,1,16,marginal,128,16,training,0.5495512447,0.5273976846,0.5533015132
gamma,1,16,marginal,256,32,training,0.6011792938,0.6048383928,0.603990515
gamma,1,16,marginal,512,64,training,0.6753542709,0.682279101,0.6676448227
gamma,1,16,marginal,768,96,training,0.7178042948,0.7275790114,0.7108905561
gamma,1,16,marginal,1024,128,training,0.7593388907,0.7597198092,0.7442644363
gamma,1,16,marginal,1536,192,training,0.8003932145,0.8050197196,0.7950943875
gamma,1,16,marginal,2048,256,training,0.8103103103,0.8371605174,0.8338493559
gamma,1,16,marginal,2560,320,training,0.8183145363,0.8620908571,0.8654480537
gamma,1,16,marginal,3072,384,training,0.9115942029,0.8824604278,0.8922635249
gamma,1,16,marginal,4096,512,training,0.9593064877,0.9146012256,0.9363995814
gamma,1,16,marginal,5120,640,heldout,0.9359177215,0.9395315653,0.9721721755
gamma,1,16,marginal,6144,768,heldout,0.9868589744,0.959901136,1.002397968
gamma,1,16,conditional,128,16,training,0.5141456771,0.50774545,0.5096172444
gamma,1,16,conditional,256,32,training,0.5612524171,0.5764118314,0.5763505643
gamma,1,16,conditional,512,64,training,0.6433283457,0.6450782129,0.6440207491
gamma,1,16,conditional,768,96,training,0.689297043,0.6852454711,0.6840395738
gamma,1,16,conditional,1024,128,training,0.7262278537,0.7137445944,0.7126277988
gamma,1,16,conditional,1536,192,training,0.7984482489,0.7539118526,0.7531946543
gamma,1,16,conditional,2048,256,training,0.777977978,0.7824109759,0.7821717134
gamma,1,16,conditional,2560,320,training,0.7373308271,0.8045166132,0.8047592022
gamma,1,16,conditional,3072,384,training,0.78909699,0.8225782341,0.8232865998
gamma,1,16,conditional,4096,512,training,0.9056152125,0.8510773573,0.8526524929
gamma,1,16,conditional,5120,640,heldout,0.9338607595,0.8731829947,0.8755415848
gamma,1,16,conditional,6144,768,heldout,0.9227564103,0.8912446156,0.8943154101
gamma,1,16,disorder,128,16,training,0.03540556759,0.01965223467,0.04368426875
gamma,1,16,disorder,256,32,training,0.0399268767,0.02842656139,0.02763995064
gamma,1,16,disorder,512,64,training,0.03202592519,0.03720088812,0.02362407356
gamma,1,16,disorder,768,96,training,0.02850725181,0.04233354022,0.02685098229
gamma,1,16,disorder,1024,128,training,0.03311103701,0.04597521485,0.03163663751
gamma,1,16,disorder,1536,192,training,0.001944965604,0.05110786695,0.04189973319
gamma,1,16,disorder,2048,256,training,0.03233233233,0.05474954157,0.05167764249
gamma,1,16,disorder,2560,320,training,0.08098370927,0.05757424386,0.06068885157
gamma,1,16,disorder,3072,384,training,0.1224972129,0.05988219368,0.06897692511
gamma,1,16,disorder,4096,512,training,0.05369127517,0.0635238683,0.0837470885
gamma,1,16,disorder,5120,640,heldout,0.002056962025,0.06634857059,0.09663059068
gamma,1,16,disorder,6144,768,heldout,0.0641025641,0.0686565204,0.1080825581
gamma,1,8,marginal,128,32,training,0.6123684503,0.6312523019,0.5991926853
gamma,1,8,marginal,256,64,training,0.6790684836,0.6910783376,0.6921277053
gamma,1,8,marginal,512,128,training,0.7509138428,0.7509043734,0.7690163429
gamma,1,8,marginal,768,192,training,0.8032875406,0.7859003609,0.8065546621
gamma,1,8,marginal,1024,256,training,0.8317309659,0.8107304092,0.8298585982
gamma,1,8,marginal,1536,384,training,0.8792604753,0.8457263967,0.8580103855
gamma,1,8,marginal,2048,512,training,0.8853348348,0.870556445,0.8746544713
gamma,1,8,marginal,2560,640,training,0.8807612782,0.8898161267,0.8856611256
gamma,1,8,marginal,3072,768,training,0.9112095875,0.9055524325,0.8934197266
gamma,1,8,marginal,4096,1024,training,0.8779642058,0.9303824808,0.903403962
gamma,1,8,marginal,5120,1280,heldout,1.049841772,0.9496421625,0.909244835
gamma,1,8,marginal,6144,1536,heldout,0.6073717949,0.9653784683,0.9127826854
gamma,1,8,conditional,128,32,training,0.5821969773,0.5970618633,0.5599569342
gamma,1,8,conditional,256,64,training,0.638105851,0.6584681142,0.6596826238
gamma,1,8,conditional,512,128,training,0.7160307061,0.7198743652,0.7408366665
gamma,1,8,conditional,768,192,training,0.7802772881,0.7557947193,0.7796994463
gamma,1,8,conditional,1024,256,training,0.7927517506,0.7812806161,0.8034190624
gamma,1,8,conditional,1536,384,training,0.8323170732,0.8172009702,0.8314181251
gamma,1,8,conditional,2048,512,training,0.8683278278,0.842686867,0.8474298113
gamma,1,8,conditional,2560,640,training,0.9106484962,0.8624552644,0.857646379
gamma,1,8,conditional,3072,768,training,0.8919230769,0.8786072211,0.864565157
gamma,1,8,conditional,4096,1024,training,0.8049440716,0.904093118,0.8728689133
gamma,1,8,conditional,5120,1280,heldout,1.252848101,0.9238615154,0.8771067461
gamma,1,8,conditional,6144,1536,heldout,0.5381410256,0.9400134721,0.879140542
gamma,1,8,disorder,128,32,training,0.03017147302,0.03419043858,0.03923575116
gamma,1,8,disorder,256,64,training,0.04096263266,0.03261022343,0.03244508147
gamma,1,8,disorder,512,128,training,0.03488313663,0.03103000828,0.02817967638
gamma,1,8,disorder,768,192,training,0.02301025256,0.03010564167,0.02685521584
gamma,1,8,disorder,1024,256,training,0.03897921529,0.02944979312,0.02643953588
gamma,1,8,disorder,1536,384,training,0.04694340213,0.02852542652,0.02659226044
gamma,1,8,disorder,2048,512,training,0.01700700701,0.02786957797,0.02722465998
gamma,1,8,disorder,2560,640,training,-0.02988721805,0.02736086232,0.0280147466
gamma,1,8,disorder,3072,768,training,0.01928651059,0.02694521136,0.02885456963
gamma,1,8,disorder,4096,1024,training,0.07302013423,0.02628936282,0.03053504868
gamma,1,8,disorder,5120,1280,heldout,-0.2030063291,0.02578064717,0.03213808892
gamma,1,8,disorder,6144,1536,heldout,0.06923076923,0.02536499621,0.03364214342
gamma,1,4,marginal,128,64,training,0.6934098322,0.6902781094,0.6973933391
gamma,1,4,marginal,256,128,training,0.7519577152,0.7526374879,0.7524045939
gamma,1,4,marginal,512,256,training,0.8033996399,0.8149968665,0.810977142
gamma,1,4,marginal,768,384,training,0.876988122,0.8514747645,0.8468908014
gamma,1,4,marginal,1024,512,training,0.8843133822,0.877356245,0.8731109834
gamma,1,4,marginal,1536,768,training,0.9072056754,0.913834143,0.9111078658
gamma,1,4,marginal,2048,1024,training,0.9061796797,0.9397156235,0.938806118
gamma,1,4,marginal,2560,1280,training,0.9619235589,0.9597908595,0.9607130099
gamma,1,4,marginal,3072,1536,training,0.9467781494,0.9761935216,0.9788862234
gamma,1,4,marginal,4096,2048,training,1.046196868,1.002075002,1.008062546
gamma,1,4,marginal,5120,2560,heldout,0.9411392405,1.022150238,1.031115918
gamma,1,4,marginal,6144,3072,heldout,0.8923076923,1.0385529,1.050225874
gamma,1,4,conditional,128,64,training,0.6466549842,0.6549219944,0.641356794
gamma,1,4,conditional,256,128,training,0.7161188531,0.7209787079,0.7214227208
gamma,1,4,conditional,512,256,training,0.786155231,0.7870354214,0.7946990344
gamma,1,4,conditional,768,384,training,0.8386885471,0.8256761217,0.8344154569
gamma,1,4,conditional,1024,512,training,0.8694404246,0.8530921349,0.861185735
gamma,1,4,conditional,1536,768,training,0.8863594434,0.8917328352,0.8969304884
gamma,1,4,conditional,2048,1024,training,0.87053003,0.9191488483,0.9208828225
