model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.009972860922,-0.02524495578,0.0001251818267,0.0263,-1.71547894,-3.85139778,4.733376179,0.2477,0.1481629082,0.1573345562
gamma,marginal,weighted,-0.001098361036,-0.0066172363,0.002885260362,0.2335,-3.719618648,-3.870377777,-0.4549246779,0.0181,0.1577138338,0.1647496519
gamma,conditional,unweighted,-0.01689491445,-0.03545351265,-0.002267537489,0.0138,-1.098349042,-3.823782031,6.23473059,0.3179,0.2271189038,0.2224165072
gamma,conditional,weighted,-0.005817984264,-0.01289654944,-6.469730813e-06,0.025,-0.9331839712,-3.846823514,4.498841187,0.2399,0.2317683675,0.2289241853
gamma,disorder,unweighted,0.006922053523,-0.00784674482,0.02067538879,0.8183,-2.288016174,-3.868887007,3.741199104,0.1287,0.1113298982,0.1155644944
gamma,disorder,weighted,0.003539250507,-0.001452983061,0.008401341033,0.9137,-1.001542082,-3.867328169,3.815735175,0.1618,0.1167970944,0.1150270339
uniform,marginal,unweighted,0.006992472352,-0.01271455827,0.02054534854,0.6711,-2.695146634,-3.869773784,1.339878197,0.0579,0.1509018437,0.1513162495
uniform,marginal,weighted,0.002253147132,-0.003362400597,0.006698837179,0.7413,-2.660951363,-3.870268661,0.9818600684,0.0494,0.1578514916,0.1540470702
uniform,conditional,unweighted,0.0001147527874,-0.02526007164,0.02124650186,0.3928,-3.870975068,-3.869947887,3.70601589,0.0935,0.1766793753,0.178770516
uniform,conditional,weighted,0.002240501844,-0.005311929393,0.008702140406,0.673,-2.995714904,-3.870394053,1.085281443,0.0472,0.1734804229,0.1726020082
uniform,disorder,unweighted,0.006877719564,-0.009201944199,0.02256823635,0.7995,0.06041059114,-3.86771425,6.704044893,0.2389,0.06125753519,0.05683260447
uniform,disorder,weighted,-0.0003810031316,-0.005377906642,0.00457415442,0.4411,-3.835045085,-3.87030235,-0.038015711,0.0243,0.06224810654,0.06594555426
