model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07353647978,0.4803370791,2.277526375,-2.052389583,8.031706269
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1626383311,0.8655757949,2.172985691,-1.915644812,8.209102844
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3158417388,1.511995435,2.204521324,-1.76750414,8.798063034
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6573946838,2.600185124,2.155202438,-1.583303644,10.98390927
uniform,1,8,marginal,128,6144,12,0.001190428762,-0.02799009596,0.02573062326,-2.401702287,-2.482920371,4.35434139
uniform,1,8,marginal,256,6144,11,-0.0008791899145,-0.04589412894,0.03751442516,-2.379847003,-2.396138161,4.996806
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.08964056983,0.05897322972,-1.577538883,-2.300486942,8.040421628
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1178198996,0.1028433156,-2.193251812,-2.195160433,6.325701974
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1504032532,0.1542608817,-1.899169152,-2.077550968,5.421846185
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2483797518,0.3171280075,-0.9992772113,-1.944217674,8.99008457
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5853483292,0.441599756,-1.081866456,-1.788854076,8.223971663
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.184871411,0.7375763944,2.65074292,-1.60444189,13.22266191
uniform,1,4,marginal,128,6144,12,-0.01160432647,-0.04251337772,0.01421883335,-1.847714395,-2.482683722,3.824001114
uniform,1,4,marginal,256,6144,11,-0.01918128631,-0.06717524001,0.02120722015,-1.709534984,-2.395223827,3.992207529
uniform,1,4,marginal,512,6144,10,-0.04624116622,-0.1308044739,0.02588788111,-0.9801933383,-2.298290702,6.7680347
uniform,1,4,marginal,768,6144,9,-0.07617027804,-0.1994894574,0.03194292897,-0.6010487204,-2.189617335,8.372577913
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2625288067,0.05906955119,-0.9613005361,-2.075497486,6.941716863
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4648467095,0.1241809814,-1.013907724,-1.942702314,6.557019263
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.8050547265,0.2959783073,-1.154210111,-1.789476765,5.00777746
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.588062068,0.4571158897,-0.5915293575,-1.605472641,8.123503319
