model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.02083333333,-0.013,0.3385049036,0.329641194,0.3471508265,0.2991025032,0.2883756237,0.3100141135,0.0394024004,0.03081713619,0.04796319803
gamma,1,32,64,4,6000,-0.01633333333,-0.008166666667,0.413318817,0.4027992985,0.4236495617,0.376279366,0.3627487724,0.3896466189,0.03703945102,0.02619683281,0.04758676654
gamma,1,32,128,8,6000,-0.02166666667,-0.0055,0.4859144719,0.4739852389,0.4979166514,0.4458602962,0.4299379511,0.4618943529,0.0400541757,0.02778593654,0.05232217592
gamma,1,32,256,16,6000,-0.02216666667,-0.019,0.5434143885,0.5301256129,0.5568009891,0.5108301245,0.4929109681,0.5286965484,0.03258426404,0.01899635773,0.04654195491
gamma,1,32,512,32,5000,-0.0036,-0.0274,0.6106402681,0.5936510882,0.6275653861,0.5887345269,0.5659573355,0.6119230726,0.02190574115,0.005359575915,0.03884131426
gamma,1,32,768,48,4000,-0.00225,-0.00475,0.6501487247,0.6302894099,0.6703871429,0.6334052263,0.6054597673,0.6612707864,0.01674349837,-0.003782020505,0.03721876094
gamma,1,32,1024,64,3000,-0.021,-0.01766666667,0.672847727,0.6490249097,0.6961519951,0.640874736,0.6087848908,0.6730126487,0.031972991,0.007760214516,0.05673215238
gamma,1,32,1536,96,1600,-0.0025,0.0125,0.7216197624,0.685940925,0.7570806412,0.6671794872,0.6213602251,0.7115388768,0.05444027517,0.01847678236,0.09066662758
gamma,1,32,2048,128,1000,0.024,0.011,0.7619134134,0.7137006632,0.8087755506,0.7301456456,0.663268456,0.7972142142,0.03176776777,-0.01600235235,0.0803704955
gamma,1,32,2560,160,400,0.005,-0.0725,0.69785401,0.6272017544,0.767650141,0.6724279449,0.5846578164,0.760122807,0.02542606516,-0.03509022556,0.08872415414
gamma,1,32,3072,192,300,-0.05333333333,-0.01666666667,0.7994370123,0.695710563,0.9040705128,0.7133723523,0.6001950948,0.829342252,0.08606465998,-0.01355852843,0.1927806577
gamma,1,32,4096,256,150,0.01333333333,-0.01333333333,0.9662639821,0.8246901566,1.103356264,0.8452796421,0.6726705817,1.02004698,0.12098434,-0.02031879195,0.2645671141
gamma,1,32,5120,320,80,-0.025,0.0125,0.866693038,0.7088587816,1.008544304,0.8410601266,0.6075158228,1.084731013,0.02563291139,-0.1525316456,0.1968393987
gamma,1,32,6144,384,40,0.225,0.15,0.7958333333,0.5701923077,1.002588141,0.6766025641,0.45,0.8769230769,0.1192307692,-0.1064102564,0.3609134615
gamma,1,16,32,4,6000,-0.02266666667,-0.03283333333,0.4246915458,0.4144198946,0.4350657287,0.3907634467,0.3769646063,0.4044919414,0.03392809913,0.02283123159,0.04478253667
gamma,1,16,64,8,6000,-0.0275,-0.0375,0.4866665278,0.4744031856,0.4991688625,0.4448574762,0.4289020847,0.4609595985,0.04180905151,0.02942812135,0.05445578013
gamma,1,16,128,16,6000,-0.014,-0.007166666667,0.5495512447,0.5357454614,0.562966418,0.5141456771,0.4963091637,0.5318389648,0.03540556759,0.02144550272,0.04927629049
gamma,1,16,256,32,6000,-0.02816666667,-0.01466666667,0.6011792938,0.5862566348,0.6155924994,0.5612524171,0.5413373288,0.5807642812,0.0399268767,0.02445847225,0.05524274462
gamma,1,16,512,64,5000,-0.0504,-0.0512,0.6753542709,0.6575704286,0.6934060222,0.6433283457,0.6188413763,0.6680984217,0.03202592519,0.01354755451,0.05116065213
gamma,1,16,768,96,4000,0.00025,-0.0005,0.7178042948,0.6967819885,0.7390548489,0.689297043,0.6599117779,0.7191483871,0.02850725181,0.006276597274,0.05012365591
gamma,1,16,1024,128,3000,-0.05,-0.04466666667,0.7593388907,0.7329867803,0.7856673391,0.7262278537,0.6910224853,0.7623653871,0.03311103701,0.006343033789,0.06066258475
gamma,1,16,1536,192,1600,0.005,-0.01375,0.8003932145,0.7626006098,0.8372970997,0.7984482489,0.7464040025,0.8512100092,0.001944965604,-0.03620815744,0.04003886218
gamma,1,16,2048,256,1000,0.01,-0.03,0.8103103103,0.7578058433,0.8624847598,0.777977978,0.7057852853,0.8535665165,0.03233233233,-0.01926736737,0.08592772773
gamma,1,16,2560,320,400,-0.0925,0.0625,0.8183145363,0.7343786028,0.9028074091,0.7373308271,0.6402725564,0.8421005639,0.08098370927,-0.001128446115,0.1627144424
gamma,1,16,3072,384,300,-0.04666666667,-0.02666666667,0.9115942029,0.809419175,1.008444816,0.78909699,0.6620032051,0.9147218506,0.1224972129,0.02559364548,0.2211309922
gamma,1,16,4096,512,150,0,-0.08666666667,0.9593064877,0.7871269575,1.150450224,0.9056152125,0.6868165548,1.140588367,0.05369127517,-0.1144552573,0.2373187919
gamma,1,16,5120,640,80,-0.0875,-0.2625,0.9359177215,0.7401107595,1.120110759,0.9338607595,0.6832179589,1.187025316,0.002056962025,-0.1557001582,0.1569620253
gamma,1,16,6144,768,40,-0.1,-0.375,0.9868589744,0.6958333333,1.270528846,0.9227564103,0.6141025641,1.215064103,0.0641025641,-0.2307692308,0.3871794872
gamma,1,8,32,8,6000,-0.0645,-0.05366666667,0.4951456771,0.4832498739,0.5069186851,0.4632685309,0.4465323696,0.4795395677,0.03187714619,0.01934908874,0.04470902373
gamma,1,8,64,16,6000,-0.038,-0.0655,0.5563089265,0.5429033606,0.5697923126,0.5072897566,0.4896389259,0.524934122,0.04901916986,0.03496784256,0.06318649219
gamma,1,8,128,32,6000,-0.06633333333,-0.03266666667,0.6123684503,0.597077159,0.6277510946,0.5821969773,0.5616522198,0.6027766155,0.03017147302,0.01396882814,0.04578382925
gamma,1,8,256,64,6000,-0.04283333333,-0.04383333333,0.6790684836,0.6622843029,0.6958097558,0.638105851,0.6153478774,0.6609257987,0.04096263266,0.02411034825,0.05833735762
gamma,1,8,512,128,5000,-0.0478,-0.0528,0.7509138428,0.7294181676,0.7714781796,0.7160307061,0.6878265653,0.7439746229,0.03488313663,0.01370412583,0.05669041008
gamma,1,8,768,192,4000,-0.066,-0.05675,0.8032875406,0.7786703559,0.8279687242,0.7802772881,0.7471585678,0.8141080372,0.02301025256,-0.001735655789,0.04807791635
gamma,1,8,1024,256,3000,-0.04766666667,-0.04266666667,0.8317309659,0.8019732758,0.8623427281,0.7927517506,0.7526367525,0.8330952095,0.03897921529,0.008886598311,0.06867880127
gamma,1,8,1536,384,1600,-0.04375,-0.05625,0.8792604753,0.8367318637,0.9211851157,0.8323170732,0.776202998,0.8876418611,0.04694340213,0.004686249218,0.09151398335
gamma,1,8,2048,512,1000,-0.001,-0.01,0.8853348348,0.830073048,0.9412367868,0.8683278278,0.7898673799,0.9493723098,0.01700700701,-0.03903303303,0.07499109109
gamma,1,8,2560,640,400,0.0125,-0.015,0.8807612782,0.7979689066,0.9649071115,0.9106484962,0.7812424812,1.048244987,-0.02988721805,-0.1219432957,0.06084680451
gamma,1,8,3072,768,300,-0.006666666667,-0.1166666667,0.9112095875,0.8170110089,1.004058807,0.8919230769,0.7553177258,1.034559643,0.01928651059,-0.08160535117,0.1188405797
gamma,1,8,4096,1024,150,-0.14,-0.05333333333,0.8779642058,0.7345408277,1.023738255,0.8049440716,0.6142281879,1.006624161,0.07302013423,-0.07248657718,0.2261319911
gamma,1,8,5120,1280,80,0.0375,0.0125,1.049841772,0.7761867089,1.320820807,1.252848101,0.8477610759,1.675247231,-0.2030063291,-0.4493670886,0.0411431962
gamma,1,8,6144,1536,40,0.1,-0.175,0.6073717949,0.4653766026,0.7230769231,0.5381410256,0.3384615385,0.7278846154,0.06923076923,-0.1045032051,0.2461538462
gamma,1,4,32,16,6000,-0.1048333333,-0.1006666667,0.5564475051,0.5434639996,0.5694279366,0.5168274574,0.4993482174,0.5349183642,0.03962004779,0.02531823985,0.05350417986
gamma,1,4,64,32,6000,-0.09433333333,-0.1191666667,0.6246377035,0.6096859584,0.6400208177,0.5868727982,0.5665896146,0.607305338,0.03776490526,0.02161682155,0.05339726343
gamma,1,4,128,64,6000,-0.09966666667,-0.09116666667,0.6934098322,0.6762804787,0.7107613276,0.6466549842,0.623505859,0.6696504167,0.04675484803,0.02919890607,0.06446756195
gamma,1,4,256,128,6000,-0.09866666667,-0.09966666667,0.7519577152,0.7328636412,0.7712590977,0.7161188531,0.6905059611,0.7417463588,0.03583886203,0.0167330055,0.05502495624
gamma,1,4,512,256,5000,-0.1008,-0.0988,0.8033996399,0.7807178396,0.8256908082,0.786155231,0.7549864853,0.8177057396,0.01724440888,-0.005267720544,0.03980022905
gamma,1,4,768,384,4000,-0.116,-0.1225,0.876988122,0.8515929475,0.903853833,0.8386885471,0.8019801739,0.8767496304,0.03829957489,0.009549559265,0.06685166135
gamma,1,4,1024,512,3000,-0.116,-0.1103333333,0.8843133822,0.8527939924,0.9158920529,0.8694404246,0.8239409678,0.9143345157,0.01487295765,-0.01742213238,0.04673378626
gamma,1,4,1536,768,1600,-0.098125,-0.144375,0.9072056754,0.8628824607,0.9516971154,0.8863594434,0.8247519934,0.9500481795,0.02084623202,-0.02556973108,0.06792721037
gamma,1,4,2048,1024,1000,-0.097,-0.138,0.9061796797,0.8517165666,0.9603183183,0.87053003,0.7968517643,0.9442471847,0.03564964965,-0.0193458959,0.09273293293
gamma,1,4,2560,1280,400,-0.0875,-0.0575,0.9619235589,0.8665256892,1.05450979,1.042155388,0.8847606516,1.203709273,-0.08023182957,-0.1822393484,0.01854730576
gamma,1,4,3072,1536,300,-0.1266666667,-0.1733333333,0.9467781494,0.8278134058,1.064218506,0.925328874,0.7686194259,1.087910396,0.02144927536,-0.09537486065,0.1406911929
gamma,1,4,4096,2048,150,-0.02666666667,-0.08666666667,1.046196868,0.8886996644,1.196991051,0.9545637584,0.721602349,1.203333333,0.09163310962,-0.08420805369,0.2563780761
gamma,1,4,5120,2560,80,-0.125,-0.025,0.9411392405,0.7113113133,1.188310918,0.9443037975,0.606289557,1.360682358,-0.003164556962,-0.2512658228,0.2221518987
gamma,1,4,6144,3072,40,0,-0.1,0.8923076923,0.6096153846,1.158653846,0.6871794872,0.4615304487,0.9022435897,0.2051282051,-0.05256410256,0.4551282051
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.3270833861,0.3445175126,0.3396248125,0.3273832375,0.3516418181,-0.003771739734,-0.01196594016,0.004514243346
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.4061759467,0.427311221,0.4139783158,0.3996758738,0.4286705854,0.002837750736,-0.007671750153,0.01305190518
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.4621178255,0.4855518875,0.4754407818,0.4584880675,0.4922019781,-0.001741067956,-0.01350657193,0.01058315136
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5352839751,0.5621512835,0.5511605268,0.5317469075,0.5707502167,-0.002202061455,-0.01603550314,0.01213288048
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.6024453716,0.6370143064,0.607320184,0.5841861497,0.6310810862,0.01261916383,-0.005118029606,0.03004182637
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6567528257,0.6994988653,0.6783834709,0.6484074019,0.7081759713,-0.0004336084021,-0.02160671418,0.0204471149
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.661293609,0.7095123305,0.6782225186,0.6451868234,0.7120887699,0.007102367456,-0.01702379126,0.030447991
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.6863847033,0.754032789,0.7230136023,0.6749177562,0.7691936122,-0.002413617886,-0.03562797061,0.03225747538
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7461430681,0.843784547,0.7645800801,0.6968816817,0.8343865866,0.03018218218,-0.01804984985,0.07924174174
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.6989191729,0.8413014568,0.7622525063,0.6640820802,0.8618421053,0.008333333333,-0.06322399749,0.08258145363
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6755285674,0.8392809365,0.8082720178,0.6739070513,0.9413344482,-0.0497993311,-0.1388695652,0.04127257525
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.6884994407,0.9920363535,0.8063534676,0.6022527964,1.021689038,0.03279642058,-0.09422818792,0.1615234899
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6757792722,1.057440665,0.8579113924,0.5873417722,1.16132318,0.01012658228,-0.1949367089,0.215664557
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6147435897,1.08943109,0.8705128205,0.5525641026,1.176602564,0,-0.2051282051,0.2019230769
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4133019864,0.4340266256,0.4234038451,0.4086092199,0.4385686392,0.0002331499694,-0.01073274782,0.01097977024
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.473674669,0.4971909718,0.4942542507,0.4772352337,0.511387252,-0.008908318053,-0.02121831555,0.003295099183
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.544739709,0.5723454975,0.5668597544,0.5466877289,0.5868632772,-0.008242457076,-0.02216980122,0.005865946408
