model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.05493201055,0.338564031,2.054174435,-2.168583998,7.564298547
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.06791961951,0.480164436,2.277526375,-2.050520964,8.197649143
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1477833999,0.8613949753,2.172985691,-1.921436394,8.477660032
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3055127043,1.510814162,2.204521324,-1.771762289,9.17696838
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.626521866,2.574550458,2.155202438,-1.588939437,10.67028881
uniform,1,8,marginal,128,6144,12,0.001190428762,-0.02778581198,0.02516112403,-2.401702287,-2.482822891,4.267308806
uniform,1,8,marginal,256,6144,11,-0.0008791899145,-0.04575090228,0.03701296779,-2.379847003,-2.395743616,4.778314653
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.08862069842,0.05855317463,-1.577538883,-2.300203619,8.068627258
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1166009586,0.1010432617,-2.193251812,-2.195132163,6.406793599
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.147662855,0.1536497174,-1.899169152,-2.077334675,5.480431657
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2527747298,0.3109680809,-0.9992772113,-1.944036203,7.989236266
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5869597064,0.4425976884,-1.081866456,-1.788938773,8.214378785
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.214964616,0.7331499268,2.65074292,-1.604902686,13.58493965
uniform,1,4,marginal,128,6144,12,-0.01160432647,-0.04251268513,0.01520363781,-1.847714395,-2.482631928,3.69338674
uniform,1,4,marginal,256,6144,11,-0.01918128631,-0.06755329344,0.02331354211,-1.709534984,-2.395432594,3.94825336
uniform,1,4,marginal,512,6144,10,-0.04624116622,-0.1314907848,0.02904252102,-0.9801933383,-2.297890173,6.705959338
uniform,1,4,marginal,768,6144,9,-0.07617027804,-0.20056053,0.03461495434,-0.6010487204,-2.191276207,8.530288766
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.263606081,0.06122398141,-0.9613005361,-2.075532108,6.741719515
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.468692185,0.1243696808,-1.013907724,-1.942467743,6.273611344
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.8112920637,0.293079729,-1.154210111,-1.789597411,5.157614886
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.585271049,0.4682286735,-0.5915293575,-1.605364392,8.243852551
