model,k,L,samples,mean_winding,var_winding,mean_raw_steps,mean_lerw_steps,mean_hit_x,mean_hit_y,mean_hit_x_over_L,mean_hit_y_over_L
gamma,0.5,16,700,0.037142857142857144,1.3577028407929697,138.93285714285713,36.89857142857143,10.832857142857144,11.34,0.6770535714285715,0.70875
gamma,0.5,32,700,-0.06857142857142857,1.400155323932148,309.32428571428574,79.71,24.962857142857143,24.344285714285714,0.7800892857142857,0.7607589285714286
gamma,0.5,64,700,-0.02857142857142857,1.4755773554056817,647.1857142857143,167.82857142857142,53.17857142857143,53.69857142857143,0.8309151785714286,0.8390401785714285
gamma,0.5,128,700,0.007142857142857143,1.5435826691191499,1367.6185714285714,352.93,112.89857142857143,111.89428571428572,0.8820200892857143,0.8741741071428571
gamma,0.5,256,700,0.011428571428571429,1.5477948089106888,2891.8714285714286,739.6742857142857,234.46142857142857,235.0157142857143,0.9158649553571429,0.9180301339285715
gamma,1.0,16,700,0.0014285714285714286,1.7553627631310034,191.60714285714286,38.48428571428571,9.491428571428571,8.815714285714286,0.5932142857142857,0.5509821428571429
gamma,1.0,32,700,0.03142857142857143,1.8788391579807888,481.21285714285716,87.47571428571429,22.65,22.83142857142857,0.7078125,0.7134821428571428
gamma,1.0,64,700,-0.014285714285714285,1.7308399754751687,1045.087142857143,184.61857142857144,49.497142857142855,51.01,0.7733928571428571,0.79703125
gamma,1.0,128,700,0.022857142857142857,1.8592765174739423,2244.6057142857144,388.1,106.43285714285715,107.45285714285714,0.8315066964285714,0.8394754464285714
gamma,1.0,256,700,-0.01,2.0986123032904147,4731.872857142857,820.6528571428571,228.93857142857144,227.57142857142858,0.8942912946428572,0.8889508928571429
gamma,20.0,16,700,-0.012857142857142857,1.9726527692622113,296.2757142857143,40.558571428571426,0.6828571428571428,1.1014285714285714,0.04267857142857143,0.06883928571428571
gamma,20.0,32,700,0.06,2.7632045779685264,1174.4914285714285,96.99142857142857,3.335714285714286,4.098571428571429,0.10424107142857143,0.12808035714285715
gamma,20.0,64,700,-0.07,3.0380114449213163,4684.354285714286,232.75142857142856,17.244285714285713,12.058571428571428,0.26944196428571426,0.18841517857142856
gamma,20.0,128,700,0.09428571428571429,3.539023094216227,16651.181428571428,545.89,51.58857142857143,52.01,0.4030357142857143,0.406328125
gamma,20.0,256,700,-0.055714285714285716,3.7350889025137954,48969.08,1237.5685714285714,150.65714285714284,151.37428571428572,0.5885044642857142,0.5913058035714286
gamma4,0.5,16,700,0.07285714285714286,1.9646413243408951,486.5757142857143,42.21,0.03,-0.4228571428571429,0.001875,-0.02642857142857143
gamma4,0.5,32,700,0.008571428571428572,2.4863355814428774,1989.3728571428571,99.37571428571428,-0.42142857142857143,-0.011428571428571429,-0.013169642857142857,-0.00035714285714285714
gamma4,0.5,64,700,0.03857142857142857,3.3361352953198447,8495.978571428572,240.92714285714285,-1.2385714285714287,1.3371428571428572,-0.019352678571428573,0.020892857142857144
gamma4,0.5,128,700,0.027142857142857142,3.900549764970366,35468.5,570.9885714285714,-3.212857142857143,2.084285714285714,-0.02510044642857143,0.01628348214285714
gamma4,0.5,256,700,-0.07142857142857142,4.18373186184345,149512.55571428573,1393.1128571428571,4.28,-0.7442857142857143,0.01671875,-0.0029073660714285716
gamma4,1.0,16,700,0.004285714285714286,1.9871060698957694,382.79285714285714,41.65571428571429,-0.22714285714285715,-0.15142857142857144,-0.014196428571428572,-0.009464285714285715
gamma4,1.0,32,700,0.045714285714285714,2.6302391171060697,1501.05,99.35,-0.69,-0.8057142857142857,-0.0215625,-0.02517857142857143
gamma4,1.0,64,700,0.13,3.2806437768240344,6114.954285714286,233.74285714285713,1.6514285714285715,-1.322857142857143,0.02580357142857143,-0.02066964285714286
gamma4,1.0,128,700,0.08428571428571428,3.5937441242591457,23632.937142857143,551.1628571428571,0.8528571428571429,1.7842857142857143,0.006662946428571429,0.013939732142857143
gamma4,1.0,256,700,0.015714285714285715,4.001183323114653,96802.53285714285,1346.1471428571429,7.067142857142857,6.78,0.027606026785714284,0.026484375
gamma4,20.0,16,700,0.06,2.033590844062947,302.3485714285714,40.417142857142856,0.7014285714285714,0.5042857142857143,0.04383928571428571,0.031517857142857146
gamma4,20.0,32,700,-0.008571428571428572,2.3690251379521765,1161.4971428571428,97.18571428571428,1.39,1.2014285714285715,0.0434375,0.03754464285714286
gamma4,20.0,64,700,-0.07,3.301244635193133,4722.132857142858,232.36428571428573,1.43,-0.5771428571428572,0.02234375,-0.009017857142857143
gamma4,20.0,128,700,0.06428571428571428,3.8656754547312486,19206.95,547.77,-0.9342857142857143,1.53,-0.007299107142857143,0.011953125
gamma4,20.0,256,700,-0.13285714285714287,4.103926016758635,79695.65142857142,1309.6228571428571,4.387142857142857,-6.838571428571429,0.017137276785714285,-0.026713169642857144
symmetric,None,16,700,-0.032857142857142856,1.8944839566727978,296.88,40.285714285714285,-0.06285714285714286,-0.3314285714285714,-0.003928571428571429,-0.020714285714285713
symmetric,None,32,700,0.04,2.353190271816881,1239.0828571428572,96.17714285714285,0.8928571428571429,0.2642857142857143,0.027901785714285716,0.008258928571428572
symmetric,None,64,700,0.09142857142857143,3.1475659104843654,4861.198571428571,231.80428571428573,5.558571428571429,2.462857142857143,0.08685267857142857,0.03848214285714286
symmetric,None,128,700,0.11428571428571428,3.572041692213366,20045.727142857144,559.1157142857143,-0.005714285714285714,5.001428571428572,-4.464285714285714e-05,0.03907366071428572
symmetric,None,256,700,0.10142857142857142,4.300141017780502,77271.19714285714,1329.5257142857142,-4.511428571428572,-11.262857142857143,-0.017622767857142858,-0.043995535714285716
