model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.02488524259,-0.08017807098,0.1073604996,0.5949,-2.742742015,-3.464650023,1.953784682,0.0821,0.1050205754,0.1065558326
gamma,marginal,weighted,0.0234922051,-0.03506875204,0.06715115433,0.7372,-2.050991547,-3.46448099,1.906976072,0.0808,0.1246754582,0.127007734
gamma,conditional,unweighted,0.03852112193,-0.07630698818,0.1335778264,0.6944,-1.885157639,-3.46417426,2.817966031,0.1106,0.1211693077,0.133670922
gamma,conditional,weighted,0.0265943909,-0.03954960969,0.07916573405,0.7548,-1.655463794,-3.464092736,2.911797944,0.1081,0.1187517887,0.105874044
gamma,disorder,unweighted,-0.01363587934,-0.09846906655,0.06775653161,0.3565,-3.198825856,-3.464808162,1.936993958,0.0742,0.09706525549,0.1298513025
gamma,disorder,weighted,0.002352482409,-0.05036273415,0.05271328637,0.52,-3.44375028,-3.464775836,1.518869976,0.0623,0.0786924715,0.08684631694
uniform,marginal,unweighted,0.03369531332,-0.0781976466,0.120701977,0.6536,-2.647288062,-3.464584533,2.127378275,0.0764,0.1454576827,0.1512893476
uniform,marginal,weighted,-0.01260333754,-0.07114513681,0.03208782666,0.2215,-2.917070772,-3.463948306,3.422327937,0.1277,0.1542373279,0.1685811783
uniform,conditional,unweighted,-0.002120550611,-0.144810883,0.121042241,0.4017,-3.463631127,-3.464604513,3.614497957,0.1015,0.1849749576,0.208619834
uniform,conditional,weighted,-0.05189399394,-0.1278515702,0.0121963569,0.0514,2.821441782,-3.44906007,9.661830916,0.4294,0.1841521119,0.2057478045
uniform,disorder,unweighted,0.03581586393,-0.05624129466,0.1257167502,0.7827,-0.4016176964,-3.462138101,7.611037082,0.2332,0.06907537274,0.07593343612
uniform,disorder,weighted,0.0364127449,-0.01493487751,0.08622122429,0.9191,1.533421561,-3.460025623,7.406554926,0.315,0.07038206689,0.05502634739
