model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.0245,-0.0035,0.3375833472,0.3285969741,0.3464954423,0.2844935823,0.2741361098,0.2950414086,0.05308976496,0.04418429391,0.062053154
gamma,1,32,64,4,6000,-0.001666666667,-0.031,0.4164208479,0.405825663,0.4269433326,0.3502948269,0.3376224148,0.3632330041,0.066126021,0.0553468974,0.07686859615
gamma,1,32,128,8,6000,-0.0245,-0.01816666667,0.484115547,0.4720771945,0.4961367461,0.4115485359,0.3966102451,0.4262379008,0.07256701117,0.06013188031,0.08532050689
gamma,1,32,256,16,6000,-0.01483333333,-0.024,0.5407754487,0.5268202742,0.5547650459,0.4664523948,0.4496409152,0.4835676484,0.07432305384,0.06054729122,0.08823101281
gamma,1,32,512,32,5000,-0.0122,-0.0076,0.6137194439,0.5959409882,0.6306541033,0.5205935387,0.5003829926,0.5406030631,0.09312590518,0.0761815143,0.1106723785
gamma,1,32,768,48,4000,-0.0235,-0.00525,0.6569993436,0.6368139785,0.6769093445,0.5560974931,0.5317530984,0.5811448229,0.1009018505,0.08029666323,0.1219708443
gamma,1,32,1024,64,3000,0.016,0.008,0.7047415805,0.6790710709,0.730549315,0.6235091697,0.591354018,0.6566856605,0.0812324108,0.05540967823,0.106899083
gamma,1,32,1536,96,1600,-0.01875,-0.005,0.7421505629,0.7068909524,0.778108217,0.6409310507,0.598264985,0.6856709271,0.1012195122,0.06492483583,0.1389092988
gamma,1,32,2048,128,1000,-0.036,-0.018,0.783973974,0.7350092718,0.8332195195,0.6765145145,0.6171656156,0.7352227227,0.1074594595,0.05784124124,0.1580664665
gamma,1,32,2560,160,400,-0.0275,-0.05,0.7339567669,0.6607713033,0.8069111059,0.6776911028,0.5827066886,0.7770701754,0.05626566416,-0.01499028822,0.1285739348
gamma,1,32,3072,192,300,-0.03,0,0.7804849498,0.692650641,0.8684062152,0.5998829431,0.5082692308,0.6932608696,0.1806020067,0.09553901895,0.2670571349
gamma,1,32,4096,256,150,-0.07333333333,-0.02,0.7823266219,0.6524826622,0.9118596197,0.6227293065,0.4893959732,0.7579642058,0.1595973154,0.04187472036,0.2845637584
gamma,1,32,5120,320,80,-0.075,0.0125,0.8261867089,0.6525316456,0.9961253956,0.6480221519,0.4581487342,0.841693038,0.178164557,0.02657832278,0.3322824367
gamma,1,32,6144,384,40,-0.15,0,1.091025641,0.7275641026,1.433020833,1.03974359,0.5948637821,1.552564103,0.05128205128,-0.3038461538,0.391025641
gamma,1,16,32,4,6000,-0.01933333333,-0.01033333333,0.4188295271,0.4083534492,0.4293754098,0.3513513919,0.3388041007,0.3641183756,0.06747813524,0.05643723121,0.07847429155
gamma,1,16,64,8,6000,-0.002333333333,-0.03066666667,0.4802737679,0.468394878,0.4920179325,0.4024990276,0.3884184989,0.4165419889,0.07777474023,0.06545288798,0.09002528755
gamma,1,16,128,16,6000,-0.03883333333,-0.05033333333,0.550654373,0.5373567862,0.5640875035,0.4782635856,0.4610237317,0.494649061,0.07239078735,0.05840394024,0.08650761307
gamma,1,16,256,32,6000,-0.018,-0.0295,0.6159221954,0.6007922379,0.6307067452,0.545608143,0.5269852559,0.564029788,0.07031405234,0.05503509057,0.08581795855
gamma,1,16,512,64,5000,-0.0048,-0.0222,0.7019824565,0.6827261152,0.7208427405,0.6210728346,0.5971495659,0.6449504341,0.08090962192,0.06107673435,0.101155085
gamma,1,16,768,96,4000,-0.021,-0.056,0.7206416604,0.6988555608,0.7422455778,0.6242935734,0.5968355065,0.6529852932,0.09634808702,0.07365960553,0.1185914666
gamma,1,16,1024,128,3000,-0.001666666667,-0.04133333333,0.7515615761,0.7248864941,0.7778090683,0.6732710348,0.6410448816,0.7056296807,0.07829054129,0.05168627042,0.1048792181
gamma,1,16,1536,192,1600,-0.06375,-0.034375,0.8169502423,0.7771036879,0.8554463385,0.6771792917,0.6326171631,0.7212667292,0.1397709506,0.1011288891,0.1783529745
gamma,1,16,2048,256,1000,-0.026,-0.01,0.8064184184,0.758110523,0.8564515766,0.7306026026,0.6688546547,0.794682545,0.07581581582,0.02598558559,0.1268558809
gamma,1,16,2560,320,400,0.0175,-0.17,0.8136810777,0.7355721335,0.8904452538,0.702929198,0.6008477444,0.8113270677,0.1107518797,0.02767888471,0.191641604
gamma,1,16,3072,384,300,0.01666666667,0.03,0.8254960981,0.7357125139,0.913039019,0.7089409142,0.6016662486,0.8190412486,0.1165551839,0.0240900223,0.2119314381
gamma,1,16,4096,512,150,-0.1333333333,-0.12,0.9099776286,0.7477561521,1.072529642,0.9193736018,0.7196504474,1.133357383,-0.009395973154,-0.166442953,0.1543646532
gamma,1,16,5120,640,80,0,-0.025,0.8351265823,0.6578322785,1.01068038,0.7465189873,0.5186708861,0.9935917722,0.08860759494,-0.1107594937,0.2911392405
gamma,1,16,6144,768,40,0.05,0.125,0.7983974359,0.5945512821,0.9663541667,0.5227564103,0.3217948718,0.7128205128,0.2756410256,0.07948717949,0.4692628205
gamma,1,8,32,8,6000,-0.05283333333,-0.039,0.4913423765,0.4791678502,0.5034694414,0.4112228566,0.3964127216,0.4262259988,0.08011951992,0.06737051314,0.09300118561
gamma,1,8,64,16,6000,-0.05033333333,-0.04666666667,0.5625714841,0.5484223252,0.5765094491,0.4900749569,0.472549236,0.5078334844,0.0724965272,0.05808203867,0.08699463036
gamma,1,8,128,32,6000,-0.05566666667,-0.0635,0.6279558121,0.6122651168,0.6439014614,0.5506444268,0.5313379924,0.5703457816,0.07731138523,0.06155908901,0.09330264002
gamma,1,8,256,64,6000,-0.05016666667,-0.05933333333,0.6965141829,0.6792083219,0.7134899216,0.6133102045,0.5917524921,0.6350644552,0.08320397844,0.06579494013,0.1005003251
gamma,1,8,512,128,5000,-0.0526,-0.043,0.7558432887,0.7350415223,0.7762407572,0.6464832166,0.62052012,0.6719034292,0.109360072,0.08803030906,0.1306675695
gamma,1,8,768,192,4000,-0.07975,-0.063,0.8091627594,0.7842621022,0.8345674458,0.7204148225,0.6881074651,0.7528141012,0.08874793698,0.06298499625,0.1144907258
gamma,1,8,1024,256,3000,-0.07133333333,-0.05,0.8031401578,0.7743791917,0.8325689841,0.6930034456,0.6583166166,0.7282083264,0.1101367122,0.08021712237,0.1397275203
gamma,1,8,1536,384,1600,-0.044375,-0.0275,0.8888803549,0.8462105027,0.9332772289,0.8188068715,0.7636022319,0.8764291354,0.07007348343,0.02712219551,0.1129459819
gamma,1,8,2048,512,1000,-0.037,-0.08,0.887503003,0.8306611612,0.9444903654,0.7943698699,0.7257780906,0.8637522648,0.09313313313,0.03646926927,0.1492737738
gamma,1,8,2560,640,400,0.0925,-0.1375,0.9035275689,0.8001661184,1.011340461,0.870726817,0.7192785088,1.048469063,0.03280075188,-0.07528822055,0.1360921053
gamma,1,8,3072,768,300,-0.1033333333,-0.02333333333,0.9308249721,0.8261629041,1.036343924,0.7961204013,0.6839463489,0.9092774526,0.1347045708,0.02725724638,0.2439130435
gamma,1,8,4096,1024,150,-0.08666666667,-0.1266666667,1.014988814,0.8437136465,1.188118568,0.8582550336,0.6721252796,1.050138702,0.1567337808,-0.003579418345,0.3283243848
gamma,1,8,5120,1280,80,-0.1375,-0.0875,1.087816456,0.8764181171,1.289887263,0.8088607595,0.5920886076,1.039240506,0.2789556962,0.06170490506,0.4987460443
gamma,1,8,6144,1536,40,-0.025,-0.35,0.821474359,0.5249759615,1.115408654,0.753525641,0.4243589744,1.076923077,0.06794871795,-0.1794871795,0.3320673077
gamma,1,4,32,16,6000,-0.08883333333,-0.1018333333,0.5432931878,0.5307339508,0.5560224666,0.483996166,0.4670532867,0.501382204,0.05929702173,0.04565248375,0.07342575846
gamma,1,4,64,32,6000,-0.1148333333,-0.1165,0.6300588709,0.6149672293,0.6454527751,0.5392551536,0.5199859921,0.55803218,0.09080371729,0.07496598044,0.1069565782
gamma,1,4,128,64,6000,-0.104,-0.1048333333,0.679293535,0.662687441,0.6955842502,0.5931818498,0.5718908638,0.6140863811,0.08611168528,0.06851980122,0.1035152387
gamma,1,4,256,128,6000,-0.09216666667,-0.1103333333,0.7353718259,0.7179840585,0.753273648,0.6355242402,0.6131242301,0.6578427599,0.09984758571,0.08134101309,0.1184820324
gamma,1,4,512,256,5000,-0.0902,-0.1052,0.8124609522,0.7903630841,0.8348145989,0.712129926,0.6835364653,0.7402112948,0.1003310262,0.07726861872,0.1236882376
gamma,1,4,768,384,4000,-0.11875,-0.12975,0.8657481245,0.839644855,0.892408821,0.7726326582,0.7397960115,0.806578708,0.09311546637,0.06591469117,0.1197462803
gamma,1,4,1024,512,3000,-0.1026666667,-0.1143333333,0.9143318328,0.8803482494,0.948746114,0.7820259531,0.740908814,0.8241260073,0.1323058797,0.09895955318,0.1662334167
gamma,1,4,1536,768,1600,-0.065625,-0.115625,0.9161096779,0.8691787054,0.9623729284,0.8092557849,0.751855222,0.8676440598,0.1068538931,0.06069851274,0.1527400328
gamma,1,4,2048,1024,1000,-0.106,-0.093,0.8804379379,0.8263797923,0.9333755255,0.7962117117,0.7299146772,0.8631640641,0.08422622623,0.03323708709,0.1372510761
gamma,1,4,2560,1280,400,0.0125,-0.1875,0.9998433584,0.8946510808,1.106438048,0.7994987469,0.6833270677,0.9190444862,0.2003446115,0.1065767544,0.2963983396
gamma,1,4,3072,1536,300,-0.006666666667,-0.1166666667,0.9279319955,0.8245206243,1.02885772,0.8484448161,0.7286733556,0.9680880713,0.07948717949,-0.02410367893,0.1867906912
