model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,128,6144,12,0.2501061234,0.1080471288,0.2645374031,0.1003332312,0.0009405719966,-0.02959063375,0.02719358419,0.4372,-2.474355838,-2.4837699,3.747032588,0.183,0.09495252978,0.09483147777
gamma,1,32,conditional,128,6144,12,0.1081146121,0.1120706844,0.3134907959,0.002291726131,0.01338558266,-0.02390613327,0.05021976339,0.7026,10.63767318,-2.482477556,9.213192545,0.3624,0.03240273439,0.01397851804
gamma,1,32,disorder,128,6144,12,0.1419915112,-0.004023555574,-0.04895339288,0.09804150511,-0.01244501066,-0.041090545,0.01392960054,0.1799,-0.3242369429,-2.48231841,8.881593609,0.3565,0.08898569991,0.08898205709
gamma,1,16,marginal,128,6144,12,0.2840035597,0.09825849601,0.2814488047,0.09939731141,-0.000118780303,-0.03414820072,0.03134460773,0.4185,-2.484568909,-2.481977759,4.921811902,0.2725,0.05486695089,0.05902609408
gamma,1,16,conditional,128,6144,12,0.2141699881,0.08059410056,0.02057031723,0.1668936797,-0.009001186773,-0.0427123977,0.02370266391,0.2479,0.06758841444,-2.480990361,6.173688128,0.3536,0.02705071977,0.003252622508
gamma,1,16,disorder,128,6144,12,0.06983357162,0.01766439545,0.2608784874,-0.06749636824,0.00888240647,-0.0192750859,0.03802100414,0.7069,-0.4497938001,-2.481742255,4.708630352,0.2691,0.06654348008,0.060831179
gamma,1,8,marginal,128,6144,12,0.1801881889,0.1182761585,0.7678888567,-0.1069555879,0.02052436385,-0.01811862773,0.05541726573,0.8074,0.05611897817,-2.47720856,3.687739939,0.3054,0.1448422628,0.1312813109
gamma,1,8,conditional,128,6144,12,0.1476140823,0.0918577542,0.6380106209,-0.09608293544,0.01712619627,-0.0233216269,0.05715867879,0.7435,-0.8255492458,-2.48071898,3.52598059,0.2343,0.1699744369,0.2052385994
gamma,1,8,disorder,128,6144,12,0.03257410656,0.02641840434,0.1298782358,-0.01087265244,0.003398167575,-0.02920176322,0.03734916912,0.5504,-2.366636763,-2.483266415,3.682828028,0.1782,0.06508667515,0.1226659269
gamma,1,4,marginal,128,6144,12,0.3606237228,0.08254031255,-0.1162548562,0.2430549406,-0.01298644536,-0.04098133672,0.01001250625,0.1092,-0.06032721429,-2.479074783,6.399725726,0.4101,0.1099437581,0.1150485964
