model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,16,disorder,4096,512,training,0.1991946309,0.1680248133,0.174284411
gamma,1,16,disorder,5120,640,heldout,0.1435126582,0.170594973,0.1799680235
gamma,1,16,disorder,6144,768,heldout,0.2628205128,0.1726949465,0.1848983015
gamma,1,8,marginal,128,32,training,0.6113626438,0.6126261482,0.6281670558
gamma,1,8,marginal,256,64,training,0.6997396094,0.6841797965,0.6836711152
gamma,1,8,marginal,512,128,training,0.7635546109,0.7557334448,0.7469536627
gamma,1,8,marginal,768,192,training,0.7774913416,0.7975896458,0.7875774678
gamma,1,8,marginal,1024,256,training,0.8523302212,0.8272870931,0.8180146983
gamma,1,8,marginal,1536,384,training,0.8593456848,0.8691432941,0.8631886273
gamma,1,8,marginal,2048,512,training,0.8522417417,0.8988407414,0.896854222
gamma,1,8,marginal,2560,640,training,0.9101723058,0.921875871,0.9238900089
gamma,1,8,marginal,3072,768,training,0.9104960981,0.9406969424,0.9465782748
gamma,1,8,marginal,4096,1024,training,1.04163311,0.9703943897,0.9834722338
gamma,1,8,marginal,5120,1280,heldout,0.9503164557,0.9934295193,1.013012135
gamma,1,8,marginal,6144,1536,heldout,1.2125,1.012250591,1.03774641
gamma,1,8,conditional,128,32,training,0.4855762627,0.5027107375,0.4761149341
gamma,1,8,conditional,256,64,training,0.5380056537,0.5488365348,0.5497070623
gamma,1,8,conditional,512,128,training,0.6158109822,0.5949623322,0.6099875394
gamma,1,8,conditional,768,192,training,0.6039314516,0.621944194,0.6390784517
gamma,1,8,conditional,1024,256,training,0.6721938424,0.6410881295,0.6569563653
gamma,1,8,conditional,1536,384,training,0.6990111007,0.6680699913,0.678260461
gamma,1,8,conditional,2048,512,training,0.6757552553,0.6872139269,0.6906135403
gamma,1,8,conditional,2560,640,training,0.7352098997,0.702063117,0.6986162388
gamma,1,8,conditional,3072,768,training,0.6971850613,0.7141957887,0.7041308192
gamma,1,8,conditional,4096,1024,training,0.6917449664,0.7333397242,0.7109590641
gamma,1,8,conditional,5120,1280,heldout,0.789556962,0.7481889143,0.7146763681
gamma,1,8,conditional,6144,1536,heldout,0.9971153846,0.760321586,0.7166895263
gamma,1,8,disorder,128,32,training,0.1257863811,0.1099154107,0.1520521217
gamma,1,8,disorder,256,64,training,0.1617339557,0.1353432616,0.133964053
gamma,1,8,disorder,512,128,training,0.1477436287,0.1607711126,0.1369661234
gamma,1,8,disorder,768,192,training,0.17355989,0.1756454519,0.1484990161
gamma,1,8,disorder,1024,256,training,0.1801363788,0.1861989635,0.161058333
gamma,1,8,disorder,1536,384,training,0.1603345841,0.2010733028,0.1849281663
gamma,1,8,disorder,2048,512,training,0.1764864865,0.2116268145,0.2062406818
gamma,1,8,disorder,2560,640,training,0.174962406,0.2198127541,0.2252737702
gamma,1,8,disorder,3072,768,training,0.2133110368,0.2265011537,0.2424474556
gamma,1,8,disorder,4096,1024,training,0.3498881432,0.2370546654,0.2725131698
gamma,1,8,disorder,5120,1280,heldout,0.1607594937,0.245240605,0.2983357665
gamma,1,8,disorder,6144,1536,heldout,0.2153846154,0.2519290047,0.3210568842
gamma,1,4,marginal,128,64,training,0.6798761738,0.6806754081,0.6847759351
gamma,1,4,marginal,256,128,training,0.7576323554,0.7495501661,0.7494159486
gamma,1,4,marginal,512,256,training,0.81690008,0.8184249241,0.8161083455
gamma,1,4,marginal,768,384,training,0.8500346024,0.8587140748,0.8560723239
gamma,1,4,marginal,1024,512,training,0.8910214516,0.8872996821,0.8848531258
gamma,1,4,marginal,1536,768,training,0.9224984365,0.9275888328,0.9260176715
gamma,1,4,marginal,2048,1024,training,0.9535355355,0.9561744401,0.9556502895
gamma,1,4,marginal,2560,1280,training,1.002374687,0.9783471597,0.9788785976
gamma,1,4,marginal,3072,1536,training,0.9562486065,0.9964635908,0.9980154025
gamma,1,4,marginal,4096,2048,training,1.048165548,1.025049198,1.028499837
gamma,1,4,marginal,5120,2560,heldout,0.9011075949,1.047221918,1.052388865
gamma,1,4,marginal,6144,3072,heldout,1.012179487,1.065338349,1.072065517
gamma,1,4,conditional,128,64,training,0.5382296494,0.5261655157,0.5413817411
gamma,1,4,conditional,256,128,training,0.5917152859,0.5908906348,0.590392581
gamma,1,4,conditional,512,256,training,0.6684303061,0.6556157539,0.6470194
gamma,1,4,conditional,768,384,training,0.6685308515,0.6934775215,0.6836745189
gamma,1,4,conditional,1024,512,training,0.7065119484,0.7203408731,0.7112621981
gamma,1,4,conditional,1536,768,training,0.7235741088,0.7582026406,0.7523723792
gamma,1,4,conditional,2048,1024,training,0.7847267267,0.7850659922,0.7831209754
gamma,1,4,conditional,2560,1280,training,0.8934837093,0.8059028265,0.8078748848
gamma,1,4,conditional,3072,1536,training,0.7646098105,0.8229277597,0.8286862187
gamma,1,4,conditional,4096,2048,training,0.8685682327,0.8497911113,0.8625957318
gamma,1,4,conditional,5120,2560,heldout,0.7417721519,0.8706279456,0.8898014389
gamma,1,4,conditional,6144,3072,heldout,1.005128205,0.8876528788,0.9126160374
gamma,1,4,disorder,128,64,training,0.1416465244,0.1545098923,0.1433941939
gamma,1,4,disorder,256,128,training,0.1659170695,0.1586595312,0.1590233676
gamma,1,4,disorder,512,256,training,0.148469774,0.1628091701,0.1690889455
gamma,1,4,disorder,768,384,training,0.1815037509,0.1652365533,0.172397805
gamma,1,4,disorder,1024,512,training,0.1845095032,0.166958809,0.1735909277
gamma,1,4,disorder,1536,768,training,0.1989243277,0.1693861922,0.1736452922
gamma,1,4,disorder,2048,1024,training,0.1688088088,0.1711084479,0.1725293141
gamma,1,4,disorder,2560,1280,training,0.1088909774,0.1724443333,0.1710037128
gamma,1,4,disorder,3072,1536,training,0.191638796,0.1735358311,0.1693291838
gamma,1,4,disorder,4096,2048,training,0.1795973154,0.1752580868,0.1659041047
gamma,1,4,disorder,5120,2560,heldout,0.159335443,0.1765939722,0.1625874257
gamma,1,4,disorder,6144,3072,heldout,0.007051282051,0.17768547,0.1594494795
uniform,1,32,marginal,128,8,training,0.4736997138,0.4811895406,0.4732479599
uniform,1,32,marginal,256,16,training,0.5489584653,0.5502642578,0.5505241997
uniform,1,32,marginal,512,32,training,0.6199393479,0.6193389749,0.6238255435
uniform,1,32,marginal,768,48,training,0.6779498625,0.6597450942,0.6648614312
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6884136921,0.6931519914
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7288198114,0.7318627139
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7574884093,0.7585035433
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7797255014,0.778696254
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7978945286,0.7948891007
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8265631264,0.8198801992
