model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.002089927545,-0.01696171515,0.01557162996,0.45,-3.690013217,-3.869839308,2.841720509,0.0829,0.1061758874,0.106027668
gamma,marginal,weighted,-3.449831623e-05,-0.005849263176,0.00434597784,0.3928,-3.870971606,-3.870471405,-0.1425035901,0.0223,0.1075281684,0.107240846
gamma,conditional,unweighted,0.007198931805,-0.0128427477,0.02318422933,0.6829,-1.872833969,-3.869544304,2.890424669,0.0961,0.1070923921,0.1068517149
gamma,conditional,weighted,0.001816269742,-0.004504346266,0.007235738535,0.6633,-3.248935697,-3.870363215,0.7467747603,0.0385,0.1062176838,0.102201991
gamma,disorder,unweighted,-0.00510900426,-0.01985754658,0.008955415684,0.2238,-2.590077717,-3.868886954,4.118155898,0.1262,0.08844448297,0.08995408264
gamma,disorder,weighted,-0.001901426502,-0.007354377936,0.003330135035,0.2265,-3.117425942,-3.870092227,1.551171492,0.0605,0.09563660942,0.09296716442
uniform,marginal,unweighted,0.006992472352,-0.01256134739,0.02100166954,0.6736,-2.695146634,-3.869673766,1.636335055,0.0628,0.1509018437,0.1513162495
uniform,marginal,weighted,0.00224087038,-0.003509211639,0.006730225171,0.7298,-2.677065991,-3.870254536,1.227093661,0.0469,0.1578719045,0.1541285748
uniform,conditional,unweighted,0.0001147527874,-0.02523103587,0.02087960885,0.3923,-3.870975068,-3.870009874,3.356360756,0.0974,0.1766793753,0.178770516
uniform,conditional,weighted,0.002296297674,-0.005633051513,0.008670780994,0.677,-2.952187029,-3.870037778,1.161433068,0.0479,0.1735179777,0.172618375
uniform,disorder,unweighted,0.006877719564,-0.009503535419,0.02261399771,0.7995,0.06041059114,-3.867459256,6.818867837,0.24,0.06125753519,0.05683260447
uniform,disorder,weighted,-0.000401762237,-0.005508450789,0.004676520509,0.4381,-3.830744781,-3.870558742,0.1151984358,0.0276,0.06220705984,0.06607574777
