model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.002676239556,-0.02296710611,0.01215844422,0.2537,-3.695387531,-3.869226176,4.186625718,0.1377,0.1433580371,0.1430273802
gamma,marginal,weighted,-0.001757844171,-0.007375537139,0.002394159566,0.1675,-3.304154848,-3.869533317,1.430899664,0.0598,0.1404395323,0.1398876528
gamma,conditional,unweighted,-0.0073515374,-0.02894629849,0.0107326747,0.1634,-3.184597783,-3.869320791,6.506080326,0.1871,0.2010721124,0.1994411722
gamma,conditional,weighted,-0.004126056956,-0.01073484965,0.001239529113,0.063,-2.193699656,-3.865239636,2.719140853,0.1263,0.1870616907,0.1850568538
gamma,disorder,unweighted,0.004675297844,-0.01156810951,0.02028288388,0.6934,-3.226583699,-3.869902629,3.252008477,0.1022,0.1082841635,0.1073982228
gamma,disorder,weighted,0.00127406457,-0.003990676169,0.006204301874,0.6749,-3.589423135,-3.870396432,-0.1994266126,0.0218,0.09596057608,0.09572633884
uniform,marginal,unweighted,0.006992472352,-0.01264201957,0.02042852739,0.6764,-2.695146634,-3.869878585,1.583615076,0.0594,0.1509018437,0.1513162495
uniform,marginal,weighted,0.002268717094,-0.003395981268,0.006563500167,0.7296,-2.657126626,-3.869968407,0.971800944,0.0475,0.1578898903,0.1540854933
uniform,conditional,unweighted,0.0001147527874,-0.02514830277,0.02072959047,0.4047,-3.870975068,-3.870058023,3.445531193,0.0966,0.1766793753,0.178770516
uniform,conditional,weighted,0.002294276086,-0.005351287365,0.008582624283,0.6709,-2.956543388,-3.870279827,1.093710883,0.0468,0.1735073001,0.1726259987
uniform,disorder,unweighted,0.006877719564,-0.00948157376,0.02216082986,0.7929,0.06041059114,-3.86729684,6.512346514,0.2308,0.06125753519,0.05683260447
uniform,disorder,weighted,-0.0003908890998,-0.005464645207,0.00468045343,0.4361,-3.832868985,-3.870564377,0.01385350948,0.0253,0.06232668764,0.06611519541
