model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,128,8,training,0.484115547,0.4903610281,0.4712099594
gamma,1,32,marginal,256,16,training,0.5407754487,0.5541854031,0.5548122513
gamma,1,32,marginal,512,32,training,0.6137194439,0.6180097781,0.6288291082
gamma,1,32,marginal,768,48,training,0.6569993436,0.6553446442,0.6676826564
gamma,1,32,marginal,1024,64,training,0.7047415805,0.6818341532,0.6932605301
gamma,1,32,marginal,1536,96,training,0.7421505629,0.7191690192,0.7265069583
gamma,1,32,marginal,2048,128,training,0.783973974,0.7456585282,0.748106517
gamma,1,32,marginal,2560,160,training,0.7339567669,0.7662053877,0.7637233645
gamma,1,32,marginal,3072,192,training,0.7804849498,0.7829933942,0.7757458252
gamma,1,32,marginal,4096,256,training,0.7823266219,0.8094829033,0.793367069
gamma,1,32,marginal,5120,320,heldout,0.8261867089,0.8300297627,0.8058980956
gamma,1,32,marginal,6144,384,heldout,1.091025641,0.8468177693,0.8153992571
gamma,1,32,conditional,128,8,training,0.4115485359,0.4302983062,0.3914604327
gamma,1,32,conditional,256,16,training,0.4664523948,0.4799367722,0.4812080041
gamma,1,32,conditional,512,32,training,0.5205935387,0.5295752382,0.5515165605
gamma,1,32,conditional,768,48,training,0.5560974931,0.5586118794,0.58363305
gamma,1,32,conditional,1024,64,training,0.6235091697,0.5792137041,0.6023861019
gamma,1,32,conditional,1536,96,training,0.6409310507,0.6082503453,0.6231314966
gamma,1,32,conditional,2048,128,training,0.6765145145,0.6288521701,0.6338166283
gamma,1,32,conditional,2560,160,training,0.6776911028,0.6448321869,0.6397987079
gamma,1,32,conditional,3072,192,training,0.5998829431,0.6578888113,0.6431909282
gamma,1,32,conditional,4096,256,training,0.6227293065,0.6784906361,0.6458081397
gamma,1,32,conditional,5120,320,heldout,0.6480221519,0.6944706529,0.6455322542
gamma,1,32,conditional,6144,384,heldout,1.03974359,0.7075272773,0.6438113448
gamma,1,32,disorder,128,8,training,0.07256701117,0.06006272187,0.07974952668
gamma,1,32,disorder,256,16,training,0.07432305384,0.07424863092,0.07360424717
gamma,1,32,disorder,512,32,training,0.09312590518,0.08843453998,0.07731254768
gamma,1,32,disorder,768,48,training,0.1009018505,0.09673276481,0.08404960637
gamma,1,32,disorder,1024,64,training,0.0812324108,0.102620449,0.09087442819
gamma,1,32,disorder,1536,96,training,0.1012195122,0.1109186739,0.1033754617
gamma,1,32,disorder,2048,128,training,0.1074594595,0.1168063581,0.1142898887
gamma,1,32,disorder,2560,160,training,0.05626566416,0.1213732008,0.1239246566
