model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.003883373152,-0.005268035995,0.01206057129,0.7771,-1.447700268,-2.483552926,2.904611315,0.1361,0.1581397457,0.143633126
gamma,1,32,conditional,-3.516993196e-05,-0.0105716334,0.009940969516,0.4676,-2.484867936,-2.484482287,0.4581543913,0.0387,0.215877063,0.2146443278
gamma,1,32,disorder,0.002456708689,-0.006182315883,0.01085280501,0.7051,-2.056568781,-2.484129693,2.254437118,0.1062,0.06466746984,0.06707924418
gamma,1,16,marginal,-0.006730300911,-0.01645197781,0.001642499663,0.0549,0.9138052269,-2.475378001,6.761222927,0.4023,0.1082644002,0.08252612842
gamma,1,16,conditional,-0.01211147328,-0.02404732713,-0.0011896635,0.0161,1.360208458,-2.421691461,6.897693534,0.5209,0.2132322902,0.1784115886
gamma,1,16,disorder,0.004151288731,-0.005440010581,0.01358685046,0.7951,-1.783675227,-2.483653448,2.170503312,0.1141,0.1169285935,0.1078547016
gamma,1,8,marginal,0.001295414646,-0.009790523142,0.01137453569,0.5427,-2.393231606,-2.484197576,1.525286988,0.076,0.1454393448,0.1480067038
gamma,1,8,conditional,0.003571938565,-0.009776276827,0.01569954811,0.6742,-2.213921199,-2.484241791,0.8976626596,0.0523,0.09426802629,0.1323584039
gamma,1,8,disorder,-0.003983975721,-0.01455603577,0.006612708257,0.2257,-1.877087478,-2.484105539,2.339986456,0.1196,0.1225416454,0.1438009022
gamma,1,4,marginal,-0.006561681676,-0.01822531129,0.003493068268,0.0926,-1.495735664,-2.481648311,2.779924822,0.1679,0.1449520141,0.1397034613
gamma,1,4,conditional,-0.00795242942,-0.02165316753,0.004797365281,0.1036,-1.010023592,-2.481482427,3.991984255,0.2194,0.1975118422,0.1986853818
gamma,1,4,disorder,0.0009994678726,-0.01000380227,0.01206144201,0.5599,-2.452299529,-2.484171566,0.9242290688,0.0519,0.06295312667,0.06640595599
uniform,1,32,marginal,-0.003520586942,-0.01279119362,0.004666297124,0.1796,-1.181789894,-2.482744694,4.796556878,0.22,0.008522362926,0.02258713153
uniform,1,32,conditional,-0.001345258751,-0.01410064708,0.01024477387,0.3819,-2.311638212,-2.48361941,3.615459748,0.1444,0.005672444867,0.01481878932
uniform,1,32,disorder,-0.001635594229,-0.01001882935,0.007199772309,0.3543,-2.098166244,-2.484009081,3.171617966,0.1321,0.008886029096,0.00550712008
uniform,1,16,marginal,0.006450614649,-0.003844845889,0.01565142255,0.8801,0.1384139691,-2.482254494,5.261934751,0.2595,0.2753932534,0.2496327941
uniform,1,16,conditional,0.0065964092,-0.006896457723,0.01936095566,0.8128,-0.02022669207,-2.482918185,5.009642576,0.2317,0.2647672016,0.2402336443
uniform,1,16,disorder,-0.0009900718304,-0.01097413933,0.008704655335,0.4158,-2.438668938,-2.484147744,1.246139441,0.0651,0.05679758588,0.06712746943
uniform,1,8,marginal,0.007004751018,-0.004172081447,0.01623978887,0.8824,0.2018646719,-2.481818091,4.692813856,0.2529,0.03182073986,0.04264534423
uniform,1,8,conditional,0.004460377717,-0.01066559592,0.01792174274,0.6887,-1.880113162,-2.483805839,2.307269144,0.1082,0.09135213686,0.09343383264
uniform,1,8,disorder,0.001550164087,-0.008507425997,0.01159800962,0.6149,-2.397741364,-2.484305108,1.021420072,0.0538,0.06240093068,0.06216172814
uniform,1,4,marginal,0.0008210283835,-0.0108628869,0.01110978098,0.5098,-2.457360756,-2.484289386,1.170224004,0.0591,0.1509643525,0.1546041698
uniform,1,4,conditional,-0.0002124580463,-0.01611546843,0.01445034957,0.4539,-2.483664038,-2.484212261,1.636168473,0.0809,0.2047927542,0.2204181519
uniform,1,4,disorder,9.21998801e-05,-0.01071670305,0.01078236689,0.5057,-2.48408786,-2.483837944,2.74145114,0.1201,0.0913217419,0.1054427447
