L,environments,mean_mcmc_minus_exact,mean_absolute_mean_error,root_mean_square_mean_error,maximum_absolute_finite_standardized_mean_error,count_absolute_standardized_mean_error_above_2,count_absolute_standardized_mean_error_above_4,count_zero_standard_error_inconsistent,mean_conditional_variance_error,root_mean_square_conditional_variance_error
2,64,-0.0007788164795660915,0.0050062400765211795,0.00996873742769659,2.35901652359741,21,19,19,-0.006755480792714907,0.037170029077719866
4,192,-0.0015745674112813315,0.020436803006142916,0.0371707982300837,3.3978611022525906,26,18,18,-0.0025351650868405393,0.09555121019901522
6,192,-0.005614964625323738,0.02777055666331589,0.0525972941960443,14.098773860831722,23,7,4,-0.01070115177891178,0.13128257063391474
8,192,-0.001134057932661225,0.03750053476659643,0.06388589359296577,9.316229271607916,31,5,0,0.009451359700347004,0.1670878423529295
10,128,-0.01856178909288904,0.07443044601164946,0.22654976405098376,148.27472175666287,20,6,1,0.00011067597125130499,0.4941489030648528
12,96,-0.03325338898207109,0.09550896018568782,0.4288138332136761,187.72811044526355,23,10,3,-0.029439656670450395,0.4952947624569343
16,64,0.10875706069582695,0.16931335318539703,0.5694488531664319,265.1186979616107,17,7,1,0.06004375692713623,0.4365736528759063
20,32,-0.09677420985487434,0.21787122275507467,0.46573821313278013,24.67830814574389,14,7,1,0.24440971207227258,1.1665184903283312
