L,environment_id,environment_seed,exact_mean,mcmc_mean,mcmc_minus_exact_mean,estimated_mcmc_mean_standard_error,standardized_mean_error,zero_standard_error_inconsistent,exact_conditional_variance,mcmc_conditional_variance,mcmc_minus_exact_conditional_variance,extremal_start_gap,standardized_extremal_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,target_exchange_acceptance
2,1,16503013862675582955,3.862424550100183,3.8609999999999998,-0.001424550100183275,0.011952137833852145,-0.11918789090170205,false,0.5313750550387845,0.5319279639819908,0.000552908943206365,0.026000000000000245,1.0876715262754173,1788.308077403466,0.8194285714285714,0.9911428571428571
2,2,7876645441089020994,0.3368709867709331,0.33199999999999996,-0.004870986770933117,0.022666868188100566,-0.21489456463554327,false,1.23400190425853,1.1596118059029512,-0.07439009835557875,0.043999999999999984,0.9705796062090898,1110.4395317313051,0.8968571428571429,0.9682857142857143
2,3,12217605947908914083,0.00041017394519721195,0.0,-0.00041017394519721195,0.0,NaN,true,0.0018115486698310757,0.0,-0.0018115486698310757,0.0,0.0,2000.0,0.8608571428571429,0.9817142857142858
2,4,7008982407598474083,-0.01153280256090261,-0.012,-0.00046719743909738945,0.004677167192486609,-0.09988897549950627,false,0.04599981017850596,0.04795197598799406,0.0019521658094881003,-0.011999999999999999,1.2828277786687603,1061.6490207533589,0.894,0.9682857142857143
2,5,17995853470203864178,0.4913754100387919,0.487,-0.004375410038791938,0.021116355041178682,-0.20720479601046288,false,1.769585803344694,1.7806483241620814,0.011062520817387345,-0.02200000000000002,0.5209232359727367,2000.0,0.9122857142857143,0.9731428571428572
2,6,184679872487367140,-0.007435509838678703,-0.011,-0.0035644901613212966,0.004118978391724794,-0.8653820977751454,false,0.05582658995836698,0.06793596798399204,0.012109378025625062,0.013999999999999999,1.6994505273597218,2000.0,0.8502857142857143,0.9668571428571429
2,7,6372658922972548020,-0.0025294796767688556,-0.003,-0.0004705203232311444,0.0017311841321042724,-0.27179103279974154,false,0.012348108006113943,0.011987993996998491,-0.00036011400911545137,0.006,1.7329179169135918,2000.0,0.8822857142857143,0.9754285714285714
2,8,12072279450063955472,-0.014438570013362961,-0.013000000000000001,0.0014385700133629602,0.0038682013250017602,0.371896365389489,false,0.06493663899423952,0.052008004002001056,-0.01292863499223846,-0.006,0.7755542558268047,2000.0,0.9002857142857142,0.9722857142857143
2,9,11204976245762855672,-0.6359614967422693,-0.648,-0.012038503257730704,0.023305075912376693,-0.5165614264889556,false,2.147804039948111,2.111703851925962,-0.03610018802214876,-0.052000000000000046,1.115636786499036,2000.0,0.87,0.9768571428571429
2,10,12018010025799607513,-0.003995425363869853,-0.004,-4.574636130147067e-6,0.0019994996872967383,-0.002287890395387775,false,0.015966730206173507,0.016008004002001,4.1273795827492105e-5,0.0,0.0,2000.0,0.8622857142857143,0.9742857142857143
2,11,8324409309590821860,6.350454097636682e-6,0.0,-6.350454097636682e-6,0.0,NaN,true,0.00019530632489783706,0.0,-0.00019530632489783706,0.0,0.0,2000.0,0.8671428571428571,0.9711428571428572
