distribution,distribution_params,variance_kind,L_left,L_right,L_mid_geometric,p_local
lognormal,"{""sigma"":1.0}",annealed,256,512,362.03867196751236,1.2723350659497898
lognormal,"{""sigma"":1.0}",annealed,512,1024,724.0773439350247,0.942196038440217
lognormal,"{""sigma"":1.0}",annealed,1024,2048,1448.1546878700494,1.2595998530950878
lognormal,"{""sigma"":1.0}",annealed,2048,4096,2896.309375740099,2.453287079720355
pareto,"{""alpha"":2.0}",annealed,16,32,22.627416997969522,1.1915240439600958
pareto,"{""alpha"":2.0}",annealed,32,64,45.254833995939045,1.2240606105216316
pareto,"{""alpha"":2.0}",annealed,64,128,90.50966799187809,1.254184916370812
pareto,"{""alpha"":2.0}",annealed,128,256,181.01933598375618,0.7970933210359666
pareto,"{""alpha"":2.0}",annealed,256,512,362.03867196751236,0.6638219172409082
pareto,"{""alpha"":2.0}",annealed,512,1024,724.0773439350247,1.3515788866540417
pareto,"{""alpha"":2.0}",annealed,1024,2048,1448.1546878700494,1.4043796077428559
pareto,"{""alpha"":2.0}",annealed,2048,4096,2896.309375740099,0.6677586639597124
pareto,"{""alpha"":3.0}",annealed,16,32,22.627416997969522,1.4858314036137465
pareto,"{""alpha"":3.0}",annealed,32,64,45.254833995939045,0.5572526069029129
pareto,"{""alpha"":3.0}",annealed,64,128,90.50966799187809,1.4088558699714615
pareto,"{""alpha"":3.0}",annealed,128,256,181.01933598375618,0.6559602496896498
pareto,"{""alpha"":3.0}",annealed,256,512,362.03867196751236,1.3303332494587181
pareto,"{""alpha"":3.0}",annealed,512,1024,724.0773439350247,1.5467786015954952
pareto,"{""alpha"":3.0}",annealed,1024,2048,1448.1546878700494,2.2852781102556126
pareto,"{""alpha"":3.0}",annealed,2048,4096,2896.309375740099,0.642023376303744
triangular,"{""a"":0.8}",annealed,16,32,22.627416997969522,0.9158217779456032
triangular,"{""a"":0.8}",annealed,32,64,45.254833995939045,1.2307528834010062
triangular,"{""a"":0.8}",annealed,64,128,90.50966799187809,0.7276722816250624
triangular,"{""a"":0.8}",annealed,128,256,181.01933598375618,1.4444766102800974
triangular,"{""a"":0.8}",annealed,256,512,362.03867196751236,1.0473345977344972
triangular,"{""a"":0.8}",annealed,512,1024,724.0773439350247,1.0370907164498548
triangular,"{""a"":0.8}",annealed,1024,2048,1448.1546878700494,1.318491382531608
triangular,"{""a"":0.8}",annealed,2048,4096,2896.309375740099,0.8091861042252942
uniform,"{""a"":0.7}",annealed,16,32,22.627416997969522,1.1095207461974685
uniform,"{""a"":0.7}",annealed,32,64,45.254833995939045,1.0544122218320802
uniform,"{""a"":0.7}",annealed,64,128,90.50966799187809,1.0131825019434426
uniform,"{""a"":0.7}",annealed,128,256,181.01933598375618,1.1382254865445405
uniform,"{""a"":0.7}",annealed,256,512,362.03867196751236,0.9925011589715662
uniform,"{""a"":0.7}",annealed,512,1024,724.0773439350247,1.1099812997521143
uniform,"{""a"":0.7}",annealed,1024,2048,1448.1546878700494,0.9623388474538549
uniform,"{""a"":0.7}",annealed,2048,4096,2896.309375740099,1.3583493739629884
weibull,"{""shape"":0.7}",annealed,16,32,22.627416997969522,1.2731515949927645
weibull,"{""shape"":0.7}",annealed,32,64,45.254833995939045,1.1323786561577929
weibull,"{""shape"":0.7}",annealed,64,128,90.50966799187809,0.9388350063052765
weibull,"{""shape"":0.7}",annealed,128,256,181.01933598375618,1.295041078097512
weibull,"{""shape"":0.7}",annealed,256,512,362.03867196751236,0.9713150959677023
weibull,"{""shape"":0.7}",annealed,512,1024,724.0773439350247,0.9278813762446709
weibull,"{""shape"":0.7}",annealed,1024,2048,1448.1546878700494,0.996901224831147
weibull,"{""shape"":0.7}",annealed,2048,4096,2896.309375740099,1.1602113331176234
