distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
lognormal,"{""sigma"":0.5}",annealed,512,4.21510355177589,1.4386741585959089,1.830711656754555,0.7858551363278904
lognormal,"{""sigma"":0.5}",quenched,512,4.131444444444444,1.4186270902441602,1.830711656754555,0.774904712607266
lognormal,"{""sigma"":0.5}",annealed,1024,5.60968384192096,1.7244943617827149,1.9360721724123813,0.8907180147287399
lognormal,"{""sigma"":0.5}",quenched,1024,5.53688888888889,1.7114327706156252,1.9360721724123813,0.8839715765777206
lognormal,"{""sigma"":0.5}",annealed,2048,5.183531062124248,1.645486496263171,2.0313823522167063,0.8100328795647782
lognormal,"{""sigma"":0.5}",quenched,2048,5.073,1.623932358584553,2.0313823522167063,0.7994223031486262
lognormal,"{""sigma"":0.5}",annealed,4096,6.474048096192385,1.867801584607193,2.118393729206336,0.8817065302147452
lognormal,"{""sigma"":0.5}",quenched,4096,6.267,1.8352977712425385,2.118393729206336,0.8663629173081717
lognormal,"{""sigma"":1.0}",annealed,16,1.9244608921784374,0.6546458725055382,1.0197814405382262,0.6419472315166134
lognormal,"{""sigma"":1.0}",quenched,16,1.7382666666666664,0.5528884481383768,1.0197814405382262,0.5421636697433619
lognormal,"{""sigma"":1.0}",annealed,32,2.5978443288657718,0.9546819968479878,1.242924991852436,0.7680930089153205
lognormal,"{""sigma"":1.0}",quenched,32,2.3318,0.846640501517054,1.242924991852436,0.6811678154891987
lognormal,"{""sigma"":1.0}",annealed,64,3.0553211042208437,1.1168846948647215,1.4252465486463906,0.7836431499697146
lognormal,"{""sigma"":1.0}",quenched,64,2.794911111111112,1.0278003032788416,1.4252465486463906,0.7211386017773428
lognormal,"{""sigma"":1.0}",annealed,128,3.6133111022204436,1.2846245548024462,1.5793972284736488,0.813363814778835
lognormal,"{""sigma"":1.0}",quenched,128,3.249133333333334,1.1783882941131019,1.5793972284736488,0.7461000138970185
lognormal,"{""sigma"":1.0}",annealed,256,4.265601280256052,1.4505831511372536,1.7129286210981716,0.8468438983798833
lognormal,"{""sigma"":1.0}",quenched,256,3.871377777777778,1.353610458613071,1.7129286210981716,0.7902316780399531
lognormal,"{""sigma"":1.0}",annealed,512,4.67307205441088,1.5418166829041164,1.830711656754555,0.8421952617253855
