distribution,distribution_params,L,log_L,log_log_L,pairs,observations,walks,environments,walks_per_environment_min,walks_per_environment_max,mean_winding_1,mean_winding_2,mean_winding_difference,variance_winding_1,variance_winding_2,covariance_winding_1_winding_2,correlation_winding_1_winding_2,pooled_single_winding_variance,double_dimer_variance,double_dimer_variance_se,variance_ratio_to_twice_pooled,variance_identity_rhs,variance_identity_residual,mean_winding,annealed_variance,annealed_variance_se,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
bernoulli,"{""a"":0.8}",16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,0.001,-0.0016,0.0026,1.9765943188637725,2.034004240848171,0.18483856771354273,0.09218449823633243,2.0051004200420044,3.6409214242848553,0.07642702952651362,0.9079149821854265,3.640921424284858,-2.6645352591003757e-15,0.0026,3.6409214242848553,0.07642702952651362,-0.01121875,-0.00335,362.1301,41.4109,4.1220399562735114e-5
bernoulli,"{""a"":0.8}",32,3.4657359027997265,1.242924991852436,2000,2000,4000,2000,2,2,0.036,-0.011,0.047,2.5269674837418723,2.5731655827913946,0.4141030515257627,0.16239577909252434,2.549981245311328,4.27192696348174,0.14128639116969446,0.837638898587307,4.271926963481742,-1.7763568394002505e-15,0.047,4.27192696348174,0.14128639116969446,0.01225,0.0029453125,1486.64425,99.38125,0.00019957199913915247
bernoulli,"{""a"":0.8}",64,4.1588830833596715,1.4252465486463906,2000,2000,4000,2000,2,2,0.025,-0.028,0.053,3.05790395197599,3.153792896448224,0.39689844922461215,0.1278058981308311,3.1057741935483874,5.417899949974984,0.18550059363489757,0.8722301771374054,5.41789994997499,-5.329070518200751e-15,0.053,5.417899949974984,0.18550059363489757,-0.00099609375,0.02752734375,5963.2475,235.782,0.0007615507501759567
bernoulli,"{""a"":0.8}",128,4.852030263919617,1.5793972284736488,2000,2000,4000,2000,2,2,-0.039,0.139,-0.178,3.841399699849926,3.664511255627816,0.37160680340170094,0.0990446171151814,3.7599399849962487,6.762697348674341,0.23145430769432276,0.8993092144635771,6.762697348674339,1.7763568394002505e-15,-0.178,6.762697348674341,0.23145430769432276,-0.00320703125,0.021384765625,25067.34875,564.49275,0.002867408500635065
bernoulli,"{""a"":0.8}",256,5.545177444479562,1.7129286210981716,2000,2000,4000,2000,2,2,0.0105,0.014,-0.0035,4.163471485742871,4.013810905452725,0.5201130565282645,0.12723057926855183,4.087621842960738,7.137056278139071,0.2257678426978471,0.8730083838882675,7.137056278139068,3.552713678800501e-15,-0.0035,7.137056278139071,0.2257678426978471,-0.0059912109375,0.02267578125,99875.51225,1349.72975,0.024473049999010982
bernoulli,"{""a"":0.8}",512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,0.02,-0.0305,0.0505,4.642921460730365,4.81497723861931,0.41031515757878934,0.08678102447933445,4.728404538634658,8.637268384192103,0.28907707432598856,0.9133385599327487,8.637268384192097,5.329070518200751e-15,0.0505,8.637268384192103,0.28907707432598856,-0.00563427734375,0.0091103515625,403512.68675,3177.89125,0.06528612699944643
bernoulli,"{""a"":0.8}",1024,6.931471805599453,1.9360721724123813,2000,2000,4000,2000,2,2,-0.122,0.0335,-0.1555,5.501866933466738,5.398076788394189,0.4398069034517259,0.08070258978982701,5.454655601400351,10.020329914957474,0.3187156499778942,0.918511694155814,10.020329914957475,-1.7763568394002505e-15,-0.1555,10.020329914957474,0.3187156499778942,0.001803466796875,0.002358642578125,1.626340043e6,7603.575,0.21327219650062035
bernoulli,"{""a"":0.8}",2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,-0.06,0.07,-0.13,5.731863727454912,5.969038076152305,0.9060120240480963,0.15489373723922067,5.848823823823824,9.888877755511018,0.7041785282350287,0.8453731941139152,9.888877755511023,-5.329070518200751e-15,-0.13,9.888877755511018,0.7041785282350287,0.015259765625,0.00039697265625,6.595888675e6,18184.741,0.7748228669998934
bernoulli,"{""a"":0.8}",4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,0.108,-0.178,0.286,6.669675350701401,6.42717034068136,0.8108456913827652,0.12384428231078234,6.562337337337339,11.47515430861724,0.7002169435168607,0.8743191426115616,11.475154308617231,8.881784197001252e-15,0.286,11.47515430861724,0.7002169435168607,0.020423583984375,0.066468017578125,2.6040184294e7,43291.082,2.912645539998659
beta,"{""a"":0.5}",16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,-0.0206,-0.002,-0.0186,1.9269610322064397,1.9347829565913175,0.2582104420884176,0.13372764870353093,1.9307653865386538,3.345323104620924,0.07033090933775989,0.8663204571473581,3.345323104620922,1.7763568394002505e-15,-0.0186,3.345323104620924,0.07033090933775989,-0.00439375,0.0025125,341.2619,41.1859,4.676019997568801e-5
beta,"{""a"":0.5}",32,3.4657359027997265,1.242924991852436,2000,2000,4000,2000,2,2,0.0445,0.0025,0.042,2.4937666333166573,2.67983366683342,0.28152951475737864,0.10890356767656044,2.586594398599649,4.610541270635313,0.1549122799819305,0.8912377744905432,4.61054127063532,-7.105427357601002e-15,0.042,4.610541270635313,0.1549122799819305,0.0180234375,0.01009375,1404.75375,99.28025,0.00022184150043176487
beta,"{""a"":0.5}",64,4.1588830833596715,1.4252465486463906,2000,2000,4000,2000,2,2,0.0995,-0.0005,0.1,3.0421208104052004,3.2041018009004514,0.4077536268134067,0.13060399182935972,3.124830957739436,5.430715357678839,0.17578734080142566,0.8689614624157981,5.430715357678839,0.0,0.1,5.430715357678839,0.17578734080142566,-0.00546875,0.01354296875,5691.15575,237.26125,0.0010668185006943531
beta,"{""a"":0.5}",128,4.852030263919617,1.5793972284736488,2000,2000,4000,2000,2,2,0.063,0.0405,0.0225,3.441751875937969,3.586653076538269,0.3616293146573286,0.10292696427753915,3.5134503000750237,6.30514632316158,0.20357433491285665,0.8972869664652641,6.305146323161582,-1.7763568394002505e-15,0.0225,6.30514632316158,0.20357433491285665,-0.01146875,-0.010759765625,23216.39875,558.57375,0.005290325999696506
beta,"{""a"":0.5}",256,5.545177444479562,1.7129286210981716,2000,2000,4000,2000,2,2,-0.045,-0.0245,-0.0205,4.222086043021513,4.190995247623816,0.41910705352676336,0.09963291710556801,4.205593835958986,7.574867183591801,0.23948293724371766,0.9005704638931843,7.574867183591802,-8.881784197001252e-16,-0.0205,7.574867183591801,0.23948293724371766,5.859375e-6,0.005857421875,93649.9945,1343.694,0.017186410499678458
beta,"{""a"":0.5}",512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,0.0845,0.0715,0.013,4.6026610805402735,4.962869184592301,0.5012088544272134,0.10486916800783562,4.781611402850711,8.563112556278142,0.27553636465061465,0.8954212121015279,8.563112556278147,-5.329070518200751e-15,0.013,8.563112556278142,0.27553636465061465,-0.005986328125,0.0154306640625,378737.138,3152.2525,0.0689503362493997
beta,"{""a"":0.5}",1024,6.931471805599453,1.9360721724123813,2000,2000,4000,2000,2,2,-0.008,-0.0475,0.0395,5.302587293646821,5.348918209104552,0.5133766883441723,0.09639605308540238,5.324811140285071,9.624752126063033,0.30237761329433105,0.9037646474676432,9.62475212606303,3.552713678800501e-15,0.0395,9.624752126063033,0.30237761329433105,0.012458984375,0.015759521484375,1.50381768225e6,7568.66625,0.24964308474963764
beta,"{""a"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,-0.054,-0.112,0.058,6.35980360721443,6.440336673346694,0.3827174348697393,0.059800127410739604,6.394505505505506,12.034705410821644,0.7966986908699959,0.9410192391311627,12.034705410821644,0.0,0.058,12.034705410821644,0.7966986908699959,0.02289453125,-0.0346044921875,6.151114274e6,18295.312,0.9656300180011894
beta,"{""a"":0.5}",4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,-0.042,-0.06,0.018,6.184605210420838,5.763927855711424,0.5626052104208416,0.0942298480492855,5.968367367367369,10.823322645290578,0.6735084677778929,0.906723897767097,10.823322645290581,-3.552713678800501e-15,0.018,10.823322645290578,0.6735084677778929,0.03183447265625,0.06670849609375,2.4259638728e7,42096.938,3.3664980170005
exponential,{},16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,-0.0222,0.0002,-0.0224,1.9901051810362083,1.8481695939187848,0.20284500900180033,0.10576826996180573,1.9190709070907084,3.432584756951391,0.0708626463812621,0.8943350514742454,3.432584756951392,-8.881784197001252e-16,-0.0224,3.432584756951391,0.0708626463812621,0.01603125,-0.00123125,358.324,41.43,4.4415200338698926e-5
exponential,{},32,3.4657359027997265,1.242924991852436,2000,2000,4000,2000,2,2,0.0,0.027,-0.027,2.5652826413206604,2.391466733366685,0.3036518259129564,0.12259594729716068,2.477937234308577,4.34944572286143,0.14322315759613624,0.8776343610807928,4.349445722861432,-2.6645352591003757e-15,-0.027,4.34944572286143,0.14322315759613624,-0.00534375,0.0049375,1472.6465,99.0725,0.00022964550019241868
exponential,{},64,4.1588830833596715,1.4252465486463906,2000,2000,4000,2000,2,2,-0.04,-0.003,-0.037,3.215007503751878,3.2105962981490737,0.4260930465232618,0.1326235354889414,3.212340835208802,5.573417708854425,0.17577644934622835,0.8675009898960727,5.573417708854428,-2.6645352591003757e-15,-0.037,5.573417708854425,0.17577644934622835,-0.00489453125,-0.00862109375,5916.971,238.462,0.001254840999492444
exponential,{},128,4.852030263919617,1.5793972284736488,2000,2000,4000,2000,2,2,-0.004,0.0005,-0.0045,3.684826413206602,3.5862928964482257,0.3941990995497749,0.10843868267120622,3.63465560140035,6.482721110555277,0.21045742198207862,0.8917930364650825,6.4827211105552776,-8.881784197001252e-16,-0.0045,6.482721110555277,0.21045742198207862,-0.01373046875,-0.0110078125,24140.8915,563.979,0.004815840249299072
exponential,{},256,5.545177444479562,1.7129286210981716,2000,2000,4000,2000,2,2,-0.0005,-0.045,0.0445,4.156578039019511,3.9579539769884975,0.4457003501750877,0.10988530955969487,4.056746624156043,7.2231313156578265,0.24025703782877628,0.8902615796420995,7.223131315657833,-6.217248937900877e-15,0.0445,7.2231313156578265,0.24025703782877628,0.027720703125,0.008427734375,97168.643,1329.7235,0.01794309900025837
exponential,{},512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,-0.0005,-0.048,0.0475,4.646823161580792,4.5129524762381115,0.38716958479239616,0.08454594445212929,4.579306764191049,8.385436468234118,0.26276165711427385,0.9155792459467864,8.385436468234111,7.105427357601002e-15,0.0475,8.385436468234118,0.26276165711427385,0.00677392578125,-0.00723095703125,384070.8875,3176.056,0.06640745150038856
exponential,{},1024,6.931471805599453,1.9360721724123813,2000,2000,4000,2000,2,2,0.0105,-0.0045,0.015,5.355067283641819,5.233096298149073,0.49279364682341154,0.09309005158336549,5.292814203550885,9.60257628814407,0.313394319851445,0.907133324432758,9.60257628814407,0.0,0.015,9.60257628814407,0.313394319851445,0.008236572265625,0.018131591796875,1.5580018525e6,7606.535,0.3197729394993221
exponential,{},2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,0.05,-0.134,0.184,6.801102204408818,6.256557114228462,1.4115230460921846,0.21638672599125125,6.530766766766766,10.234613226452904,0.6911545806686018,0.7835690349970825,10.234613226452911,-7.105427357601002e-15,0.184,10.234613226452904,0.6911545806686018,-0.02054541015625,-0.0333056640625,6.307177027e6,18314.711,1.0234638049966889
exponential,{},4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,-0.01,-0.07,0.06,6.551002004008016,6.397895791583165,0.6145290581162324,0.0949226766902382,6.468868868868873,11.71983967935872,0.8344347857759485,0.905864681827135,11.719839679358717,3.552713678800501e-15,0.06,11.71983967935872,0.8344347857759485,-0.027764404296875,0.023802734375,2.5651158887e7,43089.101,3.6587226200032745
gamma,"{""shape"":0.5}",16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,0.0028,-0.0086,0.0114,2.0828087217443483,1.9329126225245064,0.3873015403080614,0.19302715926174416,2.007692359235924,3.241118263652731,0.07047793713061383,0.8071750257808963,3.241118263652732,-8.881784197001252e-16,0.0114,3.241118263652731,0.07047793713061383,-0.00554375,-0.0138125,488.8323,42.1309,6.856160003226251e-5
gamma,"{""shape"":0.5}",32,3.4657359027997265,1.242924991852436,5000,5000,10000,5000,2,2,0.0254,0.0318,-0.0064,2.5224593318663735,2.547298219643929,0.4136750150030005,0.1631951729007644,2.5346355035503554,4.242407521504303,0.09175537736615788,0.8368871018262408,4.242407521504301,1.7763568394002505e-15,-0.0064,4.242407521504303,0.09175537736615788,0.00474375,0.004775,2032.916,100.583,0.00038720719943521545
gamma,"{""shape"":0.5}",64,4.1588830833596715,1.4252465486463906,5000,5000,10000,5000,2,2,-0.0122,-0.0046,-0.0076,3.2054922584516903,3.184415723144628,0.6466732146429294,0.2024056478675914,3.1946489048904887,5.0965615523104635,0.10973951045615812,0.7976716227733908,5.096561552310459,4.440892098500626e-15,-0.0076,5.0965615523104635,0.10973951045615812,-0.0053265625,0.0196765625,8303.2948,239.0638,0.001373003499826882
gamma,"{""shape"":0.5}",128,4.852030263919617,1.5793972284736488,5000,5000,10000,5000,2,2,-0.01,0.0258,-0.0358,3.8642728545709155,3.588652090418082,0.7824144828965794,0.21010544638828904,3.726410231023103,5.888095979195841,0.12019062695057853,0.7900493523467004,5.888095979195839,1.7763568394002505e-15,-0.0358,5.888095979195841,0.12019062695057853,-0.0066078125,0.003328125,35333.3728,568.8264,0.006315174800076056
