model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,1024,64,training,0.7047415805,0.7163068483,0.7079152891
gamma,1,32,marginal,1536,96,training,0.7421505629,0.7370128779,0.7412619098
gamma,1,32,marginal,2048,128,training,0.783973974,0.7517040396,0.7584909128
gamma,1,32,marginal,2560,160,training,0.7339567669,0.76309939,0.7681786954
gamma,1,32,marginal,3072,192,training,0.7804849498,0.7724100692,0.7737101239
gamma,1,32,marginal,4096,256,training,0.7823266219,0.787101231,0.778077525
gamma,1,32,marginal,5120,320,heldout,0.8261867089,0.7984965814,0.7777890741
gamma,1,32,marginal,6144,384,heldout,1.091025641,0.8078072606,0.7751693263
gamma,1,32,conditional,1024,64,training,0.6235091697,0.6454994264,0.6218778511
gamma,1,32,conditional,1536,96,training,0.6409310507,0.6426395626,0.6546002514
gamma,1,32,conditional,2048,128,training,0.6765145145,0.640610457,0.659714968
gamma,1,32,conditional,2560,160,training,0.6776911028,0.6390365604,0.6533344031
gamma,1,32,conditional,3072,192,training,0.5998829431,0.6377505932,0.6414101443
gamma,1,32,conditional,4096,256,training,0.6227293065,0.6357214876,0.6103204693
gamma,1,32,conditional,5120,320,heldout,0.6480221519,0.634147591,0.5758575966
gamma,1,32,conditional,6144,384,heldout,1.03974359,0.6328616238,0.5409884215
gamma,1,32,disorder,1024,64,training,0.0812324108,0.07080742189,0.0860374379
gamma,1,32,disorder,1536,96,training,0.1012195122,0.09437331523,0.08666165844
gamma,1,32,disorder,2048,128,training,0.1074594595,0.1110935826,0.09877594481
gamma,1,32,disorder,2560,160,training,0.05626566416,0.1240628296,0.1148442923
gamma,1,32,disorder,3072,192,training,0.1806020067,0.134659476,0.1322999796
gamma,1,32,disorder,4096,256,training,0.1595973154,0.1513797434,0.1677570557
gamma,1,32,disorder,5120,320,heldout,0.178164557,0.1643489904,0.2019314775
gamma,1,32,disorder,6144,384,heldout,0.05128205128,0.1749456367,0.2341809048
gamma,1,16,marginal,1024,128,training,0.7515615761,0.7533016458,0.7659763869
gamma,1,16,marginal,1536,192,training,0.8169502423,0.7897297363,0.7833119326
gamma,1,16,marginal,2048,256,training,0.8064184184,0.8155758779,0.8053248795
gamma,1,16,marginal,2560,320,training,0.8136810777,0.8356237028,0.8279518412
