model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07400989191,0.4751189394,2.277526375,-2.04623979,8.242466281
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1628991004,0.8439811042,2.172985691,-1.917368173,8.418440448
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3226211759,1.48677156,2.204521324,-1.761319212,8.927777352
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6611187105,2.563240272,2.155202438,-1.581466907,10.61868909
uniform,1,8,marginal,128,6144,12,0.001190428762,-0.02795467959,0.02566254146,-2.401702287,-2.483228449,4.353281754
uniform,1,8,marginal,256,6144,11,-0.0008791899145,-0.04639220146,0.03786000524,-2.379847003,-2.395980574,4.811741254
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.08995585708,0.05911903406,-1.577538883,-2.300077714,7.906796561
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1176002977,0.1031551416,-2.193251812,-2.195542086,6.221995888
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1503534279,0.1540434928,-1.899169152,-2.077713529,5.450769372
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2540156665,0.3072322177,-0.9992772113,-1.944147009,8.085894028
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5970017351,0.4466267613,-1.081866456,-1.788611127,8.110904361
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.212831773,0.7424919799,2.65074292,-1.605313201,13.40401877
uniform,1,4,marginal,128,6144,12,-0.01160432647,-0.04294118799,0.01521177513,-1.847714395,-2.482630417,3.694253032
uniform,1,4,marginal,256,6144,11,-0.01918128631,-0.06758136683,0.02266054172,-1.709534984,-2.39573271,3.890010948
uniform,1,4,marginal,512,6144,10,-0.04624116622,-0.1307899096,0.02863144377,-0.9801933383,-2.297767272,6.452041466
uniform,1,4,marginal,768,6144,9,-0.07617027804,-0.1987411618,0.03209772394,-0.6010487204,-2.191147789,8.120479854
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2619339555,0.0583646982,-0.9613005361,-2.076400329,6.608613776
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4637090696,0.1209162126,-1.013907724,-1.942787765,6.212445416
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.7959415983,0.2914037408,-1.154210111,-1.789541758,5.045845365
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.579143803,0.4483906511,-0.5915293575,-1.604802112,8.445620813
