model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,512,6144,10,-0.005908105177,-0.1058089845,0.09085577985,-2.241969601,-2.298901391,6.297404146
gamma,1,32,disorder,768,6144,9,-0.01833306071,-0.1663621882,0.1251687188,-1.942448277,-2.193797361,5.763338454
gamma,1,32,disorder,1024,6144,8,-0.04922553754,-0.2558139439,0.1513454106,-1.197544885,-2.07506758,4.489325888
gamma,1,32,disorder,1536,6144,7,-0.1127740102,-0.4947057732,0.2629454773,-0.6002371068,-1.94141788,4.818382712
gamma,1,32,disorder,2048,6144,6,-0.2876574956,-0.9698029563,0.3915048824,1.137611575,-1.781998345,6.518269447
gamma,1,32,disorder,2560,6144,5,-0.7005914608,-1.919853779,0.49456971,7.029744524,-1.591804651,18.67297093
gamma,1,16,disorder,512,6144,10,0.03470193749,-0.03169322541,0.09846693716,-1.37953161,-2.300618342,2.601930768
gamma,1,16,disorder,768,6144,9,0.06245442389,-0.03555472664,0.1562543432,-0.8704424278,-2.193463346,3.147138747
gamma,1,16,disorder,1024,6144,8,0.09264793095,-0.0426442243,0.2231625036,-0.706958222,-2.073852052,2.805457542
gamma,1,16,disorder,1536,6144,7,0.2704067394,0.01318708984,0.5212981846,1.919432448,-1.866101973,7.483571719
gamma,1,16,disorder,2048,6144,6,0.4172253874,-0.07202077077,0.8885274918,1.272726997,-1.758931953,5.597364719
gamma,1,16,disorder,2560,6144,5,0.9633168123,0.02630974941,1.873438652,5.790594172,-1.472357163,13.6709821
gamma,1,8,disorder,512,6144,10,0.03270399694,-0.04604338651,0.1146542769,-1.353286228,-2.300956703,7.549988911
gamma,1,8,disorder,768,6144,9,0.03216004282,-0.08490766193,0.1569863423,-1.791894559,-2.196148529,6.708793516
gamma,1,8,disorder,1024,6144,8,0.0353509177,-0.1283640102,0.2076516963,-1.853510129,-2.078360082,6.615571843
gamma,1,8,disorder,1536,6144,7,-0.05656259104,-0.3623303301,0.2643304178,-1.770307128,-1.944597225,3.847987891
gamma,1,8,disorder,2048,6144,6,-0.2195963823,-0.79110945,0.3606805291,-0.979709519,-1.789278953,4.676786887
gamma,1,8,disorder,2560,6144,5,-0.770821145,-1.845603318,0.336546668,2.498105318,-1.590695868,15.40187545
gamma,1,4,disorder,512,6144,10,-0.01858345067,-0.103210033,0.07231684627,-2.016156283,-2.300952923,2.603780106
gamma,1,4,disorder,768,6144,9,-0.03787503347,-0.1636464773,0.09805209166,-1.677513956,-2.195120409,2.801801839
gamma,1,4,disorder,1024,6144,8,-0.04926345311,-0.2241641878,0.1396630099,-1.673703005,-2.077573528,2.478960031
gamma,1,4,disorder,1536,6144,7,-0.1854371895,-0.511711664,0.1707049975,-0.1919868104,-1.941338624,4.082473464
gamma,1,4,disorder,2048,6144,6,-0.4224675558,-1.018408256,0.236816146,1.229133822,-1.780771492,6.721204282
gamma,1,4,disorder,2560,6144,5,-0.5229230295,-1.655058412,0.6904234605,-0.05988927911,-1.604793012,5.90891466
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07341098122,0.07273545146,-2.086485032,-2.299991383,5.604564289
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.1003439721,0.1156979032,-1.477681665,-2.195207008,5.671006489
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1488669112,0.1474905611,-1.963531168,-2.077803574,5.441243684
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2691710529,0.2878304139,-1.642781906,-1.943490369,5.521349734
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4222642101,0.6188655326,0.7198900059,-1.788479758,11.35708729
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.054606585,0.936774009,-1.503361974,-1.605480332,12.50970824
uniform,1,16,marginal,512,6144,10,0.1064983124,-0.03203047647,0.2361272424,2.50360762,-2.267860976,8.010882761
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.0583381996,0.3424110464,2.054174435,-2.16849399,7.503000315
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07497858815,0.4821319994,2.277526375,-2.04791893,8.170610031
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1641815864,0.8690251833,2.172985691,-1.916509762,8.344210707
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3235417476,1.517605736,2.204521324,-1.765540663,9.071909419
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6495609419,2.618863371,2.155202438,-1.589495671,10.96288133
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.089635516,0.05869756255,-1.577538883,-2.300320167,8.13885477
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1177444412,0.1011769358,-2.193251812,-2.195233575,6.481155646
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1496427178,0.152898162,-1.899169152,-2.077502865,5.428311799
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2538529742,0.3133019093,-0.9992772113,-1.944115943,8.136046097
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5923712894,0.4542022097,-1.081866456,-1.788802318,8.360761961
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.225737913,0.750588892,2.65074292,-1.60549269,13.87613146
