model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,block_gls,-0.04175092595,-0.09061572128,-0.006313623617,0.012,0.3093278629,-3.334039217,14.31702429,0.6536,0.1396935235,0.1637714872
gamma,conditional,block_gls,-0.05811179411,-0.1246340388,-0.003556225914,0.0196,0.1404894785,-3.394256887,13.12240193,0.5995,0.2171011919,0.2129212951
gamma,disorder,block_gls,0.0242485162,-0.02417202742,0.07264258548,0.8337,-2.502270104,-3.463599336,5.180927649,0.1839,0.1076984752,0.121931961
uniform,marginal,block_gls,-0.007371944121,-0.06518919332,0.03746472511,0.2893,-3.384739133,-3.464543674,3.009888482,0.1071,0.1553600828,0.1682777621
uniform,conditional,block_gls,-0.05480981477,-0.1306284625,0.009294955269,0.0437,-1.134515498,-3.447478594,9.775920286,0.4396,0.1843347192,0.2038172583
uniform,disorder,block_gls,0.03564046459,-0.01429391974,0.08344915381,0.916,-1.512284357,-3.459637996,7.243532533,0.3163,0.07168307546,0.05443236639
