model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.01132595158,-0.07541864962,0.08867266573,0.543,-2.015652523,-2.078891571,1.367699253,0.0737,0.05728681467,0.1264177027
gamma,1,32,conditional,-0.009885594267,-0.1189731161,0.08720970253,0.3845,-2.015342571,-2.07843707,3.492164558,0.1611,0.09414483385,0.1193471235
gamma,1,32,disorder,0.01083538373,-0.075377517,0.09626768165,0.5883,-1.919934015,-2.078301675,4.263950909,0.1845,0.04512520086,0.04940185222
gamma,1,16,marginal,0.03874507691,-0.06436764165,0.1317040336,0.7339,0.3787789248,-2.077327867,6.340999503,0.2868,0.0371474723,0.05020845605
gamma,1,16,conditional,0.004842028023,-0.1266637051,0.124670776,0.479,-2.068739304,-2.078346936,3.262765291,0.1554,0.07737833395,0.1696410767
gamma,1,16,disorder,0.03402629322,-0.06192892023,0.1317884495,0.762,-1.448011666,-2.077851584,3.898331318,0.1887,0.04891170431,0.2286428048
gamma,1,8,marginal,-0.1570904389,-0.2441188467,-0.08383462336,0,6.049429189,-0.2533743971,13.43422589,0.9651,0.2550757053,0.2133260926
gamma,1,8,conditional,-0.1724190105,-0.289463332,-0.06228077464,0.0007,3.111881083,-1.534932539,9.679154524,0.8175,0.3676921712,0.3526860559
gamma,1,8,disorder,0.005924492281,-0.08544111408,0.09657403641,0.5467,-2.057267829,-2.078570917,2.699077452,0.1207,0.1548453358,0.1619487203
gamma,1,4,marginal,0.005142146458,-0.1064447574,0.104794711,0.4944,-2.048464567,-2.078508703,4.597949574,0.1949,0.08516822567,0.1799604687
gamma,1,4,conditional,-0.08637592775,-0.2154549366,0.03232301859,0.0766,-0.001364385223,-2.072757768,7.003590863,0.393,0.198696394,0.2701364905
gamma,1,4,disorder,0.04324759219,-0.06592270017,0.1496854555,0.7835,-1.300091537,-2.078023784,4.159958666,0.1993,0.1332318145,0.123242184
uniform,1,32,marginal,-0.01333640299,-0.1073939076,0.06831901326,0.3248,-1.877954373,-2.078434425,4.747361936,0.2094,0.01096536959,0.05319488473
uniform,1,32,conditional,-0.008511941388,-0.1395315794,0.1081408199,0.3949,-1.505933274,-2.077368401,6.935537021,0.2851,0.003748975286,0.02753931119
uniform,1,32,disorder,-0.002316642274,-0.08630397283,0.082980615,0.49,-2.071231762,-2.078320187,4.156999787,0.1825,0.005364868274,0.01056559947
uniform,1,16,marginal,0.05170026683,-0.06015989355,0.1535943128,0.7903,0.5719066179,-2.077001294,7.263801795,0.322,0.264513117,0.2270507953
uniform,1,16,conditional,-0.006884009213,-0.1544723093,0.1318864495,0.4175,-2.048332431,-2.078020792,4.896111165,0.2181,0.2756547685,0.3312362256
uniform,1,16,disorder,0.05843676898,-0.04918935013,0.1671280841,0.8614,2.265685321,-2.074603361,8.97919578,0.4243,0.03910050099,0.1068843923
uniform,1,8,marginal,-0.01683565849,-0.1213222104,0.07012171066,0.3094,-1.699058297,-2.077964174,5.600432147,0.2475,0.0304387118,0.07243089096
uniform,1,8,conditional,-0.09600021135,-0.2350612652,0.02957776466,0.0625,3.74093563,-2.064108934,11.27652308,0.5798,0.09702627342,0.1912719449
uniform,1,8,disorder,0.07571439758,-0.02339121563,0.1752123129,0.9348,1.292079517,-2.070264678,8.093042887,0.4762,0.08051250015,0.1193635369
uniform,1,4,marginal,-0.06584866152,-0.1781478464,0.02960517125,0.0843,0.4497224866,-2.072952873,7.559721624,0.4312,0.1555085064,0.1429891344
uniform,1,4,conditional,-0.1064783252,-0.2546703577,0.0285670194,0.0571,1.16445914,-2.068303332,8.568620729,0.4899,0.2248500128,0.1795181224
uniform,1,4,disorder,0.03091036806,-0.06776626424,0.1277909102,0.7199,-1.060451626,-2.077696172,5.63750906,0.2522,0.108099501,0.1383804809
