model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,8,1024,256,3000,-0.04766666667,-0.04266666667,0.8317309659,0.8014084375,0.8622332097,0.7927517506,0.7538189674,0.833276959,0.03897921529,0.009396960098,0.06878773758
gamma,1,8,1536,384,1600,-0.04375,-0.05625,0.8792604753,0.8364689503,0.92226434,0.8323170732,0.7750283038,0.8900803481,0.04694340213,0.003572887351,0.08904560467
gamma,1,8,2048,512,1000,-0.001,-0.01,0.8853348348,0.8305979104,0.9397306682,0.8683278278,0.7908688689,0.9473007007,0.01700700701,-0.04004069069,0.07330633133
gamma,1,8,2560,640,400,0.0125,-0.015,0.8807612782,0.7981170896,0.9644500313,0.9106484962,0.7816318922,1.04408208,-0.02988721805,-0.1202008145,0.05733082707
gamma,1,8,3072,768,300,-0.006666666667,-0.1166666667,0.9112095875,0.8137474916,1.005129041,0.8919230769,0.7541804627,1.032648272,0.01928651059,-0.08013712375,0.1171950948
gamma,1,8,4096,1024,150,-0.14,-0.05333333333,0.8779642058,0.7337097315,1.026623602,0.8049440716,0.6197746085,1.008979306,0.07302013423,-0.07033557047,0.2212114094
gamma,1,8,5120,1280,80,0.0375,0.0125,1.049841772,0.7780775316,1.324287975,1.252848101,0.8410601266,1.686012658,-0.2030063291,-0.4515822785,0.03956487342
gamma,1,8,6144,1536,40,0.1,-0.175,0.6073717949,0.4676282051,0.7198717949,0.5381410256,0.3384615385,0.7278846154,0.06923076923,-0.1044871795,0.2416826923
gamma,1,4,32,16,6000,-0.1048333333,-0.1006666667,0.5564475051,0.543141244,0.5693548258,0.5168274574,0.4993065011,0.5347669983,0.03962004779,0.02596113102,0.05344828305
gamma,1,4,64,32,6000,-0.09433333333,-0.1191666667,0.6246377035,0.6092083514,0.6397135227,0.5868727982,0.5664157804,0.6074734442,0.03776490526,0.02256416069,0.05338666861
gamma,1,4,128,64,6000,-0.09966666667,-0.09116666667,0.6934098322,0.6758707566,0.7105638662,0.6466549842,0.6231319748,0.6692762405,0.04675484803,0.02920038548,0.06469836223
gamma,1,4,256,128,6000,-0.09866666667,-0.09966666667,0.7519577152,0.7331251045,0.7714628178,0.7161188531,0.6903616797,0.7421637384,0.03583886203,0.01694755237,0.05501978594
gamma,1,4,512,256,5000,-0.1008,-0.0988,0.8033996399,0.7805704101,0.825722379,0.786155231,0.7550990998,0.818030066,0.01724440888,-0.004931940388,0.03940477896
gamma,1,4,768,384,4000,-0.116,-0.1225,0.876988122,0.8503898068,0.9036874469,0.8386885471,0.803087103,0.8754142934,0.03829957489,0.01065724244,0.06607663166
gamma,1,4,1024,512,3000,-0.116,-0.1103333333,0.8843133822,0.8526996943,0.9155634642,0.8694404246,0.8249519465,0.9148053018,0.01487295765,-0.01739163054,0.04662632544
