model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,1024,6144,8,0.2357620062,0.1069254733,1.451146824,-0.3780571791,0.04775997307,-0.1456683498,0.2345616791,0.6175,-1.726645122,-2.077865744,3.884105934,0.1858,0.1387456286,0.1467035637
gamma,1,32,conditional,1024,6144,8,0.07087347501,0.1211225915,2.755157704,-0.9500042368,0.1054820997,-0.1386020313,0.3672189994,0.7443,1.348541664,-2.072490543,6.075160806,0.4646,0.1349956005,0.1400721829
gamma,1,32,disorder,1024,6144,8,0.1648885312,-0.01419711815,-1.30401088,0.5719470577,-0.05772212658,-0.2636001769,0.1483954828,0.2855,-0.7993747189,-2.076694258,6.914377826,0.3963,0.1294912056,0.1800954007
gamma,1,16,marginal,1024,6144,8,0.7046378391,0.01968732465,-2.44022143,1.120624906,-0.09539461024,-0.2259874138,0.02413490503,0.052,2.591465051,-2.056779657,9.182788804,0.621,0.1397863612,0.1830741537
gamma,1,16,conditional,1024,6144,8,0.4511571475,0.04522959135,1.29957884,-0.2517818951,0.02573560524,-0.1569827547,0.2028429317,0.5557,-1.821874464,-2.077535334,5.088279438,0.2455,0.08075565804,0.1505372173
gamma,1,16,disorder,1024,6144,8,0.2534806917,-0.0255422667,-3.73980027,1.372406801,-0.1211302155,-0.2663182821,0.02312083629,0.0484,4.522802199,-2.047123136,11.15731881,0.6763,0.1240974939,0.07973079527
gamma,1,8,marginal,1024,6144,8,-0.125480176,0.1682771625,3.789840092,-1.052902539,0.09446610945,-0.137370152,0.3433139238,0.7308,0.01192840457,-2.077900249,9.902089516,0.3781,0.1030096836,0.1124680872
gamma,1,8,conditional,1024,6144,8,0.1795596187,0.10171524,-6.243448106,2.105037093,-0.1549698388,-0.3657809896,0.06078905159,0.0734,-0.5324348495,-2.070497455,3.916721394,0.3115,0.2772613302,0.4907009296
gamma,1,8,disorder,1024,6144,8,-0.3050397947,0.06656192246,10.0332882,-3.157939632,0.2494359482,0.06433513349,0.4374104264,0.9971,4.051857236,-1.508232443,9.143627016,0.8521,0.3358205794,0.4036908879
gamma,1,4,marginal,1024,6144,8,0.4477657838,0.07314469875,-2.135347269,0.799711147,-0.05076103856,-0.2379140718,0.1251593446,0.2417,-0.4034042648,-2.07624212,8.268990377,0.3611,0.06294433424,0.05908242439
gamma,1,4,conditional,1024,6144,8,0.3643704141,0.06966916638,-4.209478297,1.356180808,-0.08988120384,-0.2800103232,0.09280957551,0.1466,-1.715002306,-2.07829312,2.286131829,0.1198,0.2592943518,0.3629969623
gamma,1,4,disorder,1024,6144,8,0.08339536972,0.003475532371,2.074131029,-0.5564696608,0.03912016528,-0.152675828,0.2460702551,0.6186,-1.970421134,-2.078644864,2.003534144,0.0825,0.1964098461,0.3459627987
uniform,1,32,marginal,1024,6144,8,0.250001594,0.104620278,0.4582306205,0.02152933922,0.008182604017,-0.1523265169,0.1464124865,0.4695,-1.963531168,-2.077038704,5.219048845,0.275,0.0179593515,0.02099524129
uniform,1,32,conditional,1024,6144,8,0.2430020253,0.1050979954,0.2763530833,0.09178971281,0.001310568974,-0.2034318844,0.1962025844,0.4515,-2.068464467,-2.076673235,6.593636826,0.3013,0.01481888814,0.03836585216
uniform,1,32,disorder,1024,6144,8,0.006999568782,-0.0004777173602,0.1818775371,-0.07026037359,0.006872035042,-0.1248812629,0.1378918211,0.5379,-2.015383702,-2.077813604,4.617760257,0.2329,0.005251624401,0.02067417289
uniform,1,16,marginal,1024,6144,8,-0.4146690668,0.2284814674,6.489819354,-2.188609452,0.2094373469,-0.07367827824,0.4824225055,0.916,2.277526375,-2.049036578,7.97223042,0.6753,0.248631747,0.2221211221
uniform,1,16,conditional,1024,6144,8,-0.1461392053,0.1774342103,6.925931037,-2.298322967,0.2145206913,-0.1157246696,0.551163537,0.8757,0.9497783957,-2.063488284,5.634121166,0.5304,0.292715992,0.3318342463
uniform,1,16,disorder,1024,6144,8,-0.2685298616,0.05104725708,-0.4361116833,0.1097135151,-0.00508334434,-0.2202278994,0.2129473309,0.4833,-2.056438385,-2.076612454,7.335354724,0.3385,0.04439973506,0.1159068515
uniform,1,8,marginal,1024,6144,8,0.342722206,0.08743199264,0.7602734565,-0.04280131563,0.01007438458,-0.1499609977,0.1533719328,0.4854,-1.899169152,-2.077671978,5.380144943,0.2704,0.03260130752,0.03016051206
uniform,1,8,conditional,1024,6144,8,0.3868975513,0.0787051582,-1.669624343,0.7201297726,-0.04961832215,-0.2515755019,0.1380494715,0.2624,-1.449236108,-2.077772982,7.231292197,0.2754,0.09665422373,0.1806612443
uniform,1,8,disorder,1024,6144,8,-0.04417534534,0.008726834439,2.4298978,-0.7629310882,0.05969270673,-0.09022199521,0.2162843528,0.7743,-0.9021377281,-2.078085275,6.905105143,0.2838,0.06485570442,0.1696396734
uniform,1,4,marginal,1024,6144,8,0.593894736,0.05149409892,-4.134239327,1.381402432,-0.09291308224,-0.2634430537,0.05899899878,0.1041,-0.9613005361,-2.075255469,6.485904289,0.3345,0.1463851791,0.1593119294
uniform,1,4,conditional,1024,6144,8,0.9162374873,0.00251955694,-7.97359831,2.503012679,-0.1746951405,-0.3835371884,0.03144533174,0.0465,1.072049543,-2.060130989,9.158379675,0.5493,0.2040064936,0.15969902
uniform,1,4,disorder,1024,6144,8,-0.3223427513,0.04897454198,3.839358984,-1.121610247,0.0817820583,-0.07327385815,0.2290538282,0.852,2.545429116,-2.07394696,7.009987603,0.4274,0.1134920704,0.1440328147
