model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,1024,6144,8,-0.05772212658,-0.2636001769,0.1483954828,-0.7993747189,-2.076694258,6.914377826
gamma,1,32,disorder,1536,6144,7,-0.1145098869,-0.4966152601,0.2639292958,-0.4767449292,-1.942816481,9.498408302
gamma,1,32,disorder,2048,6144,6,-0.1084915666,-0.8068430652,0.5806694301,-1.381170798,-1.788690903,7.837232865
gamma,1,32,disorder,2560,6144,5,-0.2172294666,-1.477812057,1.011399226,-1.110698948,-1.605652977,14.07584361
gamma,1,16,disorder,1024,6144,8,-0.1211302155,-0.2663182821,0.02312083629,4.522802199,-2.047123136,11.15731881
gamma,1,16,disorder,1536,6144,7,-0.1643914854,-0.4354269399,0.1002297666,2.192109758,-1.936753865,8.936807096
gamma,1,16,disorder,2048,6144,6,-0.2650829473,-0.7605366471,0.223087209,1.857055982,-1.783708262,9.093654566
gamma,1,16,disorder,2560,6144,5,-0.525230168,-1.440915906,0.3821853918,4.041188977,-1.599434345,15.92002282
gamma,1,8,disorder,1024,6144,8,0.2494359482,0.06433513349,0.4374104264,4.051857236,-1.508232443,9.143627016
gamma,1,8,disorder,1536,6144,7,0.4290969055,0.08649430211,0.7751910533,4.424812328,-1.629883698,10.1027122
gamma,1,8,disorder,2048,6144,6,0.7334103093,0.08819806543,1.378721844,5.490252869,-1.635911104,13.034823
gamma,1,8,disorder,2560,6144,5,0.9163130738,-0.3040490916,2.144415607,2.822282359,-1.595810009,11.0188015
gamma,1,4,disorder,1024,6144,8,0.03912016528,-0.152675828,0.2460702551,-1.970421134,-2.078644864,2.003534144
gamma,1,4,disorder,1536,6144,7,0.2156317215,-0.1430242144,0.5984984247,-0.961734455,-1.941926123,2.619427328
gamma,1,4,disorder,2048,6144,6,0.6031443594,-0.05890846597,1.304478356,0.7635433818,-1.758185481,5.572593186
gamma,1,4,disorder,2560,6144,5,1.319594575,0.08002570091,2.646427138,3.040954318,-1.42335642,11.43965371
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1523265169,0.1464124865,-1.963531168,-2.077038704,5.219048845
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2658699605,0.2926841449,-1.642781906,-1.943713222,5.391241116
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4188456442,0.6222240771,0.7198900059,-1.789521166,11.49269471
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.039298902,0.9250654602,-1.503361974,-1.606230727,12.82244857
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07367827824,0.4824225055,2.277526375,-2.049036578,7.97223042
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1583425568,0.8609110445,2.172985691,-1.911896487,8.048902152
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3229358535,1.506573424,2.204521324,-1.76679036,8.819195819
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6633873738,2.579386845,2.155202438,-1.591816921,10.68288998
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1499609977,0.1533719328,-1.899169152,-2.077671978,5.380144943
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2492833156,0.3125051881,-0.9992772113,-1.944140844,7.799493398
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5894977732,0.4594312361,-1.081866456,-1.788765294,8.453736712
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.19941159,0.7582795638,2.65074292,-1.604829736,14.24025338
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2634430537,0.05899899878,-0.9613005361,-2.075255469,6.485904289
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4694557816,0.1264621057,-1.013907724,-1.942827063,6.31803561
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.8043693645,0.2849900311,-1.154210111,-1.789675125,4.840704565
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.591814275,0.4761696091,-0.5915293575,-1.605447575,7.96664349
