model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.0009823915704,-0.108100904,0.08708210355,0.3841,-3.464754492,-3.46434066,2.359968289,0.0894,0.1155027709,0.1347811675
gamma,marginal,weighted,-0.02450007324,-0.08037346608,0.01771267915,0.1021,-1.762196195,-3.46164364,4.667768419,0.2038,0.1286532848,0.1283461473
gamma,conditional,unweighted,-0.02840833443,-0.1375858366,0.06404835987,0.2231,-3.185947183,-3.464647008,1.152048785,0.0543,0.2054584475,0.2723687243
gamma,conditional,weighted,-0.005798229831,-0.07132025566,0.0494168646,0.3427,-3.403217947,-3.464965238,1.204265593,0.0559,0.1676459445,0.1797610148
gamma,disorder,unweighted,0.02742594286,-0.06373368582,0.1167968778,0.7046,-3.117443802,-3.464753514,0.2178397845,0.0297,0.2141964341,0.2403312046
gamma,disorder,weighted,-0.03613856245,-0.08594430792,0.01370642435,0.0775,-1.07131898,-3.461301177,4.258635495,0.2026,0.1982163714,0.2108778688
uniform,marginal,unweighted,0.03369531332,-0.07441996011,0.1196564916,0.6614,-2.647288062,-3.464498037,2.071718348,0.0766,0.1454576827,0.1512893476
uniform,marginal,weighted,-0.01214125011,-0.06951262733,0.03237782685,0.2267,-2.954547765,-3.463896184,3.133803179,0.1156,0.1542851297,0.1682473392
uniform,conditional,unweighted,-0.002120550611,-0.1440156227,0.1217702929,0.4055,-3.463631127,-3.464511755,3.530653487,0.1004,0.1849749576,0.208619834
uniform,conditional,weighted,-0.05232392931,-0.1284664695,0.01157770063,0.0547,2.936074059,-3.450772381,9.882055013,0.4347,0.1844365225,0.2057610118
uniform,disorder,unweighted,0.03581586393,-0.05741757605,0.125003321,0.7747,-0.4016176964,-3.462913125,7.363466167,0.2406,0.06907537274,0.07593343612
uniform,disorder,weighted,0.03653238693,-0.0156313321,0.08637455023,0.92,1.588270967,-3.457428663,7.404641918,0.3188,0.07034626598,0.05532579338
