model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.03814209847,-0.06164847491,0.1224821828,0.7467,-1.41467315,-2.078513539,2.739885878,0.142,0.09762737406,0.1240818988
gamma,1,32,conditional,0.07447357322,-0.04161434701,0.1787310493,0.8811,2.239809261,-2.075166513,8.30661261,0.4215,0.0390390443,0.1246871801
gamma,1,32,disorder,-0.02491638561,-0.1162507873,0.06493043919,0.2983,-1.038213933,-2.077861944,5.704640764,0.248,0.08701807635,0.09221315804
gamma,1,16,marginal,-0.001369965371,-0.1082407386,0.09391632562,0.441,-2.077251079,-2.078235292,4.865672978,0.1951,0.06043266927,0.06492708378
gamma,1,16,conditional,-0.003667719489,-0.1213456854,0.105381429,0.4422,-2.061780646,-2.078149398,5.421995794,0.2182,0.01520026651,0.01978556997
gamma,1,16,disorder,0.005109487398,-0.09307639516,0.1035661171,0.5156,-2.026365517,-2.078280323,5.149628695,0.2284,0.07309145052,0.08977935911
gamma,1,8,marginal,0.1007407685,-0.01023701984,0.199962636,0.9607,4.890949258,-2.053712319,11.34639497,0.623,0.1947042132,0.1010652335
gamma,1,8,conditional,0.03548780652,-0.08683354057,0.1487466517,0.6821,-1.164372238,-2.077853989,4.984903254,0.2241,0.1992236078,0.2322162455
gamma,1,8,disorder,0.06494886595,-0.03944802726,0.1682722677,0.8876,0.5341816056,-2.075454411,7.236024979,0.3784,0.03780083943,0.23449455
gamma,1,4,marginal,-0.03906063202,-0.1467727783,0.05320859252,0.1757,-0.3311140212,-2.076805748,7.523587081,0.343,0.1052755299,0.1267131213
gamma,1,4,conditional,-0.004704746753,-0.1310111564,0.1114924022,0.4227,-2.071292296,-2.078340092,2.866533799,0.1269,0.1223225584,0.1233126224
gamma,1,4,disorder,-0.02967298484,-0.1343766627,0.07647091327,0.2881,-1.303777501,-2.078180053,5.196365774,0.2355,0.1021107784,0.08127780304
uniform,1,32,marginal,-0.01367886313,-0.1093846145,0.06818599343,0.3301,-1.868610219,-2.077737388,4.727948241,0.2075,0.01061122974,0.053365358
uniform,1,32,conditional,-0.008534140666,-0.1349292001,0.1097335992,0.3982,-1.504139313,-2.077839554,6.738905666,0.2914,0.003746551875,0.02784076743
uniform,1,32,disorder,-0.002479262161,-0.08765303568,0.08225698403,0.4876,-2.069945219,-2.078256535,4.480762104,0.1794,0.005267884627,0.01066063346
uniform,1,16,marginal,0.05159965889,-0.06134032314,0.1509126626,0.7953,0.5714146508,-2.07746874,7.005254001,0.3182,0.2645422633,0.2270054755
uniform,1,16,conditional,-0.007000168625,-0.15528514,0.127745165,0.4216,-2.04720273,-2.077997943,4.740491789,0.2079,0.2758411821,0.3311769295
uniform,1,16,disorder,0.05849417556,-0.05031916637,0.1655871198,0.8506,2.264161759,-2.075502103,8.780955138,0.413,0.03913277165,0.1067553038
uniform,1,8,marginal,-0.01719371151,-0.1214465785,0.07441284854,0.3083,-1.680271475,-2.077475196,5.486986413,0.2532,0.03018357597,0.07294443265
uniform,1,8,conditional,-0.09584487548,-0.2360856843,0.03124000348,0.0639,3.733842596,-2.064774574,11.01325938,0.5761,0.09720048746,0.1918642872
uniform,1,8,disorder,0.07483921193,-0.02185687706,0.1714307725,0.9337,1.266407734,-2.071697941,7.984391074,0.461,0.08082898629,0.1182051428
uniform,1,4,marginal,-0.06710906165,-0.1797303818,0.02920886104,0.0788,0.5570866954,-2.072977376,8.045174911,0.4436,0.1554038537,0.1432979826
uniform,1,4,conditional,-0.1044458841,-0.2539817383,0.03309359065,0.0647,1.06014693,-2.07119542,8.462633712,0.4829,0.2238250925,0.1800561287
uniform,1,4,disorder,0.03087932769,-0.07211413024,0.1300837554,0.7217,-1.061416802,-2.077960951,5.769714203,0.2534,0.10826861,0.1383557445
