task_id,environment_model,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,site_iid,baseline,{},8192,0,1,1,5498031002335641578
1,site_iid,gamma,"{""shape"":1.0}",8192,0,1,1,3317190222399675651
