model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,8,marginal,6144,1536,heldout,0.6073717949,0.9433439934,0.8662734518
gamma,1,8,conditional,512,128,training,0.7160307061,0.7475826129,0.7026302342
gamma,1,8,conditional,768,192,training,0.7802772881,0.775163037,0.7793500461
gamma,1,8,conditional,1024,256,training,0.7927517506,0.7947316594,0.8193713645
gamma,1,8,conditional,1536,384,training,0.8323170732,0.8223120836,0.855465313
gamma,1,8,conditional,2048,512,training,0.8683278278,0.841880706,0.8666621225
gamma,1,8,conditional,2560,640,training,0.9106484962,0.8570593088,0.8671084947
gamma,1,8,conditional,3072,768,training,0.8919230769,0.8694611302,0.8621302075
gamma,1,8,conditional,4096,1024,training,0.8049440716,0.8890297526,0.8445025081
gamma,1,8,conditional,5120,1280,heldout,1.252848101,0.9042083553,0.8225908543
gamma,1,8,conditional,6144,1536,heldout,0.5381410256,0.9166101768,0.7993447296
gamma,1,8,disorder,512,128,training,0.03488313663,0.02888713237,0.04429539339
gamma,1,8,disorder,768,192,training,0.02301025256,0.02853577333,0.02710059837
gamma,1,8,disorder,1024,256,training,0.03897921529,0.02828648013,0.0198407645
gamma,1,8,disorder,1536,384,training,0.04694340213,0.0279351211,0.01657123722
gamma,1,8,disorder,2048,512,training,0.01700700701,0.02768582789,0.01919153805
gamma,1,8,disorder,2560,640,training,-0.02988721805,0.02749246106,0.0240479163
gamma,1,8,disorder,3072,768,training,0.01928651059,0.02733446886,0.02984727851
gamma,1,8,disorder,4096,1024,training,0.07302013423,0.02708517565,0.04234771404
gamma,1,8,disorder,5120,1280,heldout,-0.2030063291,0.02689180882,0.05486772015
gamma,1,8,disorder,6144,1536,heldout,0.06923076923,0.02673381662,0.06692872225
gamma,1,4,marginal,512,256,training,0.8033996399,0.8126143764,0.8263076812
gamma,1,4,marginal,768,384,training,0.876988122,0.8498351954,0.8485597569
gamma,1,4,marginal,1024,512,training,0.8843133822,0.8762437867,0.8687380884
gamma,1,4,marginal,1536,768,training,0.9072056754,0.9134646056,0.9033655344
gamma,1,4,marginal,2048,1024,training,0.9061796797,0.9398731969,0.9323243308
gamma,1,4,marginal,2560,1280,training,0.9619235589,0.9603572917,0.9572961285
gamma,1,4,marginal,3072,1536,training,0.9467781494,0.9770940158,0.979327147
gamma,1,4,marginal,4096,2048,training,1.046196868,1.003502607,1.017066408
gamma,1,4,marginal,5120,2560,heldout,0.9411392405,1.023986702,1.048848864
gamma,1,4,marginal,6144,3072,heldout,0.8923076923,1.040723426,1.076444595
gamma,1,4,conditional,512,256,training,0.786155231,0.797950889,0.7859194235
gamma,1,4,conditional,768,384,training,0.8386885471,0.8332725557,0.8343932051
gamma,1,4,conditional,1024,512,training,0.8694404246,0.8583336771,0.864928473
gamma,1,4,conditional,1536,768,training,0.8863594434,0.8936553438,0.9025287772
gamma,1,4,conditional,2048,1024,training,0.87053003,0.9187164652,0.92534919
gamma,1,4,conditional,2560,1280,training,1.042155388,0.9381553811,0.9408450371
gamma,1,4,conditional,3072,1536,training,0.925328874,0.9540381319,0.9520760167
gamma,1,4,conditional,4096,2048,training,0.9545637584,0.9790992532,0.9671815745
gamma,1,4,conditional,5120,2560,heldout,0.9443037975,0.9985381692,0.9766933151
gamma,1,4,conditional,6144,3072,heldout,0.6871794872,1.01442092,0.9830349238
gamma,1,4,disorder,512,256,training,0.01724440888,0.0146634874,0.04038825769
gamma,1,4,disorder,768,384,training,0.03829957489,0.01656263962,0.01416655182
gamma,1,4,disorder,1024,512,training,0.01487295765,0.01791010956,0.003809615401
gamma,1,4,disorder,1536,768,training,0.02084623202,0.01980926178,0.0008367572349
gamma,1,4,disorder,2048,1024,training,0.03564964965,0.02115673172,0.006975140778
gamma,1,4,disorder,2560,1280,training,-0.08023182957,0.02220191061,0.01645109145
