environment_model,distribution,distribution_params,L,observations,total_raw_steps,north_step_frequency,north_step_frequency_ci_low,north_step_frequency_ci_high,east_step_frequency,east_step_frequency_ci_low,east_step_frequency_ci_high,south_step_frequency,south_step_frequency_ci_low,south_step_frequency_ci_high,west_step_frequency,west_step_frequency_ci_low,west_step_frequency_ci_high,max_abs_frequency_deviation,all_unadjusted_95pct_cis_include_one_quarter
temporal_iid,gamma,"{""shape"":0.5}",16,2000,604522,0.25050535795223333,0.24936953268446424,0.25164423478692466,0.2492250075266078,0.24819990075582726,0.25029818529683273,0.24957404362454966,0.2484386380448507,0.2506603156595542,0.2506955908966092,0.249564481039171,0.251790996312251,0.0007749924733921887,true
temporal_iid,gamma,"{""shape"":0.5}",32,2000,2400364,0.25006957278146147,0.24953691501669864,0.2506090617501865,0.2500254128123901,0.24945660554708782,0.25058373275397283,0.2498733525415312,0.24931814680362321,0.2504282038768881,0.2500316618646172,0.2494675650126937,0.25061905349558294,0.0001266474584687982,true
temporal_iid,gamma,"{""shape"":0.5}",64,2000,9981842,0.25001728137952894,0.24975660061631966,0.25029165084156957,0.24983304684646382,0.24957004684079565,0.25008490677414535,0.2502400859480645,0.24997489727743902,0.2504949029078664,0.24990958582594275,0.24965320246748543,0.2501706617335139,0.00024008594806451677,true
temporal_iid,gamma,"{""shape"":0.5}",128,2000,38506792,0.24992115676631801,0.2497794447937287,0.25006220379916383,0.2501105259560443,0.24997315745395107,0.25025052770204775,0.2498942524217546,0.2497530566660173,0.2500299048324893,0.25007406485588307,0.2499300685660544,0.25021235290977434,0.00011052595604432724,true
temporal_iid,gamma,"{""shape"":0.5}",256,2000,156669478,0.24994939984417386,0.2498843226841846,0.2500157023790721,0.25005343414752423,0.2499909519000705,0.25012115362207443,0.24998896721925631,0.2499206698047528,0.2500550615092193,0.25000819878904557,0.24994110561763974,0.25007721042788517,5.343414752423392e-5,true
temporal_iid,gamma,"{""shape"":0.5}",512,1000,310682996,0.2500103674808131,0.24996253059390855,0.25005939382730497,0.25000050211953023,0.24995223373887,0.2500475420017542,0.25001255620697055,0.2499646174444402,0.25005966338026697,0.2499765741926861,0.24993140243710077,0.2500264128792374,2.3425807313903757e-5,true
temporal_iid,gamma,"{""shape"":0.5}",1024,500,602951212,0.2499732830788306,0.2499384406537576,0.2500059133508173,0.250027179645175,0.24999075774446067,0.2500622921909017,0.2499944357023699,0.24996049640785162,0.2500281263387586,0.2500051015736245,0.24997204858473268,0.2500387885482051,2.7179645175012812e-5,true
temporal_iid,gamma,"{""shape"":0.5}",2048,100,468230843,0.24998455943236528,0.24994530779877652,0.25002117871375407,0.25001232992248656,0.24997173392820424,0.25005166237660936,0.25002280125318443,0.2499856844532791,0.25006550678313194,0.24998030939196375,0.24994231526265676,0.2500229690872931,2.28012531844346e-5,true
temporal_iid,gamma,"{""shape"":0.5}",4096,100,1870621973,0.24999262905589745,0.24997370013772655,0.25001238856799174,0.2500097319235328,0.24998748678260477,0.2500314380362985,0.24999773377515008,0.24997671013219058,0.25001942100452795,0.24999990524541968,0.24998156164459842,0.2500176127109615,9.731923532818598e-6,true
temporal_iid,gamma,"{""shape"":0.5}",5000,100,3017752612,0.2500062201917829,0.24999120279810622,0.25002096771729876,0.24999624521905642,0.24998251051755752,0.25001012763931957,0.25001032423926206,0.24999478505912007,0.2500258312728548,0.24998721034989863,0.24997052127145847,0.25000367944743124,1.2789650101374672e-5,true
temporal_iid,gamma,"{""shape"":0.5}",8192,100,7628491013,0.25000396693788435,0.24999466532747114,0.250013577246824,0.2500072611673666,0.24999765744591987,0.2500167442852451,0.24999398318095653,0.24998516888160977,0.25000328072447403,0.24999478871379252,0.24998541332087887,0.2500043828385671,7.261167366601207e-6,true
