model,fraction_num,fraction_den,component,order,separation,observed,log_fit,log_plus_log2_fit
gamma,1,4,conditional,256,64,9.689657658,9.700940045,9.712968724
gamma,1,4,conditional,384,96,10.43523154,10.46752151,10.48789046
gamma,1,4,conditional,512,128,11.2322403,11.01141971,11.03077849
gamma,1,4,conditional,700,175,11.50940527,11.6027227,11.61445911
gamma,1,4,conditional,900,225,11.84621035,12.07786342,12.07854994
gamma,1,4,conditional,1100,275,12.79265731,12.45725596,12.44596824
gamma,1,4,conditional,1300,325,12.61438076,12.77309217,12.74970198
gamma,1,4,disorder,128,32,3.397013013,2.835482192,3.156741544
gamma,1,4,disorder,192,48,3.369321321,3.577167621,3.586312526
gamma,1,4,disorder,256,64,3.679151151,4.103401808,3.96868542
gamma,1,4,disorder,384,96,4.186483104,4.845087237,4.616963088
gamma,1,4,disorder,512,128,6.259824781,5.371321424,5.154510844
gamma,1,4,disorder,700,175,5.724553444,5.943420843,5.811977754
gamma,1,4,disorder,900,225,6.417184196,6.403130559,6.395441783
gamma,1,4,disorder,1100,275,6.116553106,6.770201678,6.896619589
gamma,1,4,disorder,1300,325,7.77490982,7.075780575,7.337741387
uniform,1,32,marginal,128,4,6.013109034,5.820413345,5.950948829
uniform,1,32,marginal,192,6,6.493251446,6.490556531,6.494356542
uniform,1,32,marginal,256,8,6.841790832,6.966030688,6.911407415
uniform,1,32,marginal,384,12,7.30352495,7.636173874,7.543600085
uniform,1,32,marginal,512,16,8.337086642,8.111648031,8.023644887
uniform,1,32,marginal,700,22,8.323232323,8.637980862,8.585526506
uniform,1,32,marginal,900,28,9.230332665,9.036567832,9.032351406
uniform,1,32,marginal,1100,34,9.720762188,9.357464322,9.405433749
uniform,1,32,marginal,1300,41,9.460628557,9.666883152,9.776449218
uniform,1,32,conditional,128,4,6.162755674,5.967673557,5.90853747
uniform,1,32,conditional,192,6,6.643467735,6.621023233,6.619301726
uniform,1,32,conditional,256,8,6.6164664,7.084582205,7.109328018
uniform,1,32,conditional,384,12,7.264079649,7.73793188,7.779870298
uniform,1,32,conditional,512,16,8.974279957,8.201490852,8.241358645
uniform,1,32,conditional,700,22,8.553045206,8.714634,8.738397235
uniform,1,32,conditional,900,28,9.227126253,9.103232546,9.105142701
uniform,1,32,conditional,1100,34,10.35719871,9.416087504,9.394356062
uniform,1,32,conditional,1300,41,8.765988617,9.717752426,9.668116049
uniform,1,32,disorder,128,4,-0.14964664,-0.1472602124,0.04241135876
uniform,1,32,disorder,192,6,-0.1502162884,-0.1304667019,-0.1249451833
uniform,1,32,disorder,256,8,0.2253244326,-0.1185515167,-0.1979206024
uniform,1,32,disorder,384,12,0.03944530046,-0.1017580062,-0.2362702131
uniform,1,32,disorder,512,16,-0.6371933152,-0.08984282097,-0.2177137576
uniform,1,32,disorder,700,22,-0.2298128829,-0.07665313844,-0.1528707285
uniform,1,32,disorder,900,28,0.003206412826,-0.0666647142,-0.07279129422
uniform,1,32,disorder,1100,34,-0.6364365256,-0.05862318118,0.01107768651
uniform,1,32,disorder,1300,41,0.6946399406,-0.05086927358,0.1083331683
uniform,1,16,marginal,128,8,6.716681798,6.723323658,6.680053079
uniform,1,16,marginal,192,12,7.487302181,7.435868082,7.434681169
uniform,1,16,marginal,256,16,7.870903427,7.941426397,7.959631038
uniform,1,16,marginal,384,24,8.580964798,8.653970821,8.684753517
uniform,1,16,marginal,512,32,8.827497926,9.159529135,9.188768822
uniform,1,16,marginal,700,44,10.72977645,9.719164048,9.736563287
uniform,1,16,marginal,900,56,9.758492986,10.14297038,10.14431869
uniform,1,16,marginal,1100,69,10.22218263,10.50982581,10.49234992
uniform,1,16,marginal,1300,81,10.88388023,10.79160409,10.7565629
uniform,1,16,conditional,128,8,6.843257677,6.868599896,6.769165461
uniform,1,16,conditional,192,12,7.209598576,7.559697855,7.556970366
uniform,1,16,conditional,256,16,8.518365821,8.05003966,8.091873356
uniform,1,16,conditional,384,24,8.857385327,8.741137619,8.811875291
uniform,1,16,conditional,512,32,8.548801707,9.231479425,9.298671308
uniform,1,16,conditional,700,44,10.67196556,9.774270208,9.814253113
uniform,1,16,conditional,900,56,10.45967134,10.18532063,10.18841902
uniform,1,16,conditional,1100,69,9.363385301,10.5411343,10.50097525
uniform,1,16,conditional,1300,81,11.29367978,10.8144315,10.73390793
uniform,1,16,disorder,128,8,-0.1265758789,-0.1452762381,-0.08911238202
uniform,1,16,disorder,192,12,0.2777036048,-0.1238297729,-0.1222891973
uniform,1,16,disorder,256,16,-0.6474623943,-0.1086132637,-0.1322423181
uniform,1,16,disorder,384,24,-0.2764205286,-0.08716679842,-0.1271217743
uniform,1,16,disorder,512,32,0.278696219,-0.07195028918,-0.1099024864
uniform,1,16,disorder,700,44,0.05781089584,-0.05510615947,-0.07768982605
uniform,1,16,disorder,900,56,-0.7011783567,-0.04235025627,-0.04410032714
uniform,1,16,disorder,1100,69,0.8587973274,-0.0313084853,-0.008625325315
uniform,1,16,disorder,1300,81,-0.4097995546,-0.02282740271,0.02265497057
