model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.003293889689,-0.0375725457,0.02789744635,0.3734,-2.226817188,-2.30168513,3.046029857,0.1376,0.137856416,0.1373310525
gamma,1,32,conditional,-0.004897498523,-0.04568338061,0.03349698857,0.3714,-2.1287831,-2.301310295,3.981626994,0.1654,0.1214056,0.1397906276
gamma,1,32,disorder,-0.004019395896,-0.03600962993,0.02816178435,0.3968,-2.191104889,-2.301762688,2.559791446,0.1228,0.08955620603,0.1260623322
gamma,1,16,marginal,-0.03802432359,-0.07165386986,-0.009361939126,0.0058,10.14373046,-1.9384581,14.06072669,0.8233,0.1578823885,0.1002492592
gamma,1,16,conditional,-0.02496785553,-0.06724441419,0.01330640294,0.0941,0.8259579843,-2.297900048,7.570558719,0.3927,0.08197047381,0.07360418708
gamma,1,16,disorder,-0.01009939856,-0.04288800277,0.02227736617,0.2654,-1.625304096,-2.301365384,3.693016171,0.1655,0.1351156363,0.142428267
gamma,1,8,marginal,0.01526965955,-0.02806523159,0.05462254009,0.7253,-1.732292511,-2.301692875,2.387820013,0.1137,0.1311896166,0.1253776838
gamma,1,8,conditional,0.02519394401,-0.02538343883,0.07321176713,0.8147,-0.9024249081,-2.301139126,4.387230431,0.1979,0.1280411654,0.2248413232
gamma,1,8,disorder,-0.01602460028,-0.05700322325,0.02368392186,0.2082,-1.991857159,-2.301833702,0.8474986689,0.0564,0.1921941977,0.3138534682
gamma,1,4,marginal,-0.02274647695,-0.06619523524,0.01678408632,0.1183,0.3138236338,-2.29871211,6.887863742,0.3532,0.08354752929,0.0567733735
gamma,1,4,conditional,-0.04431297055,-0.09534719781,0.002890385239,0.0317,0.8853751274,-2.283100433,7.097926297,0.4754,0.2497770121,0.2399708583
gamma,1,4,disorder,0.005426107991,-0.03654941295,0.04710236161,0.5964,-2.233376258,-2.301884411,1.427083615,0.0725,0.1830805494,0.1837827492
uniform,1,32,marginal,-0.007267998197,-0.04113153924,0.02204500385,0.277,-1.955774028,-2.301441814,3.447873497,0.1594,0.01335804167,0.04157992874
uniform,1,32,conditional,-0.01361956253,-0.06085265435,0.03005509517,0.2451,-1.086974353,-2.300426405,5.738455257,0.2413,0.003261622771,0.05177628478
uniform,1,32,disorder,0.006881657447,-0.0241727243,0.03856615411,0.6664,-1.766563243,-2.301244028,3.944792793,0.1714,0.009166865619,0.0160248079
uniform,1,16,marginal,0.0268499146,-0.0119838852,0.06253055371,0.9061,1.645477155,-2.296878036,7.156395899,0.3836,0.2729979964,0.225037599
uniform,1,16,conditional,-0.02158232805,-0.07250910913,0.02740218581,0.1751,-0.006097389661,-2.299785248,6.709694345,0.3089,0.2464068311,0.299064968
uniform,1,16,disorder,0.04813929822,0.00962248128,0.08444139213,0.9933,12.84764637,-1.994281156,14.30210519,0.8301,0.08241841442,0.07219769956
uniform,1,8,marginal,-0.02764385834,-0.06695750455,0.006894437216,0.0537,4.232051977,-2.28620223,10.19847006,0.5525,0.04155527906,0.05981431331
uniform,1,8,conditional,-0.02253333419,-0.07447043678,0.02478301625,0.1624,-0.9300632356,-2.300512705,5.098872271,0.2554,0.09361187228,0.09674813449
uniform,1,8,disorder,-0.005012717739,-0.04206737286,0.0311522423,0.3897,-2.242443305,-2.302007456,1.01793811,0.0586,0.06228607688,0.06440978039
uniform,1,4,marginal,-0.00655735477,-0.0489807332,0.03058353598,0.3234,-2.157115503,-2.301607617,2.432446147,0.1113,0.1570000389,0.1603526777
uniform,1,4,conditional,-0.0221301036,-0.07864198959,0.03023401027,0.1812,-1.279077491,-2.300442871,4.36889325,0.2148,0.2212858605,0.2240473204
uniform,1,4,disorder,0.0103922404,-0.02774659001,0.04799515007,0.7076,-1.535407001,-2.301159284,4.125551594,0.1849,0.09698569869,0.1019636472
