model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,8,marginal,6144,1536,heldout,1.077884615,1.046394876,1.125120354
gamma,1,8,conditional,512,128,training,0.673070114,0.6201832211,0.7026362255
gamma,1,8,conditional,768,192,training,0.7081165291,0.6874227994,0.6797428615
gamma,1,8,conditional,1024,256,training,0.7073090475,0.7351300395,0.6899351517
gamma,1,8,conditional,1536,384,training,0.7674794794,0.8023696178,0.7415589679
gamma,1,8,conditional,2048,512,training,0.8065565566,0.8500768579,0.8046220388
gamma,1,8,conditional,2560,640,training,0.8650093985,0.8870814682,0.8686489491
gamma,1,8,conditional,3072,768,training,0.8085618729,0.9173164363,0.9307630352
gamma,1,8,conditional,4096,1024,training,1.128501119,0.9650236763,1.046696887
gamma,1,8,conditional,5120,1280,heldout,0.9410601266,1.002028287,1.151733561
gamma,1,8,conditional,6144,1536,heldout,0.7278846154,1.032263255,1.247355063
gamma,1,8,disorder,512,128,training,0.09681112222,0.1332400913,0.08096560565
gamma,1,8,disorder,768,192,training,0.08108027007,0.1138050237,0.1186740374
gamma,1,8,disorder,1024,256,training,0.149429143,0.1000156238,0.1286687885
gamma,1,8,disorder,1536,384,training,0.1102603189,0.08058055619,0.1191339779
gamma,1,8,disorder,2048,512,training,0.1165725726,0.06679115628,0.09560911517
gamma,1,8,disorder,2560,640,training,0.02957393484,0.05609526674,0.06778132304
gamma,1,8,disorder,3072,768,training,0.08517279822,0.04735608866,0.03883106223
gamma,1,8,disorder,4096,1024,training,-0.03744966443,0.03356668875,-0.01821341436
gamma,1,8,disorder,5120,1280,heldout,0.2348101266,0.02287079921,-0.07204103892
gamma,1,8,disorder,6144,1536,heldout,0.35,0.01413162114,-0.1222347096
gamma,1,4,marginal,512,256,training,0.8021242448,0.8197502229,0.8028498202
gamma,1,4,marginal,768,384,training,0.8705949925,0.8588044498,0.8603786076
gamma,1,4,marginal,1024,512,training,0.8818855174,0.8865138647,0.8957774666
gamma,1,4,marginal,1536,768,training,0.922407364,0.9255680916,0.9380324582
gamma,1,4,marginal,2048,1024,training,1.001916917,0.9532775065,0.9625943865
gamma,1,4,marginal,2560,1280,training,0.9753258145,0.9747705985,0.9785487142
gamma,1,4,marginal,3072,1536,training,0.9661092531,0.9923317333,0.9895755822
gamma,1,4,marginal,4096,2048,training,1.010693512,1.020041148,1.00330058
gamma,1,4,marginal,5120,2560,heldout,1.079351266,1.04153424,1.010849131
gamma,1,4,marginal,6144,3072,heldout,0.9727564103,1.059095375,1.01500798
gamma,1,4,conditional,512,256,training,0.7067035607,0.7086343722,0.7392604155
gamma,1,4,conditional,768,384,training,0.7792857902,0.7511862673,0.7483336592
gamma,1,4,conditional,1024,512,training,0.7984492609,0.7813773173,0.764590293
gamma,1,4,conditional,1536,768,training,0.7958966542,0.8239292123,0.8013419263
gamma,1,4,conditional,2048,1024,training,0.8544624625,0.8541202624,0.8372366901
gamma,1,4,conditional,2560,1280,training,0.8329699248,0.8775382601,0.8706917524
gamma,1,4,conditional,3072,1536,training,0.832419175,0.8966721574,0.9016667131
gamma,1,4,conditional,4096,2048,training,1.020134228,0.9268632074,0.9571996068
gamma,1,4,conditional,5120,2560,heldout,1.141693038,0.9502812051,1.005887186
gamma,1,4,conditional,6144,3072,heldout,0.6663461538,0.9694151025,1.049308019
gamma,1,4,disorder,512,256,training,0.09542068414,0.1111158507,0.06358940474
gamma,1,4,disorder,768,384,training,0.0913092023,0.1076181825,0.1120449485
gamma,1,4,disorder,1024,512,training,0.08343625653,0.1051365474,0.1311871736
gamma,1,4,disorder,1536,768,training,0.1265107098,0.1016388792,0.1366905318
gamma,1,4,disorder,2048,1024,training,0.1474544545,0.09915724413,0.1253576964
gamma,1,4,disorder,2560,1280,training,0.1423558897,0.09723233841,0.1078569618
gamma,1,4,disorder,3072,1536,training,0.133690078,0.09565957592,0.08790886919
gamma,1,4,disorder,4096,2048,training,-0.009440715884,0.09317794084,0.04610097318
gamma,1,4,disorder,5120,2560,heldout,-0.06234177215,0.09125303512,0.004961945175
gamma,1,4,disorder,6144,3072,heldout,0.3064102564,0.08968027263,-0.03430003945
uniform,1,32,marginal,512,32,training,0.6199393479,0.6270750248,0.625268828
uniform,1,32,marginal,768,48,training,0.6779498625,0.6651061557,0.6652743907
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6920896725,0.6930797015
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7301208034,0.7314529077
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7571043202,0.7581000432
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7780343619,0.7784381404
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7951354511,0.7948408929
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8221189679,0.8203298531
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8430490095,0.8397695998
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8601500988,0.8554383464
uniform,1,32,conditional,512,32,training,0.607320184,0.6200364249,0.6131256681
uniform,1,32,conditional,768,48,training,0.6783834709,0.658869252,0.6595129421
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6864215813,0.6902095679
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7252544084,0.7303512222
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7528067376,0.7566165103
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7741779846,0.7757228968
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7916395647,0.7905125448
uniform,1,32,conditional,4096,256,training,0.8063534676,0.819191894,0.8123464952
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8405631409,0.8280156692
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8580247211,0.83999691
uniform,1,32,disorder,512,32,training,0.01261916383,0.007038599901,0.0121431599
uniform,1,32,disorder,768,48,training,-0.0004336084021,0.006236903719,0.005761448592
uniform,1,32,disorder,1024,64,training,0.007102367456,0.005668091226,0.002870133552
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004866395045,0.001101685518
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004297582551,0.001483532861
uniform,1,32,disorder,2560,160,training,0.008333333333,0.003856377305,0.002715243638
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.00349588637,0.004328348103
uniform,1,32,disorder,4096,256,training,0.03279642058,0.002927073877,0.00798335783
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.00248586863,0.01175393059
uniform,1,32,disorder,6144,384,heldout,0,0.002125377695,0.01544143635
uniform,1,16,marginal,512,64,training,0.6999331866,0.6841257538,0.6972218653
uniform,1,16,marginal,768,96,training,0.7172112716,0.7301122618,0.7288924479
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7627402084,0.7555618491
uniform,1,16,marginal,1536,192,training,0.8032422608,0.8087267164,0.7990680865
uniform,1,16,marginal,2048,256,training,0.8347882883,0.841354663,0.8341350185
uniform,1,16,marginal,2560,320,training,0.8381390977,0.8666628646,0.8637352051
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8873411709,0.8894769107
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9199691176,0.9329413734
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9452773192,0.9690551909
uniform,1,16,marginal,6144,768,heldout,1.325,0.9659556255,1.00011892
uniform,1,16,conditional,512,64,training,0.6792013603,0.6997320999,0.6724555851
uniform,1,16,conditional,768,96,training,0.7245366029,0.7341499077,0.73669053
uniform,1,16,conditional,1024,128,training,0.773317717,0.758569731,0.7735207815
uniform,1,16,conditional,1536,192,training,0.8196873046,0.7929875389,0.8131044843
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8174073622,0.8324444012
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8363488487,0.8424465631
uniform,1,16,conditional,3072,384,training,0.8459531773,0.85182517,0.8473768621
uniform,1,16,conditional,4096,512,training,0.8448322148,0.8762449933,0.8492264444
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.8951864798,0.8456620488
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.9106628011,0.8395076632
uniform,1,16,disorder,512,64,training,0.02073182637,-0.01560634605,0.02476628027
uniform,1,16,disorder,768,96,training,-0.007325331333,-0.004037645952,-0.00779808215
uniform,1,16,disorder,1024,128,training,-0.007133711237,0.004170477393,-0.01795893232
uniform,1,16,disorder,1536,192,training,-0.01644504378,0.01573917749,-0.01403639786
uniform,1,16,disorder,2048,256,training,0.01007607608,0.02394730083,0.001690617284
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.03031401593,0.02128864193
uniform,1,16,disorder,3072,384,training,0.06672240803,0.03551600093,0.04210004862
uniform,1,16,disorder,4096,512,training,0.08402684564,0.04372412427,0.08371492908
