model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,6144,12,0.007790673588,-0.01787927226,0.03288368521,-2.133781769,-2.483989979,3.142856814
gamma,1,32,disorder,256,6144,11,0.01268140256,-0.02753197528,0.05240248453,-2.032204216,-2.397059532,3.746659647
gamma,1,32,disorder,512,6144,10,0.01437645763,-0.05837529502,0.08567624495,-2.151380898,-2.30177462,3.674171281
gamma,1,32,disorder,768,6144,9,0.02065639995,-0.08731556449,0.1252478216,-2.062463827,-2.196399664,4.175145403
gamma,1,32,disorder,1024,6144,8,0.02473571637,-0.125439351,0.1709805375,-1.990859749,-2.078670468,4.11352566
gamma,1,32,disorder,1536,6144,7,0.004464439524,-0.271482617,0.2819448218,-1.945106403,-1.9452625,4.023830002
gamma,1,32,disorder,2048,6144,6,-0.2521545998,-0.7501631467,0.2622242215,-0.9354337263,-1.788445888,4.420049979
gamma,1,32,disorder,2560,6144,5,-0.6083480016,-1.553804574,0.36880012,0.005083559979,-1.602609489,9.322826339
gamma,1,16,disorder,128,6144,12,-0.005185028413,-0.03627873492,0.02539654381,-1.630952765,-2.481995994,4.683520366
gamma,1,16,disorder,256,6144,11,-0.01105851337,-0.06018276431,0.03763844389,-0.8252662541,-2.394509485,5.19422217
gamma,1,16,disorder,512,6144,10,-0.02369057313,-0.1111161605,0.06492305253,0.1448784329,-2.298838883,6.666526464
gamma,1,16,disorder,768,6144,9,-0.03829651944,-0.1694152037,0.09362315349,0.7257999192,-2.192935208,7.765644961
gamma,1,16,disorder,1024,6144,8,-0.04019106177,-0.218959702,0.1427994451,-0.504354494,-2.076866899,6.641362632
gamma,1,16,disorder,1536,6144,7,-0.06819209644,-0.3967148611,0.2661374639,-0.6245618946,-1.943330992,7.239602763
gamma,1,16,disorder,2048,6144,6,-0.1508986129,-0.7291100684,0.4406853405,0.2572294372,-1.787938356,8.607970047
gamma,1,16,disorder,2560,6144,5,-0.2927044292,-1.323944262,0.7736593188,0.977553599,-1.604842476,11.92500778
gamma,1,8,disorder,128,6144,12,-0.001544491291,-0.02703138979,0.02345836104,-2.427226507,-2.483526512,3.734673246
gamma,1,8,disorder,256,6144,11,7.917558043e-05,-0.04019833961,0.03907474196,-2.397835713,-2.396839464,3.420785487
gamma,1,8,disorder,512,6144,10,-0.001791125902,-0.07293054116,0.06764565499,-2.292859709,-2.301209408,4.799707217
gamma,1,8,disorder,768,6144,9,0.01148522787,-0.09497285427,0.1152973711,-2.017897982,-2.195745422,3.850094496
gamma,1,8,disorder,1024,6144,8,0.01314568241,-0.132773488,0.1548576819,-1.971633457,-2.07829817,3.872348896
gamma,1,8,disorder,1536,6144,7,0.1279779315,-0.1435069317,0.3912645028,2.074483591,-1.941806217,8.63389575
gamma,1,8,disorder,2048,6144,6,0.2005160565,-0.2968176431,0.6870916688,1.521576481,-1.788902211,11.16305883
gamma,1,8,disorder,2560,6144,5,0.1429794454,-0.7837196337,1.046374777,-0.9647407793,-1.606127087,12.65754714
