distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
uniform,"{""a"":0.7}",annealed,512,4.707134066813362,1.54907924444665,1.830711656754555,0.8461623318621477
uniform,"{""a"":0.7}",annealed,1024,5.296438127625525,1.6670345432389002,1.9360721724123813,0.861039462780845
uniform,"{""a"":0.7}",annealed,2048,6.306613226452907,1.8415988013128883,2.0313823522167063,0.9065741854571493
uniform,"{""a"":0.7}",annealed,4096,6.618336673346694,1.8898440805757726,2.118393729206336,0.8921118177987667
weibull,"{""shape"":0.7}",annealed,16,1.9918030006001228,0.689040258990883,1.0197814405382262,0.6756744451313188
weibull,"{""shape"":0.7}",annealed,32,2.6040048009601926,0.9570505680313331,1.242924991852436,0.7699986518132199
weibull,"{""shape"":0.7}",annealed,64,3.1298259651930387,1.1409774008314557,1.4252465486463906,0.8005473873380604
weibull,"{""shape"":0.7}",annealed,128,3.553045969193839,1.2678052550902448,1.5793972284736488,0.8027146257027874
weibull,"{""shape"":0.7}",annealed,256,4.223340628125624,1.440626432922868,1.7129286210981716,0.8410312112125673
weibull,"{""shape"":0.7}",annealed,512,4.812156671334267,1.57114535604756,1.830711656754555,0.858215629015468
weibull,"{""shape"":0.7}",annealed,1024,5.223298699739947,1.6531291371239027,1.9360721724123813,0.8538571860490478
weibull,"{""shape"":0.7}",annealed,2048,5.825454909819638,1.7622370925087978,2.0313823522167063,0.8675063513207107
weibull,"{""shape"":0.7}",annealed,4096,6.272288577154306,1.836141292377784,2.118393729206336,0.8667611063339491
