campaign_id,L,environment_id,environment_seed,conditional_mean,conditional_variance,conditional_second_moment,log_partition,partition_phase_real,partition_phase_imaginary,matrix_order,precision_bits,crossed_edges,relative_solve_residual,maximum_probability_imaginary_residual,maximum_covariance_imaginary_residual,elapsed_seconds
glauber_square_grid_kasteleyn__gamma__p_0p5,8,84,5483839760004895936,-0.032950351668953694,0.14500786259647808,0.1460935882715858,27.89848206773879,1.0,-0.0,128,53,8,5.182364571217372e-15,0.0,0.0,0.000331708
glauber_square_grid_kasteleyn__gamma__p_0p5,8,85,18140159090849670349,-0.19929523643984126,0.7591409754404933,0.7988595667081055,9.712768291998701,1.0,0.0,128,53,8,3.926137672198215e-16,0.0,0.0,0.000351917
glauber_square_grid_kasteleyn__gamma__p_0p5,8,86,625283115361242370,0.16510157833933536,0.7371609040457571,0.7644194352158967,12.685503470977167,1.0,-0.0,128,53,8,1.2192195955092582e-14,0.0,0.0,0.000357667
glauber_square_grid_kasteleyn__gamma__p_0p5,8,87,11446724856749186949,-0.21150527777430028,0.8019332253984767,0.8466677079248606,6.886368930446291,1.0,0.0,128,53,8,7.138818571517468e-16,0.0,0.0,0.00032825
glauber_square_grid_kasteleyn__gamma__p_0p5,8,88,1770211685752957346,-0.00017859109409124052,0.009092821795853492,0.00909285369063238,23.820129049878652,1.0,-0.0,128,53,8,2.597110099947078e-16,0.0,0.0,0.000360292
glauber_square_grid_kasteleyn__gamma__p_0p5,8,89,754854148410556534,1.9785767806855463,4.0210038008409255,7.935769877908906,14.21278439322296,1.0,0.0,128,53,8,3.393465795284672e-15,0.0,0.0,0.000360458
glauber_square_grid_kasteleyn__gamma__p_0p5,8,90,18079577691477298786,1.064761604834442,5.551669316429284,6.685386591558901,17.02339682473714,1.0,-0.0,128,53,8,1.254228289848756e-15,0.0,0.0,0.000520625
glauber_square_grid_kasteleyn__gamma__p_0p5,8,91,11054227263843250655,0.0991585109503274,2.90624712586462,2.9160795361585063,1.1819575562325761,1.0,-0.0,128,53,8,2.3833274543908476e-14,0.0,0.0,0.000298959
glauber_square_grid_kasteleyn__gamma__p_0p5,8,92,831952008785342822,0.1260698318876547,0.9548127128440297,0.9707063153562112,13.216444120698265,1.0,0.0,128,53,8,2.1350871680371333e-16,0.0,0.0,0.000295125
glauber_square_grid_kasteleyn__gamma__p_0p5,8,93,6768888204410725348,0.3872363302075956,1.7141838170634591,1.8641357924961053,33.63603374537564,1.0,0.0,128,53,8,8.24825813766016e-16,0.0,0.0,0.000292416
glauber_square_grid_kasteleyn__gamma__p_0p5,8,94,14680903378376420467,0.043289788641078505,0.6528380344135484,0.6547120402141376,14.247647176180662,1.0,-0.0,128,53,8,2.1269060535094155e-14,0.0,0.0,0.000301709
glauber_square_grid_kasteleyn__gamma__p_0p5,8,95,9423540356294645024,0.5310193155607063,1.9948534234500532,2.2768349369486143,16.581719382777198,1.0,-0.0,128,53,8,1.2240500663855459e-15,0.0,0.0,0.000297083
glauber_square_grid_kasteleyn__gamma__p_0p5,8,96,6914377841691966517,-0.45029396322770976,4.950127862197212,5.1528925155165295,7.550162678413665,1.0,-0.0,128,53,8,1.594526279928499e-14,0.0,0.0,0.000308708
glauber_square_grid_kasteleyn__gamma__p_0p5,8,97,1017194212266938981,-0.38465355649196065,1.4092987788760212,1.5572571373979351,19.835115036291718,1.0,-0.0,128,53,8,2.3429175000604897e-15,0.0,0.0,0.000319792
glauber_square_grid_kasteleyn__gamma__p_0p5,8,98,15398550814575487034,-1.729567485067299,3.945712636457768,6.93711632185979,6.509920613129416,1.0,-0.0,128,53,8,3.2699191509152187e-14,0.0,0.0,0.000295458
glauber_square_grid_kasteleyn__gamma__p_0p5,8,99,4051343637355128615,0.6059202339287719,2.0573799157925667,2.4245192456768643,13.762897029823861,1.0,-0.0,128,53,8,6.279984984505727e-15,0.0,0.0,0.000292333
glauber_square_grid_kasteleyn__gamma__p_0p5,8,100,10342051937261715468,-0.2528885142969704,0.9645161223257159,1.028468722989045,33.566439405591794,1.0,0.0,128,53,8,9.613183576825194e-15,0.0,0.0,0.00029
glauber_square_grid_kasteleyn__gamma__p_0p5,8,101,12897335311229967570,1.3033686765232269,3.5641074045106156,5.262877311452524,22.426615110465328,1.0,-0.0,128,53,8,8.519983161770434e-15,0.0,0.0,0.000290792
glauber_square_grid_kasteleyn__gamma__p_0p5,8,102,12934554617385534675,-0.1339605723828765,0.9415787410972254,0.9595241760503733,10.779566861927245,1.0,0.0,128,53,8,7.912370026456398e-14,0.0,0.0,0.001436583
glauber_square_grid_kasteleyn__gamma__p_0p5,8,103,17094316637270391245,-1.3176636719770491,3.534624659814023,5.270862212262063,19.046159836857875,1.0,0.0,128,53,8,3.3962090244693843e-15,0.0,0.0,0.000338125
glauber_square_grid_kasteleyn__gamma__p_0p5,8,104,5045314903067367868,-0.6793978799377666,2.258711568404566,2.720293047668498,10.51441895706531,1.0,-0.0,128,53,8,1.54572832435205e-14,0.0,0.0,0.000593416
glauber_square_grid_kasteleyn__gamma__p_0p5,8,105,9627299388624198510,0.002019697923438396,0.008077776530066912,0.008081855709768854,29.0273327108415,1.0,-0.0,128,53,8,5.603280306177699e-16,0.0,0.0,0.000394542
glauber_square_grid_kasteleyn__gamma__p_0p5,8,106,14015007716524791331,0.0656616077290384,0.2918348573939674,0.29614630412352955,28.2339160746109,1.0,0.0,128,53,8,1.02548907333561e-15,0.0,0.0,0.000278292
glauber_square_grid_kasteleyn__gamma__p_0p5,8,107,10585259927565684660,-0.3048619345872729,1.2640508729906788,1.3569916721509734,20.168367671334583,1.0,-0.0,128,53,8,3.798935190961572e-15,0.0,0.0,0.00028475
glauber_square_grid_kasteleyn__gamma__p_0p5,8,108,8296880357851192250,0.7264895597072023,3.7474562928799067,4.275243373243471,17.63480497750156,1.0,0.0,128,53,8,2.953731495338981e-14,0.0,0.0,0.00031125
