L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
16,gamma,1.0,84,5553115084331759988,366,34,0,10,16,122
16,gamma,1.0,85,2419243905286416145,150,34,1,2,16,83
16,gamma,1.0,86,5015871958119682244,454,30,0,16,2,114
16,gamma,1.0,87,3401066643277601076,98,26,2,16,0,53
16,gamma,1.0,88,6811816564697201430,45,25,0,3,16,32
16,gamma,1.0,89,6303561854121913897,65,29,1,16,5,40
16,gamma,1.0,90,6299446014906251799,309,33,-1,16,11,81
16,gamma,1.0,91,5725468227753770436,183,43,-1,16,13,84
16,gamma,1.0,92,5534155202201233778,91,33,1,3,16,55
16,gamma,1.0,93,1084393239201665265,132,26,-1,-2,16,52
16,gamma,1.0,94,9097880451048942025,177,45,2,13,16,74
16,gamma,1.0,95,753180423518767685,181,45,0,16,3,68
16,gamma,1.0,96,6128775651983400018,137,33,2,16,5,69
16,gamma,1.0,97,8590704012267625590,103,35,-1,7,16,60
16,gamma,1.0,98,359926241178514265,228,58,-3,6,16,98
16,gamma,1.0,99,7907196531018323464,188,32,0,16,6,80
32,gamma,1.0,0,3426289161587516446,334,60,-1,8,32,136
32,gamma,1.0,1,5607065088958402850,142,60,-1,12,32,81
32,gamma,1.0,2,3743754638550198044,534,94,-1,-10,32,192
32,gamma,1.0,3,3555135541488777796,371,85,0,15,32,177
32,gamma,1.0,4,1061279170174822583,478,92,-1,32,-8,193
32,gamma,1.0,5,3962411734135109263,539,73,0,5,32,203
32,gamma,1.0,6,2109679309920831950,274,104,-1,14,32,159
32,gamma,1.0,7,6244615662538231230,620,86,-1,32,0,243
32,gamma,1.0,8,1689271855581419461,264,94,-1,32,28,134
32,gamma,1.0,9,8214598616538553899,886,96,-1,32,-8,315
32,gamma,1.0,10,5583062746862466265,228,74,-3,32,14,119
32,gamma,1.0,11,5352249882464861511,966,90,-1,32,-12,297
32,gamma,1.0,12,1424203899963718563,175,65,-1,32,9,99
32,gamma,1.0,13,8420115949828521963,195,65,0,32,-5,98
32,gamma,1.0,14,7375809823420181756,737,79,2,13,32,281
32,gamma,1.0,15,3607369576499062719,337,87,1,32,17,167
32,gamma,1.0,16,8152829235704907990,284,90,1,12,32,138
32,gamma,1.0,17,620271860584909815,689,87,-1,7,32,258
32,gamma,1.0,18,5934486684929188520,574,76,0,-6,32,197
32,gamma,1.0,19,1957860598757096454,488,102,1,26,32,194
32,gamma,1.0,20,5977442563959639512,213,77,0,32,17,115
