model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.004602349178,-0.0476771214,0.04262948244,0.4459,-3.573112247,-3.687427742,3.413121627,0.0976,0.1055446865,0.1054602118
gamma,marginal,weighted,-0.01404494828,-0.03570101464,0.002444702957,0.0423,-0.6471197575,-3.671697509,6.370212429,0.3047,0.1132240416,0.1188741144
gamma,conditional,unweighted,0.01801781616,-0.03830495189,0.06386993788,0.6665,-2.041818351,-3.687292651,3.209247276,0.1124,0.1123040774,0.1162567238
gamma,conditional,weighted,0.009007306591,-0.01524077552,0.02982230781,0.7205,-2.585820854,-3.687907267,1.716846572,0.0668,0.1101747805,0.1018888552
gamma,disorder,unweighted,-0.01341546698,-0.05421651347,0.02681820551,0.2397,-2.476502715,-3.687309845,4.178978402,0.1388,0.09112702796,0.09684025569
gamma,disorder,weighted,-0.02266863191,-0.04238092834,-0.004158476108,0.0093,8.301161516,-3.492396036,12.6037018,0.6246,0.0950820716,0.08521863686
uniform,marginal,unweighted,0.01395507284,-0.04043860198,0.05488321145,0.6027,-3.055030581,-3.687649274,2.135616952,0.0725,0.1484834851,0.1540074732
uniform,marginal,weighted,-0.003984349541,-0.0249969501,0.01228042823,0.2441,-3.375484128,-3.687493864,1.964511015,0.0748,0.1589837182,0.1623416939
uniform,conditional,unweighted,-0.006344367874,-0.07662479493,0.05390073494,0.3358,-3.598699061,-3.687538152,5.729921327,0.1375,0.1788916676,0.1909564902
uniform,conditional,weighted,-0.01945948041,-0.04719184751,0.003927832001,0.0469,1.588526677,-3.672386542,8.021319807,0.3609,0.1719215184,0.1769446969
uniform,disorder,unweighted,0.02029944071,-0.02495515221,0.06370318745,0.8116,0.8967963731,-3.684894363,8.329757454,0.2741,0.06312435844,0.05917035703
uniform,disorder,weighted,0.01394799541,-0.004763128683,0.03198070899,0.93,-0.1203988107,-3.681309688,4.974355114,0.2319,0.07092281614,0.05627125303
