model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,512,6144,10,-0.022725059,-0.09961947889,0.05120595049,-1.343763061,-2.300782878,7.927394028
gamma,1,32,disorder,768,6144,9,-0.02025730774,-0.1324549361,0.08897973491,-1.859028515,-2.195714964,6.166958119
gamma,1,32,disorder,1024,6144,8,-0.029194045,-0.1819888297,0.1214420122,-1.756191324,-2.077773971,5.796035336
gamma,1,32,disorder,1536,6144,7,-0.05163923766,-0.3323994271,0.223188061,-1.663526853,-1.944645463,5.825907662
gamma,1,32,disorder,2048,6144,6,-0.05545708565,-0.5761755677,0.4499677689,-1.696296906,-1.790234378,6.881642745
gamma,1,32,disorder,2560,6144,5,-0.2741894807,-1.250361599,0.6579658513,-0.8617727598,-1.605959885,10.40040715
gamma,1,16,disorder,512,6144,10,0.02093732613,-0.05891453059,0.1038407392,-0.7731832117,-2.29892568,5.284388207
gamma,1,16,disorder,768,6144,9,0.04203528279,-0.0773005223,0.1659605352,0.6792681389,-2.194115541,6.839035573
gamma,1,16,disorder,1024,6144,8,0.06079556171,-0.1053008511,0.2335068574,0.838602238,-2.076524068,6.646859359
gamma,1,16,disorder,1536,6144,7,0.1236664733,-0.18881215,0.4554415313,1.906403066,-1.942327136,9.385651015
gamma,1,16,disorder,2048,6144,6,0.1491522419,-0.4306339292,0.7501847097,0.08116512594,-1.788333066,8.724545169
gamma,1,16,disorder,2560,6144,5,0.2059721938,-0.8748997305,1.314631255,-0.4719332039,-1.605338769,12.5195791
gamma,1,8,disorder,512,6144,10,-0.0006215783442,-0.09132146604,0.09700844281,-2.302079827,-2.300936314,4.236262374
gamma,1,8,disorder,768,6144,9,-0.0002732124743,-0.133731167,0.1459953124,-2.197182548,-2.195426852,4.927064617
gamma,1,8,disorder,1024,6144,8,-0.01633498979,-0.2032634086,0.1871470133,-2.009858118,-2.077605993,4.031726747
gamma,1,8,disorder,1536,6144,7,-0.1123075155,-0.458484215,0.2601562913,-0.9595838797,-1.943084387,5.329935818
gamma,1,8,disorder,2048,6144,6,-0.2547659382,-0.8871169811,0.4209873774,-0.2162629008,-1.788155431,7.189890613
gamma,1,8,disorder,2560,6144,5,-0.5219011415,-1.690521701,0.7345112598,0.5707650436,-1.604317479,14.5293234
gamma,1,4,disorder,512,6144,10,-0.05125255671,-0.1386523472,0.04168939604,1.851807594,-2.295584266,8.057002339
gamma,1,4,disorder,768,6144,9,-0.05556293645,-0.186440029,0.08434265307,0.09824987942,-2.192814045,6.140161463
gamma,1,4,disorder,1024,6144,8,-0.06981004427,-0.2525675325,0.1259801648,-0.3535678984,-2.074720502,5.371115261
gamma,1,4,disorder,1536,6144,7,-0.1151187425,-0.4622927154,0.2543138534,-0.5729239252,-1.9411169,5.452216751
gamma,1,4,disorder,2048,6144,6,-0.3174871317,-0.9522279646,0.3647493184,1.884605459,-1.783527447,8.159817919
gamma,1,4,disorder,2560,6144,5,-0.7460933503,-1.914707671,0.4900859984,10.76933005,-1.591055285,18.72777068
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07278870847,0.07374594276,-2.086485032,-2.300746255,5.514519886
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.1001985957,0.1173898211,-1.477681665,-2.195057423,5.788321181
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1494710856,0.1517883121,-1.963531168,-2.076953582,5.343098998
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2690867884,0.2871034234,-1.642781906,-1.943837641,5.705572995
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4214834374,0.6179549539,0.7198900059,-1.789494427,11.7885138
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.061781378,0.8992925337,-1.503361974,-1.605271174,12.04693404
uniform,1,16,marginal,512,6144,10,0.1064983124,-0.03236523341,0.2322908511,2.50360762,-2.258427465,8.342069702
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.05942424853,0.335443237,2.054174435,-2.165993734,7.628626588
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07586121606,0.4708741315,2.277526375,-2.043872637,8.419594407
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1669708183,0.8421083528,2.172985691,-1.91458736,8.87370679
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3293661589,1.48651033,2.204521324,-1.766545358,9.394512628
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6589367912,2.530283883,2.155202438,-1.58684844,11.02191948
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.08914528327,0.061261873,-1.577538883,-2.30051496,7.88775832
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.1190491447,0.1047809504,-2.193251812,-2.195103833,6.165888908
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1518374747,0.1552194128,-1.899169152,-2.077877826,5.581115769
