model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,8,1024,256,3000,-0.04766666667,-0.04266666667,0.8317309659,0.8017150272,0.8621759656,0.7927517506,0.7526061257,0.8331018117,0.03897921529,0.009422957653,0.06877884295
gamma,1,8,1536,384,1600,-0.04375,-0.05625,0.8792604753,0.8365898755,0.921036302,0.8323170732,0.77499572,0.8887985899,0.04694340213,0.003157070826,0.0895491225
gamma,1,8,2048,512,1000,-0.001,-0.01,0.8853348348,0.8302538664,0.9388699825,0.8683278278,0.7907391767,0.9472270771,0.01700700701,-0.03873498498,0.07462057057
gamma,1,8,2560,640,400,0.0125,-0.015,0.8807612782,0.7981665883,0.9641994831,0.9106484962,0.7797951911,1.046116541,-0.02988721805,-0.120789787,0.06015272556
gamma,1,8,3072,768,300,-0.006666666667,-0.1166666667,0.9112095875,0.8151059086,1.007463768,0.8919230769,0.7568060201,1.038372352,0.01928651059,-0.08048076923,0.1175295429
gamma,1,8,4096,1024,150,-0.14,-0.05333333333,0.8779642058,0.7345190157,1.028751119,0.8049440716,0.6179848993,1.011185682,0.07302013423,-0.07436241611,0.2255033557
gamma,1,8,5120,1280,80,0.0375,0.0125,1.049841772,0.778085443,1.317025316,1.252848101,0.8480162184,1.675632911,-0.2030063291,-0.4561748418,0.04178797468
gamma,1,8,6144,1536,40,0.1,-0.175,0.6073717949,0.4711538462,0.721474359,0.5381410256,0.3457692308,0.7230769231,0.06923076923,-0.1045032051,0.2487179487
gamma,1,4,32,16,6000,-0.1048333333,-0.1006666667,0.5564475051,0.5433899164,0.569418285,0.5168274574,0.4990696227,0.5350752236,0.03962004779,0.02515427988,0.05357348308
gamma,1,4,64,32,6000,-0.09433333333,-0.1191666667,0.6246377035,0.6091007025,0.6399306204,0.5868727982,0.5664467522,0.6071513169,0.03776490526,0.02203198866,0.0537199561
gamma,1,4,128,64,6000,-0.09966666667,-0.09116666667,0.6934098322,0.6765111657,0.7105508904,0.6466549842,0.6236858904,0.6699328378,0.04675484803,0.02932313094,0.06417741499
gamma,1,4,256,128,6000,-0.09866666667,-0.09966666667,0.7519577152,0.7331801411,0.7710470346,0.7161188531,0.6909534867,0.7420955385,0.03583886203,0.0171733532,0.05510606143
gamma,1,4,512,256,5000,-0.1008,-0.0988,0.8033996399,0.7808818809,0.8258360412,0.786155231,0.7547379351,0.8177571179,0.01724440888,-0.00589944989,0.04006107121
