model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,512,6144,10,0.01035898823,-0.05906555017,0.08369395279,-1.909194305,-2.30039092,5.655217229
gamma,1,32,disorder,768,6144,9,0.008149236522,-0.09612953264,0.1178320491,-2.090772711,-2.195114276,5.511164374
gamma,1,32,disorder,1024,6144,8,0.01475902181,-0.1308302422,0.1675608649,-1.919122906,-2.077299741,5.252751449
gamma,1,32,disorder,1536,6144,7,0.02123160914,-0.2540546692,0.3065081099,-1.853839234,-1.944115503,5.933907549
gamma,1,32,disorder,2048,6144,6,-0.06020920493,-0.5864668711,0.4682172903,-1.556840197,-1.789935611,7.504268758
gamma,1,32,disorder,2560,6144,5,-0.1224374251,-1.078427614,0.8556063203,-1.318017677,-1.607098305,13.1112269
gamma,1,16,disorder,512,6144,10,-0.008341153467,-0.09283569487,0.08450644274,-2.105758315,-2.299916443,3.92112036
gamma,1,16,disorder,768,6144,9,-0.02327228761,-0.1492275807,0.1150425029,-1.516147722,-2.194247914,4.576060347
gamma,1,16,disorder,1024,6144,8,-0.04404248035,-0.2251510212,0.1511795813,-0.9258947315,-2.077048918,5.115757263
gamma,1,16,disorder,1536,6144,7,-0.1349778044,-0.4752867067,0.2318485435,1.606592754,-1.942152112,11.68911226
gamma,1,16,disorder,2048,6144,6,-0.1309968085,-0.7682678966,0.5390631671,-0.6461151968,-1.788906731,13.13297004
gamma,1,16,disorder,2560,6144,5,0.08466112347,-1.092146579,1.299111268,-1.387198978,-1.60519335,13.48441701
gamma,1,8,disorder,512,6144,10,-0.01076470161,-0.07359064805,0.05336797567,-2.234276744,-2.30195488,1.422302022
gamma,1,8,disorder,768,6144,9,-0.009109640334,-0.1014208737,0.08592581268,-2.176113315,-2.196701877,1.320590714
gamma,1,8,disorder,1024,6144,8,0.0106086218,-0.1162852077,0.1398775728,-2.066192261,-2.079044475,1.486581471
gamma,1,8,disorder,1536,6144,7,0.05830662666,-0.1750364219,0.2952783644,-1.834486661,-1.945300188,2.554856054
gamma,1,8,disorder,2048,6144,6,0.07006076223,-0.3707677985,0.5128565806,-1.744979274,-1.791350462,2.157234144
gamma,1,8,disorder,2560,6144,5,0.1005141902,-0.774652649,0.9681913747,-1.58090492,-1.608792291,3.707179426
gamma,1,4,disorder,512,6144,10,0.06120513405,-0.02028395657,0.1420424974,0.9849525586,-2.294111783,6.185613909
gamma,1,4,disorder,768,6144,9,0.09928851167,-0.02209650913,0.2175459473,1.854283749,-2.183883631,7.814556762
gamma,1,4,disorder,1024,6144,8,0.12310156,-0.0454074653,0.2880583981,0.9791983529,-2.071602498,6.729225562
gamma,1,4,disorder,1536,6144,7,0.2164630399,-0.09858655355,0.5222058657,0.9771813294,-1.940568231,8.146969109
gamma,1,4,disorder,2048,6144,6,0.304923925,-0.2784373113,0.8735568794,0.068198914,-1.787939165,8.386548024
gamma,1,4,disorder,2560,6144,5,0.06269192376,-1.041387155,1.162106834,-1.578335035,-1.607788196,10.40872248
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07327529837,0.07252351114,-2.086485032,-2.300668399,5.607601531
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.1010133121,0.1147304577,-1.477681665,-2.194986683,5.579360704
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1485595333,0.1489040215,-1.963531168,-2.077006631,5.360643418
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2661445025,0.2932101432,-1.642781906,-1.943114198,5.400335842
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4173447679,0.626158093,0.7198900059,-1.789322701,11.35168509
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.045941322,0.9315136988,-1.503361974,-1.604687929,12.68060678
uniform,1,16,marginal,512,6144,10,0.1064983124,-0.03007550916,0.2355158132,2.50360762,-2.261014214,8.248892296
uniform,1,16,marginal,768,6144,9,0.1462019135,-0.05728220709,0.3383951515,2.054174435,-2.160676747,7.470377996
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07233228702,0.4805993076,2.277526375,-2.043765197,8.096189102
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1462979118,0.8543384064,2.172985691,-1.920337046,8.461050634
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3080671554,1.512280176,2.204521324,-1.767983054,9.266737025
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6162471587,2.601050292,2.155202438,-1.585002663,10.73972562
uniform,1,8,marginal,512,6144,10,-0.009600166679,-0.09052416914,0.05900581745,-1.577538883,-2.300392098,7.848015092
uniform,1,8,marginal,768,6144,9,-0.001033967441,-0.120674057,0.1005223191,-2.193251812,-2.195134493,6.114652939
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1519688567,0.1522395163,-1.899169152,-2.077828445,5.45405097
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.2527042969,0.3131757873,-0.9992772113,-1.943968,8.333022007
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5890112537,0.4491432663,-1.081866456,-1.789464577,8.173747718
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.189846167,0.7584787778,2.65074292,-1.603395601,13.50451193
uniform,1,4,marginal,512,6144,10,-0.04624116622,-0.1308189959,0.02859075704,-0.9801933383,-2.298122518,6.702139541
uniform,1,4,marginal,768,6144,9,-0.07617027804,-0.200827211,0.03448747033,-0.6010487204,-2.192698494,8.307794971
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2647923411,0.05978809097,-0.9613005361,-2.075855259,6.523363362
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4715875214,0.1238206684,-1.013907724,-1.942478635,6.184842502
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.806138548,0.2892802644,-1.154210111,-1.789663242,5.134642774
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.599967804,0.4748458991,-0.5915293575,-1.605071489,7.721465131
