model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,4,1300,325,500,55.376,55.64,20.38929058,18.48609218,22.26205772,12.61438076,11.07269259,14.1756505,7.77490982,5.973378758,9.598618036
uniform,1,32,128,4,750,-0.005333333333,-0.02133333333,6.013109034,5.576453583,6.439378015,6.162755674,5.561548732,6.763492657,-0.14964664,-0.5760932799,0.2758380062
uniform,1,32,192,6,750,-0.032,-0.02133333333,6.493251446,6.042672007,6.941452603,6.643467735,5.974415665,7.315268358,-0.1502162884,-0.6090481531,0.306599733
uniform,1,32,256,8,750,-0.2293333333,0.144,6.841790832,6.399538941,7.278413529,6.6164664,5.999831954,7.237911883,0.2253244326,-0.2418271473,0.6956995105
uniform,1,32,384,12,650,0.16,-0.2461538462,7.30352495,6.766095532,7.83990755,7.264079649,6.528196752,8.004393979,0.03944530046,-0.4744112836,0.5578741259
uniform,1,32,512,16,650,0.03076923077,-0.1230769231,8.337086642,7.71559322,8.970583383,8.974279957,8.047135238,9.934617518,-0.6371933152,-1.284064952,-0.007372288728
uniform,1,32,700,22,550,0.1527272727,-0.02181818182,8.323232323,7.651716509,9.006656731,8.553045206,7.553237291,9.541425402,-0.2298128829,-0.9080006624,0.4607531048
uniform,1,32,900,28,500,0.016,-0.2,9.230332665,8.389625651,10.05730501,9.227126253,8.087643287,10.3759992,0.003206412826,-0.7862428858,0.8298356713
uniform,1,32,1100,34,450,-0.24,0.1688888889,9.720762188,8.786002475,10.61409552,10.35719871,9.010630042,11.74399604,-0.6364365256,-1.575501114,0.2969641178
uniform,1,32,1300,41,450,0.008888888889,0.02666666667,9.460628557,8.599451621,10.30929572,8.765988617,7.640432566,9.906467706,0.6946399406,-0.1378153922,1.524668151
uniform,1,16,128,8,750,0.03733333333,-0.04266666667,6.716681798,6.241290254,7.173015042,6.843257677,6.153968491,7.543701647,-0.1265758789,-0.6058317757,0.3462223409
uniform,1,16,192,12,750,0.005333333333,0,7.487302181,6.959849755,8.007215309,7.209598576,6.482955051,7.948375612,0.2777036048,-0.2556055185,0.8075442813
uniform,1,16,256,16,750,0.1973333333,-0.07466666667,7.870903427,7.303305385,8.432933155,8.518365821,7.658559858,9.406170004,-0.6474623943,-1.207947308,-0.09680106809
uniform,1,16,384,24,650,-0.03692307692,-0.1415384615,8.580964798,7.936259808,9.213276283,8.857385327,7.955410217,9.767986251,-0.2764205286,-0.9312902691,0.3736702619
uniform,1,16,512,32,650,0.05538461538,-0.1353846154,8.827497926,8.132266445,9.487014816,8.548801707,7.668216191,9.446506578,0.278696219,-0.3931217257,0.9651221998
uniform,1,16,700,44,550,0.3127272727,0.09454545455,10.72977645,9.829810233,11.58406955,10.67196556,9.441650604,11.95340752,0.05781089584,-0.7955780758,0.8777731412
