model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.01766666667,-0.01766666667,0.3384109574,0.3293828874,0.3477035516,0.2845474246,0.2739619298,0.2950458608,0.05386353281,0.04489643066,0.06275948144
gamma,1,32,64,4,6000,-0.01216666667,-0.01133333333,0.4120137662,0.4011410725,0.4225346176,0.3578092877,0.344358749,0.3713659065,0.05420447852,0.04336304384,0.06517781089
gamma,1,32,128,8,6000,-0.01516666667,-0.008166666667,0.4737639329,0.4617688215,0.4858637551,0.4158781464,0.4007719533,0.4313372017,0.05788578652,0.04554236331,0.07027018253
gamma,1,32,256,16,6000,-0.01266666667,-0.02433333333,0.5465481469,0.5327638495,0.5599909165,0.465009446,0.4481690935,0.4822376907,0.08153870089,0.06736592488,0.09584688768
gamma,1,32,512,32,5000,-0.0024,-0.0122,0.6307488498,0.613172303,0.6483773635,0.5473614523,0.5270268394,0.5685441248,0.08338739748,0.0655874965,0.1014642909
gamma,1,32,768,48,4000,-0.00525,-0.019,0.665597118,0.6451398623,0.6856204371,0.5801755126,0.5552817892,0.6060796668,0.0854216054,0.06496946268,0.1060445393
gamma,1,32,1024,64,3000,0.004666666667,0.003333333333,0.686212293,0.6614239649,0.7115675044,0.5965312882,0.5673011448,0.6273264533,0.08968100478,0.06365178393,0.1146955902
gamma,1,32,1536,96,1600,-0.030625,-0.014375,0.7436425109,0.7088197848,0.7785927337,0.665909162,0.621950985,0.7110060976,0.07773334897,0.04178752345,0.1132278182
gamma,1,32,2048,128,1000,0.004,-0.016,0.7556196196,0.7062537287,0.8037434059,0.6364364364,0.5830710586,0.6924044044,0.1191831832,0.07274957457,0.165409034
gamma,1,32,2560,160,400,-0.0075,-0.01,0.7530545113,0.6801368264,0.8240289004,0.6629041353,0.5679012375,0.758693609,0.09015037594,0.01641541353,0.1654387531
gamma,1,32,3072,192,300,0.006666666667,-0.05333333333,0.7911928651,0.7090001394,0.873039019,0.6704347826,0.569875,0.7712987737,0.1207580825,0.02969899666,0.2112734114
gamma,1,32,4096,256,150,0.03333333333,0.04,0.8677628635,0.7297746085,1.006107942,0.7013199105,0.5569574944,0.8484340045,0.166442953,0.02451342282,0.3153489933
gamma,1,32,5120,320,80,0.0625,-0.05,0.6992879747,0.5378164557,0.8663765823,0.7087816456,0.503085443,0.9240506329,-0.009493670886,-0.1439873418,0.1265822785
gamma,1,32,6144,384,40,0.125,-0.025,0.9916666667,0.6663461538,1.307379808,0.9115384615,0.5012820513,1.350961538,0.08012820513,-0.2673076923,0.4230769231
gamma,1,16,32,4,6000,-0.0405,-0.03966666667,0.421213355,0.4106707434,0.4316591158,0.3581426766,0.3451146052,0.3710245537,0.06307067845,0.05214964786,0.07387756709
gamma,1,16,64,8,6000,-0.024,-0.008,0.4874279047,0.4750723957,0.4994415962,0.4171081847,0.4021927807,0.4320401345,0.07031971995,0.05778787298,0.08278023282
gamma,1,16,128,16,6000,-0.01666666667,-0.01583333333,0.5460767767,0.5320022393,0.5600253956,0.4699946519,0.4535915639,0.4867317789,0.0760821248,0.06192692532,0.09007503195
gamma,1,16,256,32,6000,-0.02383333333,-0.044,0.6237686142,0.6081886037,0.6393198057,0.5401366756,0.5208491582,0.55924814,0.08363193866,0.06801268545,0.09976833153
gamma,1,16,512,64,5000,-0.0144,-0.0166,0.6749935387,0.6562968884,0.6935130946,0.6066189038,0.5835462578,0.6302467619,0.06837463493,0.04920941188,0.08726309462
gamma,1,16,768,96,4000,0.00175,-0.028,0.7304140723,0.7078348829,0.7533200988,0.6408426794,0.6122454434,0.6701415604,0.08957139285,0.06687771787,0.1129431811
gamma,1,16,1024,128,3000,-0.01533333333,-0.021,0.765083639,0.7376683464,0.7922405899,0.6873797377,0.6523076192,0.7237293084,0.0777039013,0.04954764366,0.1056915916
