model,filter,cutoff,sizes,component,method,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_loocv_rmse,quadratic_loocv_rmse
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,conditional,unweighted,0.06923431903774799,0.7367008896048295,-0.35159589806185465,1.274304961920748,-0.14464311678452146,-0.3794686494261029,0.08992711580904435,0.112,2.453652627505395,-2.0714746532873423,9.978870311311146,0.5106,0.17892121607964692,0.14522298541946568
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.014893386159117053,0.7789288305227249,-0.2826114319676949,1.179454581882097,-0.11735478719969136,-0.3147170060057058,0.08045159641664512,0.1212,1.5633920039518898,-2.0743086170922456,8.773971391802277,0.421,0.1607530150662296,0.1430848222421653
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,disorder,unweighted,-0.06871170242953731,0.9889111034405987,0.3090188886901795,0.5063661345364359,0.12982938910844544,-0.5516641791877845,0.7852041294510061,0.5924,-0.6246930633056422,-2.0767736101398646,8.137950671878558,0.3394,0.2410686584185186,0.28300162478334406
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.14661147826874465,1.0002765927114627,0.36287851036937324,0.355557300375817,0.18348061552694014,-0.3615769065814712,0.7341780717197214,0.707,0.6808404255799303,-2.0777340625586898,7.092398175389938,0.2974,0.23772232034257212,0.28669591286941815
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,total,unweighted,0.0005226166082102879,1.7256119930454281,-0.042577009371674926,1.7806710964571844,-0.014813727676076317,-0.800682580161276,0.7136453394763319,0.435,-2.046252220484128,-2.0764828120005783,7.5480885636384265,0.3504,0.14496624754489146,0.25070868098479815
kasteleyn_gamma,all,2,2;4;6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.07990935385542118,1.7607480580115011,0.10615849110280572,1.5218475967254383,0.0682676025763089,-0.5767668844533275,0.6715671397016159,0.5454,-1.5488678283224928,-2.0776120915721816,6.170782954204688,0.255,0.1575882837467113,0.2149382695028191
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,conditional,unweighted,0.30656957339728835,0.6390238291504315,-0.3717249067028948,1.2926510723902442,-0.14863693394646696,-0.6352147962720125,0.34151344137221906,0.2812,-0.7866637164552621,-1.9433252489969284,6.6112022465615015,0.333,0.1506036674488182,0.2366477092473726
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.2152486525643559,0.6848107946059949,0.06481023134280124,0.8399956333910418,-0.03803450453243044,-0.4547057426267983,0.3879023177006824,0.4388,-1.8407434644767875,-1.944352028654148,5.338335574946651,0.2502,0.13166894542630758,0.22258502901636537
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,disorder,unweighted,-0.38502595037806314,1.119092546576097,-0.7651357676322086,1.4853790773813025,-0.08329473327169555,-1.4613083423818947,1.2976639319648184,0.393,-1.7954485829669444,-1.9427237703915474,7.472299776979468,0.3614,0.20006370608935617,0.2657400716015093
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.4252395492905476,1.1353904529208,-0.6834826823365125,1.4082352608835698,-0.0681111131424575,-1.1694525834264133,0.968480269106119,0.4246,-1.800549986124448,-1.9442168396978328,7.15113397459953,0.291,0.19188989223706748,0.260141181354552
