model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.01111824668,-0.04648066501,0.02124491152,0.2244,-1.849976045,-2.301502932,2.869797434,0.142,0.09355421904,0.09952075379
gamma,1,32,conditional,0.01998063806,-0.0208270223,0.05919782675,0.814,0.08241551683,-2.300203835,5.611281217,0.2653,0.04688525772,0.01265153572
gamma,1,32,disorder,-0.02923978686,-0.06309625129,0.004077461956,0.043,4.918314176,-2.282846803,10.26813622,0.5686,0.0951716145,0.09526005652
gamma,1,16,marginal,-0.03593151051,-0.07429665768,-0.0008628273035,0.0222,5.098048267,-2.241003843,11.97527244,0.6729,0.06022281476,0.1040267413
gamma,1,16,conditional,-0.01913254947,-0.0619509542,0.02128576672,0.159,1.19374573,-2.299525242,7.77356444,0.353,0.04087436017,0.0118528425
gamma,1,16,disorder,-0.01632307067,-0.05286923943,0.02018834277,0.1834,1.0281387,-2.30003274,6.996126122,0.323,0.05985687586,0.1019826522
gamma,1,8,marginal,0.008144049388,-0.03326920501,0.04340402043,0.6099,-2.140130438,-2.301988831,1.235640786,0.0682,0.1635312933,0.156156984
gamma,1,8,conditional,0.009803562423,-0.03587077978,0.05218059524,0.6266,-2.103234082,-2.301957122,1.527070318,0.0789,0.1677386743,0.1691349193
gamma,1,8,disorder,-0.001485360143,-0.04051331958,0.03726406591,0.4637,-2.29351705,-2.301716745,2.239495465,0.104,0.04049786011,0.04954339523
gamma,1,4,marginal,-0.01539917087,-0.05621958141,0.01998567656,0.171,-0.5115075971,-2.300074209,6.27001783,0.2935,0.1102591094,0.1172970015
gamma,1,4,conditional,0.02832741856,-0.01961762204,0.07226442945,0.8661,-0.3581395824,-2.300069028,4.667238318,0.2513,0.1286418495,0.1362095972
gamma,1,4,disorder,-0.04406716984,-0.08463917924,-0.00399625644,0.0146,6.791268407,-2.213343438,12.04127731,0.7109,0.147925126,0.06399758219
uniform,1,32,marginal,-0.007172605085,-0.04166337848,0.02324324445,0.2756,-1.969487094,-2.301484467,3.537479398,0.1636,0.01316204318,0.04065139105
uniform,1,32,conditional,-0.01346589853,-0.06136439767,0.02933784033,0.2359,-1.108535262,-2.300473148,5.851309917,0.246,0.003338966711,0.05155700943
uniform,1,32,disorder,0.006886784229,-0.02399592045,0.03910200409,0.6684,-1.764844717,-2.301359808,4.315779875,0.1753,0.008963181962,0.01619390999
uniform,1,16,marginal,0.02739842055,-0.01137413004,0.06259346756,0.9081,1.780774786,-2.296672626,7.396077799,0.3885,0.2731421769,0.2242128864
uniform,1,16,conditional,-0.02155511519,-0.07277224219,0.02645512656,0.1765,-0.006361657046,-2.299946731,6.590026995,0.3082,0.2465751414,0.2991672767
uniform,1,16,disorder,0.04795057135,0.009298606032,0.08551946878,0.9932,12.75754876,-2.006763958,14.40152275,0.8247,0.08253759503,0.07149282894
uniform,1,8,marginal,-0.02775830739,-0.06592731196,0.005840975201,0.0491,4.17925071,-2.289493847,10.53830687,0.5573,0.04118485084,0.0607054542
uniform,1,8,conditional,-0.02212732829,-0.07371452148,0.02501926617,0.1575,-0.9800884506,-2.300049202,5.221140572,0.2454,0.09371368683,0.09610313544
uniform,1,8,disorder,-0.004930090354,-0.04057478002,0.03059805406,0.383,-2.244440137,-2.301982731,0.8104381569,0.0524,0.06227758678,0.06435097233
uniform,1,4,marginal,-0.006788505555,-0.04979261517,0.02936964221,0.3192,-2.147244405,-2.301709195,2.507202209,0.114,0.1569305915,0.1603125305
uniform,1,4,conditional,-0.02220714664,-0.07830601408,0.02823392934,0.1844,-1.26083899,-2.30092532,4.48574773,0.2177,0.220534192,0.2228187655
uniform,1,4,disorder,0.0104698089,-0.02865784306,0.04761053395,0.7043,-1.52963477,-2.301472823,4.053749238,0.1783,0.09668967039,0.1016038451
