model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,block_gls,-0.005922035055,-0.06341895593,0.03773997294,0.3099,-3.413213767,-3.464456285,2.649563298,0.092,0.1112056641,0.1151045579
gamma,conditional,block_gls,-0.05243760642,-0.1168058869,0.0001402643757,0.0252,-0.3000537616,-3.431183844,12.2419082,0.5363,0.2179752305,0.2304136221
gamma,disorder,block_gls,-0.001266903443,-0.04651719559,0.04221739232,0.4529,-3.462585149,-3.464714155,1.822502769,0.0681,0.1629443005,0.1999261206
uniform,marginal,block_gls,-0.00749847496,-0.06466930073,0.03558445048,0.2829,-3.381627456,-3.464045959,2.90630429,0.107,0.1557378102,0.1681108156
uniform,conditional,block_gls,-0.05577807522,-0.1311167837,0.00809203606,0.0413,-1.035751534,-3.444599308,9.961698699,0.4667,0.1840804712,0.2036744825
uniform,disorder,block_gls,0.03564013071,-0.01522846345,0.08536220871,0.9186,-1.511939578,-3.458975763,7.742364485,0.3193,0.0719880658,0.05449698697
