model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,1024,6144,8,0.2439021147,0.1041009028,0.2480290536,0.1024541045,0.0001621729054,-0.1606260422,0.1449131895,0.443,-2.079431975,-2.078078662,4.235252327,0.1759,0.06630920215,0.220452269
gamma,1,32,conditional,1024,6144,8,0.3778528403,0.06301968337,-0.247489046,0.3125537916,-0.02457354346,-0.2209503198,0.1708986595,0.3531,-2.00157287,-2.078435684,3.793589994,0.1841,0.1675439559,0.2549309673
gamma,1,32,disorder,1024,6144,8,-0.1339507255,0.04108121948,0.4955180996,-0.2100996871,0.02473571637,-0.1226789098,0.1752469994,0.6276,-1.990859749,-2.078702817,4.297616401,0.1398,0.146851376,0.1398132662
gamma,1,16,marginal,1024,6144,8,0.03787464495,0.1426214914,3.905997125,-1.211512682,0.1173337198,-0.08323704991,0.2989513751,0.8574,-0.602199481,-2.075594026,2.530011238,0.2426,0.1988410682,0.3331003872
gamma,1,16,conditional,1024,6144,8,-0.1108101922,0.1578015693,5.082284767,-1.660172754,0.1575247816,-0.09768931446,0.4086996541,0.8607,-0.4488427412,-2.074698232,3.030212786,0.2899,0.2593939278,0.4164674607
gamma,1,16,disorder,1024,6144,8,0.1486848372,-0.0151800779,-1.176287641,0.4486600722,-0.04019106177,-0.219231095,0.1392129359,0.3278,-0.504354494,-2.075901119,6.649530353,0.3651,0.06227632442,0.08513944754
gamma,1,8,marginal,1024,6144,8,0.7506838657,0.02006966449,-0.7351936802,0.4835115731,-0.03585021435,-0.2161413971,0.1313840775,0.2838,-1.646418237,-2.07760177,6.383211824,0.283,0.03653327265,0.1850223039
gamma,1,8,conditional,1024,6144,8,0.7011224401,0.0172532152,-1.329601899,0.6506316292,-0.04899589676,-0.2524661296,0.1518730402,0.2791,-1.622675073,-2.077157109,3.633642768,0.2332,0.02125712309,0.06676466714
gamma,1,8,disorder,1024,6144,8,0.0495614256,0.002816449289,0.5944082185,-0.1671200561,0.01314568241,-0.1336770825,0.1564534338,0.5634,-1.971633457,-2.078376888,4.091227775,0.1856,0.05546598922,0.1191325657
gamma,1,4,marginal,1024,6144,8,0.5871809847,0.05370446379,-2.129480382,0.8178347825,-0.05338541116,-0.2328622316,0.1059646589,0.222,-0.8313379982,-2.077233691,7.609575581,0.3578,0.1098148873,0.1317837904
gamma,1,4,conditional,1024,6144,8,1.239036864,-0.05421591232,-12.75221299,3.881180065,-0.2749435891,-0.4187926207,-0.1415089464,0.0001,0.5229940323,-1.384292813,4.618444641,0.6153,0.4328858742,0.6771972933
gamma,1,4,disorder,1024,6144,8,-0.6518558797,0.1079203761,10.62273261,-3.063345283,0.2215581779,0.04917889875,0.3867212451,0.9958,-0.02952577213,-1.888806111,2.485069815,0.4033,0.3615727634,0.5726056789
uniform,1,32,marginal,1024,6144,8,0.250001594,0.104620278,0.4582306205,0.02152933922,0.008182604017,-0.1482787791,0.1489286815,0.4827,-1.963531168,-2.076898758,5.276860024,0.2753,0.0179593515,0.02099524129
uniform,1,32,conditional,1024,6144,8,0.2430020253,0.1050979954,0.2763530833,0.09178971281,0.001310568974,-0.2008131996,0.202158403,0.4515,-2.068464467,-2.076841142,6.233902218,0.3037,0.01481888814,0.03836585216
uniform,1,32,disorder,1024,6144,8,0.006999568782,-0.0004777173602,0.1818775371,-0.07026037359,0.006872035042,-0.1278897293,0.1370766117,0.5409,-2.015383702,-2.078162176,4.701858953,0.2235,0.005251624401,0.02067417289
uniform,1,16,marginal,1024,6144,8,-0.4146690668,0.2284814674,6.489819354,-2.188609452,0.2094373469,-0.07303509999,0.4844698977,0.9149,2.277526375,-2.046111537,8.091488149,0.6817,0.248631747,0.2221211221
uniform,1,16,conditional,1024,6144,8,-0.1461392053,0.1774342103,6.925931037,-2.298322967,0.2145206913,-0.1146483327,0.5528010134,0.8804,0.9497783957,-2.058889208,5.806499538,0.5396,0.292715992,0.3318342463
uniform,1,16,disorder,1024,6144,8,-0.2685298616,0.05104725708,-0.4361116833,0.1097135151,-0.00508334434,-0.2256249379,0.2144684026,0.4792,-2.056438385,-2.076590478,7.176893367,0.3427,0.04439973506,0.1159068515
uniform,1,8,marginal,1024,6144,8,0.342722206,0.08743199264,0.7602734565,-0.04280131563,0.01007438458,-0.1525846584,0.1529937274,0.4801,-1.899169152,-2.077773972,5.53049316,0.2804,0.03260130752,0.03016051206
uniform,1,8,conditional,1024,6144,8,0.3868975513,0.0787051582,-1.669624343,0.7201297726,-0.04961832215,-0.2490908522,0.1361881417,0.2685,-1.449236108,-2.078046003,7.128429225,0.267,0.09665422373,0.1806612443
