model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,1024,64,training,0.6847476937,0.6574652761,0.7050834471
gamma,1,32,marginal,1536,96,training,0.7359611476,0.7138382855,0.6897270179
gamma,1,32,marginal,2048,128,training,0.7192907908,0.7538355722,0.7153232434
gamma,1,32,marginal,2560,160,training,0.7376409774,0.784859878,0.7560371973
gamma,1,32,marginal,3072,192,training,0.763690078,0.8102085816,0.8028313798
gamma,1,32,marginal,4096,256,training,0.929082774,0.8502058683,0.9014111761
gamma,1,32,marginal,5120,320,heldout,0.847943038,0.8812301741,0.9987355855
gamma,1,32,marginal,6144,384,heldout,0.8189102564,0.9065788776,1.091783878
gamma,1,32,conditional,1024,64,training,0.6303859064,0.6077732551,0.6419936179
gamma,1,32,conditional,1536,96,training,0.6558818011,0.6603731292,0.6430457874
gamma,1,32,conditional,2048,128,training,0.6979534535,0.6976933339,0.6700168012
gamma,1,32,conditional,2560,160,training,0.718768797,0.7266411335,0.7059279778
gamma,1,32,conditional,3072,192,training,0.6688740245,0.750293208,0.7449916495
gamma,1,32,conditional,4096,256,training,0.8585234899,0.7876134127,0.8244116386
gamma,1,32,conditional,5120,320,heldout,0.582278481,0.8165612123,0.9010054011
gamma,1,32,conditional,6144,384,heldout,0.8048076923,0.8402132868,0.9733091658
gamma,1,32,disorder,1024,64,training,0.05436178726,0.04969202103,0.06308982912
gamma,1,32,disorder,1536,96,training,0.08007934647,0.05346515625,0.04668123051
gamma,1,32,disorder,2048,128,training,0.02133733734,0.0561422383,0.04530644222
gamma,1,32,disorder,2560,160,training,0.01887218045,0.05821874446,0.05010921954
gamma,1,32,disorder,3072,192,training,0.09481605351,0.05991537353,0.05783973032
gamma,1,32,disorder,4096,256,training,0.07055928412,0.06259245558,0.07699953744
gamma,1,32,disorder,5120,320,heldout,0.265664557,0.06466896174,0.09773018439
gamma,1,32,disorder,6144,384,heldout,0.0141025641,0.0663655908,0.1184747122
gamma,1,16,marginal,1024,128,training,0.768162443,0.7865477315,0.7441624637
gamma,1,16,marginal,1536,192,training,0.7942884225,0.8034547498,0.8249163581
gamma,1,16,marginal,2048,256,training,0.7710785786,0.8154504702,0.849730564
gamma,1,16,marginal,2560,320,training,0.9248120301,0.8247550738,0.8504103439
gamma,1,16,marginal,3072,384,training,0.8956465998,0.8323574885,0.8389239875
gamma,1,16,marginal,4096,512,training,0.7529306488,0.8443532089,0.7987750055
gamma,1,16,marginal,5120,640,heldout,0.9259493671,0.8536578125,0.7490654221
gamma,1,16,marginal,6144,768,heldout,1.133012821,0.8612602272,0.6964079581
gamma,1,16,conditional,1024,128,training,0.7071112037,0.7272026748,0.676879099
gamma,1,16,conditional,1536,192,training,0.7231939884,0.7393506596,0.764831798
gamma,1,16,conditional,2048,256,training,0.7064459459,0.7479697921,0.7886701814
gamma,1,16,conditional,2560,320,training,0.8478195489,0.7546553106,0.7851155388
gamma,1,16,conditional,3072,384,training,0.8598606466,0.7601177769,0.7679141111
gamma,1,16,conditional,4096,512,training,0.6536017897,0.7687369094,0.7146223952
gamma,1,16,conditional,5120,640,heldout,0.846835443,0.7754224279,0.6512409997
gamma,1,16,conditional,6144,768,heldout,1.140705128,0.7808848942,0.5851575556
gamma,1,16,disorder,1024,128,training,0.0610512393,0.05934505673,0.06728336474
gamma,1,16,disorder,1536,192,training,0.07109443402,0.06410409017,0.06008456013
gamma,1,16,disorder,2048,256,training,0.06463263263,0.06748067814,0.06106038265
gamma,1,16,disorder,2560,320,training,0.0769924812,0.07009976324,0.06529480513
gamma,1,16,disorder,3072,384,training,0.03578595318,0.07223971158,0.07100987644
gamma,1,16,disorder,4096,512,training,0.09932885906,0.07561629954,0.0841526103
gamma,1,16,disorder,5120,640,heldout,0.07911392405,0.07823538464,0.0978244224
gamma,1,16,disorder,6144,768,heldout,-0.007692307692,0.08037533299,0.1112504025
gamma,1,8,marginal,1024,256,training,0.8400611315,0.8706580557,0.8232923157
gamma,1,8,marginal,1536,384,training,0.8729952314,0.8717935126,0.8957769628
gamma,1,8,marginal,2048,512,training,0.8725075075,0.8725991321,0.9109073013
gamma,1,8,marginal,2560,640,training,0.9105482456,0.8732240192,0.9018939065
gamma,1,8,marginal,3072,768,training,0.9563210702,0.8737345891,0.8810726832
gamma,1,8,marginal,4096,1024,training,0.7841163311,0.8745402086,0.8236063477
gamma,1,8,marginal,5120,1280,heldout,0.9232594937,0.8751650956,0.7582825979
gamma,1,8,marginal,6144,1536,heldout,0.8945512821,0.8756756655,0.6914524644
gamma,1,8,conditional,1024,256,training,0.7952648661,0.7904789876,0.7634609886
gamma,1,8,conditional,1536,384,training,0.7667292058,0.8022141465,0.8158946006
gamma,1,8,conditional,2048,512,training,0.7767687688,0.8105403742,0.8323918237
