model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.03206409603,-0.05979453465,0.1141825515,0.7156,-1.389771501,-2.078486689,3.501176003,0.1653,0.02327391908,0.07793186987
gamma,1,32,conditional,-0.03611787966,-0.1452658835,0.06803055962,0.2253,-1.501707023,-2.078210923,4.156503137,0.2118,0.1355758759,0.1749621591
gamma,1,32,disorder,0.04364860613,-0.04565859334,0.1303120065,0.8331,-1.354004874,-2.078043964,2.901189112,0.17,0.1575418108,0.1555444372
gamma,1,16,marginal,0.0275154502,-0.07530192366,0.1188606129,0.664,-1.906568897,-2.078950332,0.8530046804,0.0543,0.2006060921,0.2359131849
gamma,1,16,conditional,0.03603471473,-0.09865952179,0.1589928209,0.6788,-1.856015752,-2.078638085,1.664333299,0.089,0.25750961,0.293668015
gamma,1,16,disorder,-0.0112940989,-0.1066374918,0.08624041253,0.4036,-1.678366778,-2.077807568,6.07612397,0.2484,0.0612700835,0.06383870989
gamma,1,8,marginal,-0.05066250475,-0.1564901494,0.04633849687,0.1349,-0.4847138407,-2.075576129,6.749349325,0.3411,0.02147156273,0.1036688151
gamma,1,8,conditional,0.0351715048,-0.0920429925,0.1530569988,0.6811,-1.648689208,-2.078110909,3.2713627,0.1485,0.0109064552,0.08420251365
gamma,1,8,disorder,-0.07925919433,-0.1773841409,0.01497233774,0.0513,1.506510589,-2.068355293,8.733283319,0.5106,0.01753456073,0.1905801699
gamma,1,4,marginal,-0.04941161667,-0.1623563657,0.05176878931,0.1435,1.030542583,-2.075551423,8.468676113,0.4141,0.1066588273,0.09025392105
gamma,1,4,conditional,-0.176878952,-0.2893840775,-0.0723755936,0.0005,2.534374932,-1.367138554,8.413115718,0.8266,0.3169923615,0.3997184013
gamma,1,4,disorder,0.02706138486,-0.08064265367,0.1313154507,0.6768,-1.937552092,-2.078990346,0.8545010625,0.0565,0.277282325,0.4161865631
uniform,1,32,marginal,-0.01385370697,-0.1102539887,0.07209988986,0.3311,-1.864278904,-2.078436319,4.788614699,0.2103,0.01050199882,0.0528696193
uniform,1,32,conditional,-0.008568684641,-0.1348557049,0.1129910894,0.4025,-1.498335597,-2.077745548,6.610203172,0.2863,0.003772388361,0.02761741182
uniform,1,32,disorder,-0.001600905118,-0.08642007597,0.08022157858,0.4858,-2.075487654,-2.078542269,4.428937172,0.1774,0.005704981305,0.01020177574
uniform,1,16,marginal,0.04993104594,-0.06012633398,0.1524494198,0.7948,0.5087154845,-2.076921729,7.307932053,0.3154,0.2647830362,0.2277355304
uniform,1,16,conditional,-0.006744129521,-0.1567089811,0.1318070912,0.4261,-2.049299026,-2.077915145,4.97973689,0.2116,0.2757534078,0.3307202719
uniform,1,16,disorder,0.05822645938,-0.04772491796,0.166309654,0.8544,2.248562268,-2.076234587,8.706659781,0.4213,0.03917073705,0.1067571096
uniform,1,8,marginal,-0.01683550769,-0.1231494872,0.07387593633,0.3148,-1.703194145,-2.077943498,5.652974946,0.2465,0.03044970299,0.07355494751
uniform,1,8,conditional,-0.09486628448,-0.2337724192,0.02994119158,0.0621,3.585420345,-2.065829069,10.4729469,0.5664,0.09726696512,0.1924212178
uniform,1,8,disorder,0.07484916433,-0.02266315785,0.1724398731,0.936,1.284326743,-2.068680085,8.183821398,0.467,0.08053618673,0.11917495
uniform,1,4,marginal,-0.06656411913,-0.1756187474,0.03157587402,0.0835,0.4977726212,-2.07248328,7.856619183,0.4309,0.1556923777,0.1428964192
uniform,1,4,conditional,-0.1061401776,-0.2524141919,0.02849947686,0.0607,1.143677799,-2.07177198,8.677190738,0.4817,0.224607381,0.1794532154
uniform,1,4,disorder,0.0306016006,-0.0698878011,0.1315262688,0.7171,-1.079223537,-2.07813533,5.511101832,0.2437,0.1080680024,0.138438086
