model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,8,marginal,6144,1536,heldout,0.8945512821,0.9156376575,0.7844038805
gamma,1,8,conditional,512,128,training,0.7229413083,0.7271924791,0.7019539807
gamma,1,8,conditional,768,192,training,0.7239614591,0.7496694751,0.75202027
gamma,1,8,conditional,1024,256,training,0.7952648661,0.7656171576,0.779451112
gamma,1,8,conditional,1536,384,training,0.7667292058,0.7880941536,0.8067080234
gamma,1,8,conditional,2048,512,training,0.7767687688,0.804041836,0.8179553543
gamma,1,8,conditional,2560,640,training,0.8405983709,0.8164118195,0.8220539317
gamma,1,8,conditional,3072,768,training,0.9630100334,0.826518832,0.8224028878
gamma,1,8,conditional,4096,1024,training,0.730738255,0.8424665144,0.8174667074
gamma,1,8,conditional,5120,1280,heldout,0.8199367089,0.854836498,0.8090123784
gamma,1,8,conditional,6144,1536,heldout,0.8176282051,0.8649435104,0.799104863
gamma,1,8,disorder,512,128,training,0.04598679736,0.06888460335,0.04381612239
gamma,1,8,disorder,768,192,training,0.07529694924,0.06591644545,0.06825140435
gamma,1,8,disorder,1024,256,training,0.04479626542,0.0638105039,0.0775512668
gamma,1,8,disorder,1536,384,training,0.1062660256,0.06084234599,0.07933082475
gamma,1,8,disorder,2048,512,training,0.09573873874,0.05873640444,0.0725561952
gamma,1,8,disorder,2560,640,training,0.06994987469,0.05710290927,0.06270701376
gamma,1,8,disorder,3072,768,training,-0.006688963211,0.05576824654,0.05168002912
gamma,1,8,disorder,4096,1024,training,0.05337807606,0.05366230499,0.02883090757
gamma,1,8,disorder,5120,1280,heldout,0.1033227848,0.05202880982,0.006513381473
gamma,1,8,disorder,6144,1536,heldout,0.07692307692,0.05069414708,-0.01470098253
gamma,1,4,marginal,512,256,training,0.8261565713,0.8243270459,0.8293234501
gamma,1,4,marginal,768,384,training,0.8666588522,0.8668633485,0.8663979673
gamma,1,4,marginal,1024,512,training,0.8964921085,0.8970433355,0.8943046611
gamma,1,4,marginal,1536,768,training,0.9425889228,0.939579638,0.9358946955
gamma,1,4,marginal,2048,1024,training,0.9751126126,0.969759625,0.9670051996
gamma,1,4,marginal,2560,1280,training,1.00410401,0.9931690415,0.9920520863
gamma,1,4,marginal,3072,1536,training,0.9618952062,1.012295928,1.013110751
gamma,1,4,marginal,4096,2048,training,1.072505593,1.042475915,1.047425065
gamma,1,4,marginal,5120,2560,heldout,0.9252373418,1.065885331,1.074957021
gamma,1,4,marginal,6144,3072,heldout,1.024038462,1.085012217,1.098046134
gamma,1,4,conditional,512,256,training,0.7880407882,0.7479520257,0.8218544094
gamma,1,4,conditional,768,384,training,0.8108402101,0.7948322449,0.7879487394
gamma,1,4,conditional,1024,512,training,0.8221006447,0.8280942898,0.7875862457
gamma,1,4,conditional,1536,768,training,0.8503750391,0.874974509,0.8204701036
gamma,1,4,conditional,2048,1024,training,0.8658213213,0.9082365539,0.8674955341
gamma,1,4,conditional,2560,1280,training,0.9226065163,0.9340366003,0.9175155881
gamma,1,4,conditional,3072,1536,training,0.805819398,0.9551167731,0.9671689198
gamma,1,4,conditional,4096,2048,training,1.166017897,0.9883788179,1.061582275
gamma,1,4,conditional,5120,2560,heldout,0.8227056962,1.014178864,1.148359258
gamma,1,4,conditional,6144,3072,heldout,0.5227564103,1.035259037,1.228045188
gamma,1,4,disorder,512,256,training,0.03811578316,0.07637502018,0.007469040696
gamma,1,4,disorder,768,384,training,0.05581864216,0.07203110355,0.07844922798
gamma,1,4,disorder,1024,512,training,0.07439146382,0.06894904565,0.1067184154
gamma,1,4,disorder,1536,768,training,0.09221388368,0.06460512901,0.1154245919
gamma,1,4,disorder,2048,1024,training,0.1092912913,0.06152307111,0.0995096655
gamma,1,4,disorder,2560,1280,training,0.08149749373,0.05913244128,0.07453649824
gamma,1,4,disorder,3072,1536,training,0.1560758082,0.05717915448,0.04594183117
gamma,1,4,disorder,4096,2048,training,-0.09351230425,0.05409709658,-0.01415720905
gamma,1,4,disorder,5120,2560,heldout,0.1025316456,0.05170646675,-0.07340223755
gamma,1,4,disorder,6144,3072,heldout,0.5012820513,0.04975317995,-0.1299990542
uniform,1,32,marginal,512,32,training,0.6199393479,0.6270750248,0.625268828
uniform,1,32,marginal,768,48,training,0.6779498625,0.6651061557,0.6652743907
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6920896725,0.6930797015
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7301208034,0.7314529077
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7571043202,0.7581000432
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7780343619,0.7784381404
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7951354511,0.7948408929
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8221189679,0.8203298531
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8430490095,0.8397695998
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8601500988,0.8554383464
uniform,1,32,conditional,512,32,training,0.607320184,0.6200364249,0.6131256681
uniform,1,32,conditional,768,48,training,0.6783834709,0.658869252,0.6595129421
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6864215813,0.6902095679
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7252544084,0.7303512222
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7528067376,0.7566165103
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7741779846,0.7757228968
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7916395647,0.7905125448
uniform,1,32,conditional,4096,256,training,0.8063534676,0.819191894,0.8123464952
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8405631409,0.8280156692
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8580247211,0.83999691
uniform,1,32,disorder,512,32,training,0.01261916383,0.007038599901,0.0121431599
uniform,1,32,disorder,768,48,training,-0.0004336084021,0.006236903719,0.005761448592
uniform,1,32,disorder,1024,64,training,0.007102367456,0.005668091226,0.002870133552
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004866395045,0.001101685518
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004297582551,0.001483532861
uniform,1,32,disorder,2560,160,training,0.008333333333,0.003856377305,0.002715243638
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.00349588637,0.004328348103
uniform,1,32,disorder,4096,256,training,0.03279642058,0.002927073877,0.00798335783
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.00248586863,0.01175393059
uniform,1,32,disorder,6144,384,heldout,0,0.002125377695,0.01544143635
uniform,1,16,marginal,512,64,training,0.6999331866,0.6841257538,0.6972218653
uniform,1,16,marginal,768,96,training,0.7172112716,0.7301122618,0.7288924479
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7627402084,0.7555618491
uniform,1,16,marginal,1536,192,training,0.8032422608,0.8087267164,0.7990680865
uniform,1,16,marginal,2048,256,training,0.8347882883,0.841354663,0.8341350185
uniform,1,16,marginal,2560,320,training,0.8381390977,0.8666628646,0.8637352051
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8873411709,0.8894769107
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9199691176,0.9329413734
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9452773192,0.9690551909
uniform,1,16,marginal,6144,768,heldout,1.325,0.9659556255,1.00011892
uniform,1,16,conditional,512,64,training,0.6792013603,0.6997320999,0.6724555851
uniform,1,16,conditional,768,96,training,0.7245366029,0.7341499077,0.73669053
uniform,1,16,conditional,1024,128,training,0.773317717,0.758569731,0.7735207815
uniform,1,16,conditional,1536,192,training,0.8196873046,0.7929875389,0.8131044843
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8174073622,0.8324444012
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8363488487,0.8424465631
uniform,1,16,conditional,3072,384,training,0.8459531773,0.85182517,0.8473768621
uniform,1,16,conditional,4096,512,training,0.8448322148,0.8762449933,0.8492264444
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.8951864798,0.8456620488
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.9106628011,0.8395076632
uniform,1,16,disorder,512,64,training,0.02073182637,-0.01560634605,0.02476628027
uniform,1,16,disorder,768,96,training,-0.007325331333,-0.004037645952,-0.00779808215
uniform,1,16,disorder,1024,128,training,-0.007133711237,0.004170477393,-0.01795893232
uniform,1,16,disorder,1536,192,training,-0.01644504378,0.01573917749,-0.01403639786
uniform,1,16,disorder,2048,256,training,0.01007607608,0.02394730083,0.001690617284
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.03031401593,0.02128864193
uniform,1,16,disorder,3072,384,training,0.06672240803,0.03551600093,0.04210004862
uniform,1,16,disorder,4096,512,training,0.08402684564,0.04372412427,0.08371492908
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.05009083937,0.1233931421
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.05529282437,0.1606112573
uniform,1,8,marginal,512,128,training,0.7302215243,0.7471260656,0.7354817369
uniform,1,8,marginal,768,192,training,0.7880146912,0.7866533484,0.7877379386
uniform,1,8,marginal,1024,256,training,0.825015783,0.8146984018,0.8210809968
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8542256846,0.8628135972
uniform,1,8,marginal,2048,512,training,0.8756131131,0.882270738,0.8886900414
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9040241714,0.9066272823
uniform,1,8,marginal,3072,768,training,0.920039019,0.9217980207,0.9198990406
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9498430742,0.9383088709
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.9715965076,0.9504545561
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9893703569,0.9589942689
uniform,1,8,conditional,512,128,training,0.7275319864,0.7545798859,0.7183037525
uniform,1,8,conditional,768,192,training,0.8015802701,0.7880523675,0.7914312431
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8118014711,0.831685474
uniform,1,8,conditional,1536,384,training,0.8771974672,0.8452739526,0.872028287
uniform,1,8,conditional,2048,512,training,0.8993868869,0.8690230563,0.8890214189
uniform,1,8,conditional,2560,640,training,0.9393984962,0.8874442922,0.8955538877
uniform,1,8,conditional,3072,768,training,0.8721237458,0.9024955378,0.8965795543
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9262446414,0.8903115873
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9446658773,0.878801346
